nfull,nabb,if
HEARING RESEARCH,HEARING RES,3.565
BRAIN AND LANGUAGE,BRAIN LANG,3.038
Augmentative and Alternative Communication,AUGMENT ALTERN COMM,2.96
EAR AND HEARING,EAR HEARING,2.517
Trends in Amplification,TRENDS AMPLIF,2.5
Trends in Hearing,TRENDS HEAR,2.158
JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,2.022
Noise & Health,NOISE HEALTH,1.826
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,INT J LANG COMM DIS,1.798
AUDIOLOGY AND NEURO-OTOLOGY,AUDIOL NEURO-OTOL,1.776
INTERNATIONAL JOURNAL OF AUDIOLOGY,INT J AUDIOL,1.681
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,J ACOUST SOC AM,1.572
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,J SPEECH LANG HEAR R,1.526
Language Cognition and Neuroscience,LANG COGN NEUROSCI,1.47
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,AM J SPEECH-LANG PAT,1.413
Journal of the American Academy of Audiology,J AM ACAD AUDIOL,1.344
JOURNAL OF COMMUNICATION DISORDERS,J COMMUN DISORD,1.278
American Journal of Audiology,AM J AUDIOL,1.125
LANGUAGE AND SPEECH,LANG SPEECH,1.041
International Journal of Speech-Language Pathology,INT J SPEECH-LANG PA,0.985
SEMINARS IN SPEECH AND LANGUAGE,SEMIN SPEECH LANG,0.907
Logopedics Phoniatrics Vocology,LOGOP PHONIATR VOCO,0.75
CLINICAL LINGUISTICS & PHONETICS,CLIN LINGUIST PHONET,0.617
PHONETICA,PHONETICA,0.458
FOLIA PHONIATRICA ET LOGOPAEDICA,FOLIA PHONIATR LOGO,0.391
