nfull,nabb,if
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,IEEE T IND ELECTRON,6.383
IEEE Transactions on Industrial Informatics,IEEE T IND INFORM,4.708
IEEE-ASME TRANSACTIONS ON MECHATRONICS,IEEE-ASME T MECH,3.851
AUTOMATICA,AUTOMATICA,3.635
Nonlinear Analysis-Hybrid Systems,NONLINEAR ANAL-HYBRI,3.192
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,IEEE T CONTR SYST T,2.818
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,IEEE T AUTOMAT CONTR,2.777
IEEE Transactions on Automation Science and Engineering,IEEE T AUTOM SCI ENG,2.696
ISA TRANSACTIONS,ISA T,2.6
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,INT J ROBUST NONLIN,2.527
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,2.45
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL,2.368
JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,J FRANKLIN I,2.327
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,2.217
JOURNAL OF PROCESS CONTROL,J PROCESS CONTR,2.216
IEEE CONTROL SYSTEMS MAGAZINE,IEEE CONTR SYST MAG,2.193
ANNUAL REVIEWS IN CONTROL,ANNU REV CONTROL,2.042
IET Control Theory and Applications,IET CONTROL THEORY A,1.957
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,1.947
SYSTEMS & CONTROL LETTERS,SYST CONTROL LETT,1.908
INTERNATIONAL JOURNAL OF CONTROL,INT J CONTROL,1.88
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,1.873
MECHATRONICS,MECHATRONICS,1.871
CONTROL ENGINEERING PRACTICE,CONTROL ENG PRACT,1.83
IEEE ROBOTICS & AUTOMATION MAGAZINE,IEEE ROBOT AUTOM MAG,1.822
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,1.618
IEEE Transactions on Systems Man Cybernetics-Systems,IEEE T SYST MAN CY-S,1.598
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,INT J ADV MANUF TECH,1.568
SIAM JOURNAL ON CONTROL AND OPTIMIZATION,SIAM J CONTROL OPTIM,1.491
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTON AGENT MULTI-AG,1.417
ASIAN JOURNAL OF CONTROL,ASIAN J CONTROL,1.407
INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING,INT J ADAPT CONTROL,1.368
EUROPEAN JOURNAL OF CONTROL,EUR J CONTROL,1.342
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,DISCRETE EVENT DYN S,1.268
INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,INT J CONTROL AUTOM,1.219
ASSEMBLY AUTOMATION,ASSEMBLY AUTOM,1.176
IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION,IMA J MATH CONTROL I,1.156
ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,ESAIM CONTR OPTIM CA,1.112
OPTIMAL CONTROL APPLICATIONS & METHODS,OPTIM CONTR APPL MET,1.097
International Journal of Applied Mathematics and Computer Science,INT J AP MAT COM-POL,1.037
JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,J DYN SYST-T ASME,0.975
International Journal of Fuzzy Systems,INT J FUZZY SYST,0.941
MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS,MATH CONTROL SIGNAL,0.927
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART I-JOURNAL OF SYSTEMS AND CONTROL ENGINEERING,P I MECH ENG I-J SYS,0.889
TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,T I MEAS CONTROL,0.82
Studies in Informatics and Control,STUD INFORM CONTROL,0.723
Information Technology and Control,INF TECHNOL CONTROL,0.633
International Journal of Computers Communications & Control,INT J COMPUT COMMUN,0.627
Revista Iberoamericana de Automatica e Informatica Industrial,REV IBEROAM AUTOM IN,0.475
Journal of Systems Engineering and Electronics,J SYST ENG ELECTRON,0.468
Control Engineering and Applied Informatics,CONTROL ENG APPL INF,0.449
MEASUREMENT & CONTROL,MEAS CONTROL-UK,0.431
JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,J DYN CONTROL SYST,0.422
INTELLIGENT AUTOMATION AND SOFT COMPUTING,INTELL AUTOM SOFT CO,0.351
INTERNATIONAL JOURNAL OF ROBOTICS & AUTOMATION,INT J ROBOT AUTOM,0.318
Automatika,AUTOMATIKA,0.311
AUTOMATION AND REMOTE CONTROL,AUTOMAT REM CONTR+,0.265
MODELING IDENTIFICATION AND CONTROL,MODEL IDENT CONTROL,0.25
AT-Automatisierungstechnik,AT-AUTOM,0.212
