nfull,nabb,if
Agriculture Ecosystems & Environment,Agr Ecosyst Environ,3.564
Agricultural Systems,Agr Syst,2.867
Journal Of Agricultural And Food Chemistry,J Agr Food Chem,2.857
Agriculture And Human Values,Agr Hum Values,2.222
Annals Of Applied Biology,Ann Appl Biol,2.103
Journal Of The Science Of Food And Agriculture,J Sci Food Agr,2.076
Biosystems Engineering,Biosyst Eng,1.997
Computers And Electronics In Agriculture,Comput Electron Agr,1.892
Precision Agriculture,Precis Agric,1.675
Agricultural And Food Science,Agr Food Sci,1.588
International Journal Of Agricultural Sustainability,Int J Agr Sustain,1.538
Crop & Pasture Science,Crop Pasture Sci,1.488
Renewable Agriculture And Food Systems,Renew Agr Food Syst,1.435
New Zealand Journal Of Agricultural Research,New Zeal J Agr Res,1.231
Journal Of Agricultural & Environmental Ethics,J Agr Environ Ethic,1.188
Journal Of Agricultural Science,J Agr Sci-Cambridge,1.103
Scientia Agricola,Sci Agr,0.954
Agroecology And Sustainable Food Systems,Agroecol Sust Food,0.926
Plant Pathology Journal,Plant Pathology J,0.92
Animal Production Science,Anim Prod Sci,0.902
California Agriculture,Calif Agr,0.846
Grassland Science,Grassl Sci,0.82
Journal Of Agricultural Science And Technology,J Agr Sci Tech-Iran,0.816
Spanish Journal Of Agricultural Research,Span J Agric Res,0.76
International Journal Of Agriculture And Biology,Int J Agric Biol,0.758
Journal Of Integrative Agriculture,J Integr Agr,0.724
Irish Journal Of Agricultural And Food Research,Irish J Agr Food Res,0.706
Ciencia E Agrotecnologia,Cienc Agrotec,0.701
Revista De La Facultad De Ciencias Agrarias,Rev Fac Cienc Agrar,0.663
Chilean Journal Of Agricultural Research,Chil J Agr Res,0.637
Njas-Wageningen Journal Of Life Sciences,Njas-Wagen J Life Sc,0.635
Pakistan Journal Of Agricultural Sciences,Pak J Agr Sci,0.597
Zemdirbyste-Agriculture,Zemdirbyste,0.579
Pesquisa Agropecuaria Brasileira,Pesqui Agropecu Bras,0.564
New Medit,New Medit,0.525
Revista Ciencia Agronomica,Rev Cienc Agron,0.498
Bragantia,Bragantia,0.486
Journal Of Plant Diseases And Protection,J Plant Dis Protect,0.477
Journal Of Agricultural Meteorology,J Agric Meteorol,0.467
Jarq-Japan Agricultural Research Quarterly,Jarq-Jpn Agr Res Q,0.453
Outlook On Agriculture,Outlook Agr,0.437
Landbauforschung,Landbauforschung-Ger,0.435
Journal Of Animal And Plant Sciences,J Anim Plant Sci,0.422
Tarim Bilimleri Dergisi-Journal Of Agricultural Sciences,Tarim Bilim Derg,0.408
Ciencia E Investigacion Agraria,Cienc Investig Agrar,0.404
Cahiers Agricultures,Cah Agric,0.384
Icelandic Agricultural Sciences,Iceland Agr Sci,0.353
Agrociencia,Agrociencia-Mexico,0.305
Philippine Agricultural Scientist,Philipp Agric Sci,0.266
Berichte Uber Landwirtschaft,Ber Landwirtsch,0.265
Semina-Ciencias Agrarias,Semin-Cienc Agrar,0.229
Bioscience Journal,Biosci J,0.218
Journal Of The Faculty Of Agriculture Kyushu University,J Fac Agr Kyushu U,0.216
Agrarforschung Schweiz,Agrarforsch Schweiz+,0.182
Indian Journal Of Agricultural Sciences,Indian J Agr Sci,0.172
Cuadernos De Desarrollo Rural,Cuad Desarro Rural,0.14
Agricultural History,Agr Hist,0.05
