nfull,nabb,if
BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,20.415
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,17.85
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,NEUROSCI BIOBEHAV R,8.58
CORTEX,CORTEX,4.314
NEUROBIOLOGY OF LEARNING AND MEMORY,NEUROBIOL LEARN MEM,3.439
Frontiers in Behavioral Neuroscience,FRONT BEHAV NEUROSCI,3.392
HORMONES AND BEHAVIOR,HORM BEHAV,3.34
GENES BRAIN AND BEHAVIOR,GENES BRAIN BEHAV,3.275
BEHAVIOR GENETICS,BEHAV GENET,3.268
BIOLOGICAL PSYCHOLOGY,BIOL PSYCHOL,3.234
EVOLUTION AND HUMAN BEHAVIOR,EVOL HUM BEHAV,3.223
ANIMAL BEHAVIOUR,ANIM BEHAV,3.169
APPETITE,APPETITE,3.125
Autism Research,AUTISM RES,3.048
BEHAVIORAL ECOLOGY,BEHAV ECOL,3.029
BEHAVIOURAL BRAIN RESEARCH,BEHAV BRAIN RES,3.002
NEUROPSYCHOLOGIA,NEUROPSYCHOLOGIA,2.989
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,COGN AFFECT BEHAV NE,2.886
BEHAVIORAL NEUROSCIENCE,BEHAV NEUROSCI,2.69
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,PHARMACOL BIOCHEM BE,2.537
CHEMICAL SENSES,CHEM SENSES,2.5
JOURNAL OF COMPARATIVE PSYCHOLOGY,J COMP PSYCHOL,2.494
AGGRESSIVE BEHAVIOR,AGGRESSIVE BEHAV,2.469
PHYSIOLOGY & BEHAVIOR,PHYSIOL BEHAV,2.461
STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,STRESS,2.383
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,BEHAV ECOL SOCIOBIOL,2.382
EPILEPSY & BEHAVIOR,EPILEPSY BEHAV,2.332
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,J DEV BEHAV PEDIATR,2.323
JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,J EXP ANAL BEHAV,2.171
ANIMAL COGNITION,ANIM COGN,2.161
Brain and Behavior,BRAIN BEHAV,2.128
BRAIN BEHAVIOR AND EVOLUTION,BRAIN BEHAV EVOLUT,2.103
BEHAVIOURAL PHARMACOLOGY,BEHAV PHARMACOL,2
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,J COMP PHYSIOL A,1.988
Advances in the Study of Behavior,ADV STUD BEHAV,1.933
JOURNAL OF ECT,J ECT,1.833
APPLIED ANIMAL BEHAVIOUR SCIENCE,APPL ANIM BEHAV SCI,1.795
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,J EXP PSYCHOL-ANIM L,1.779
BEHAVIORAL MEDICINE,BEHAV MED,1.737
Behavioral and Brain Functions,BEHAV BRAIN FUNCT,1.72
ETHOLOGY,ETHOLOGY,1.717
ETHOLOGY ECOLOGY & EVOLUTION,ETHOL ECOL EVOL,1.655
Language Cognition and Neuroscience,LANG COGN NEUROSCI,1.47
HUMAN FACTORS,HUM FACTORS,1.37
Journal of Veterinary Behavior-Clinical Applications and Research,J VET BEHAV,1.366
BEHAVIOURAL PROCESSES,BEHAV PROCESS,1.318
BEHAVIOUR,BEHAVIOUR,1.315
LEARNING & BEHAVIOR,LEARN BEHAV,1.254
ACTA ETHOLOGICA,ACTA ETHOL,1.204
Cognitive and Behavioral Neurology,COGN BEHAV NEUROL,1.185
JOURNAL OF ETHOLOGY,J ETHOL,0.848
