nfull,nabb,if
NATURE METHODS,NAT METHODS,25.328
Nature Protocols,NAT PROTOC,9.646
BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,8.399
CURRENT OPINION IN BIOTECHNOLOGY,CURR OPIN BIOTECH,8.314
ACS Synthetic Biology,ACS SYNTH BIOL,6.076
MOLECULAR & CELLULAR PROTEOMICS,MOL CELL PROTEOMICS,5.912
BIOINFORMATICS,BIOINFORMATICS,5.766
LAB ON A CHIP,LAB CHIP,5.586
PLoS Computational Biology,PLOS COMPUT BIOL,4.587
BIOCONJUGATE CHEMISTRY,BIOCONJUGATE CHEM,4.5
Journal of Breath Research,J BREATH RES,4.177
JOURNAL OF PROTEOME RESEARCH,J PROTEOME RES,4.173
PROTEOMICS,PROTEOMICS,4.079
JOURNAL OF CHROMATOGRAPHY A,J CHROMATOGR A,3.926
Journal of Proteomics,J PROTEOMICS,3.867
Journal of Biophotonics,J BIOPHOTONICS,3.818
Biotechnology Journal,BIOTECHNOL J,3.781
METHODS,METHODS,3.503
Clinical Proteomics,CLIN PROTEOM,3.476
Expert Review of Proteomics,EXPERT REV PROTEOMIC,3.465
Plant Methods,PLANT METHODS,3.449
Biomedical Optics Express,BIOMED OPT EXPRESS,3.344
New Biotechnology,NEW BIOTECHNOL,3.199
CYTOMETRY PART A,CYTOM PART A,3.181
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,ANAL BIOANAL CHEM,3.125
CURRENT ISSUES IN MOLECULAR BIOLOGY,CURR ISSUES MOL BIOL,3.083
Journal of Biological Engineering,J BIOL ENG,3
Proteomics Clinical Applications,PROTEOM CLIN APPL,2.959
JOURNAL OF MAGNETIC RESONANCE,J MAGN RESON,2.889
Drug Testing and Analysis,DRUG TEST ANAL,2.859
Bioanalysis,BIOANALYSIS,2.813
Biomicrofluidics,BIOMICROFLUIDICS,2.708
JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,J CHROMATOGR B,2.687
JOURNAL OF BIOMEDICAL OPTICS,J BIOMED OPT,2.556
JOURNAL OF MASS SPECTROMETRY,J MASS SPECTROM,2.541
Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,2.512
PHYTOCHEMICAL ANALYSIS,PHYTOCHEM ANALYSIS,2.497
ELECTROPHORESIS,ELECTROPHORESIS,2.482
BMC BIOINFORMATICS,BMC BIOINFORMATICS,2.435
PLANT MOLECULAR BIOLOGY REPORTER,PLANT MOL BIOL REP,2.304
BIOTECHNIQUES,BIOTECHNIQUES,2.298
ANALYTICAL BIOCHEMISTRY,ANAL BIOCHEM,2.243
RAPID COMMUNICATIONS IN MASS SPECTROMETRY,RAPID COMMUN MASS SP,2.226
JOURNAL OF BIOMOLECULAR SCREENING,J BIOMOL SCREEN,2.218
Molecular Imaging,MOL IMAGING,2.216
TRANSGENIC RESEARCH,TRANSGENIC RES,2.054
JOURNAL OF NEUROSCIENCE METHODS,J NEUROSCI METH,2.053
IEEE TRANSACTIONS ON NANOBIOSCIENCE,IEEE T NANOBIOSCI,1.969
JOURNAL OF IMMUNOLOGICAL METHODS,J IMMUNOL METHODS,1.858
JOURNAL OF MICROBIOLOGICAL METHODS,J MICROBIOL METH,1.857
Proteome Science,PROTEOME SCI,1.746
BIOMEDICAL CHROMATOGRAPHY,BIOMED CHROMATOGR,1.729
BIOLOGICALS,BIOLOGICALS,1.69
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,J MOL GRAPH MODEL,1.674
ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,ASSAY DRUG DEV TECHN,1.655
IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE ACM T COMPUT BI,1.609
JOURNAL OF FLUORESCENCE,J FLUORESC,1.601
BIOLOGICAL PROCEDURES ONLINE,BIOL PROCED ONLINE,1.565
MOLECULAR AND CELLULAR PROBES,MOL CELL PROBE,1.565
IET Nanobiotechnology,IET NANOBIOTECHNOL,1.541
JOURNAL OF COMPUTATIONAL BIOLOGY,J COMPUT BIOL,1.537
JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,J LABELLED COMPD RAD,1.532
JOURNAL OF VIROLOGICAL METHODS,J VIROL METHODS,1.508
Algorithms for Molecular Biology,ALGORITHM MOL BIOL,1.439
PROTEIN EXPRESSION AND PURIFICATION,PROTEIN EXPRES PURIF,1.407
Methods in Microbiology,METHOD MICROBIOL,1.4
CHROMATOGRAPHIA,CHROMATOGRAPHIA,1.332
JOURNAL OF CHROMATOGRAPHIC SCIENCE,J CHROMATOGR SCI,1.32
JALA,JALA-J LAB AUTOM,1.297
BioChip Journal,BIOCHIP J,1.211
PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,PREP BIOCHEM BIOTECH,1.114
COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,COMB CHEM HIGH T SCR,1.041
Journal of Spectroscopy,J SPECTROSC,0.814
Current Bioinformatics,CURR BIOINFORM,0.77
JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,J LIQ CHROMATOGR R T,0.669
Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,0.647
Current Proteomics,CURR PROTEOMICS,0.59
