nfull,nabb,if
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,8.444
Conservation Letters,CONSERV LETT,7.126
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,5.952
ECOGRAPHY,ECOGRAPHY,5.355
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,4.566
CONSERVATION BIOLOGY,CONSERV BIOL,4.267
BIOLOGICAL CONSERVATION,BIOL CONSERV,3.985
PALEOBIOLOGY,PALEOBIOLOGY,2.959
BIOLOGICAL INVASIONS,BIOL INVASIONS,2.855
ANIMAL CONSERVATION,ANIM CONSERV,2.788
BIODIVERSITY AND CONSERVATION,BIODIVERS CONSERV,2.258
ENVIRONMENTAL CONSERVATION,ENVIRON CONSERV,2.235
JOURNAL FOR NATURE CONSERVATION,J NAT CONSERV,2.22
ORYX,ORYX,2.052
CONSERVATION GENETICS,CONSERV GENET,2.04
SYSTEMATICS AND BIODIVERSITY,SYST BIODIVERS,1.985
URBAN ECOSYSTEMS,URBAN ECOSYST,1.984
Marine Biodiversity,MAR BIODIVERS,1.915
POLAR BIOLOGY,POLAR BIOL,1.711
Avian Conservation and Ecology,AVIAN CONSERV ECOL,1.474
KOEDOE,KOEDOE,1.412
Endangered Species Research,ENDANGER SPECIES RES,1.325
Palaeobiodiversity and Palaeoenvironments,PALAEOBIO PALAEOENV,1.322
Bulletin of the Peabody Museum of Natural History,B PEABODY MUS NAT HI,1.217
Tropical Conservation Science,TROP CONSERV SCI,1.194
AMERICAN MUSEUM NOVITATES,AM MUS NOVIT,1.123
Nature Conservation-Bulgaria,NAT CONSERV-BULGARIA,1.12
JOURNAL OF NATURAL HISTORY,J NAT HIST,1.01
Natureza & Conservacao,NAT CONSERVACAO,1
PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,P ACAD NAT SCI PHILA,0.952
Journal of Fish and Wildlife Management,J FISH WILDL MANAG,0.795
WILDLIFE SOCIETY BULLETIN,WILDLIFE SOC B,0.781
REVISTA CHILENA DE HISTORIA NATURAL,REV CHIL HIST NAT,0.738
Landscape and Ecological Engineering,LANDSC ECOL ENG,0.597
AMERICAN MIDLAND NATURALIST,AM MIDL NAT,0.592
NORTHEASTERN NATURALIST,NORTHEAST NAT,0.569
BIOTA NEOTROPICA,BIOTA NEOTROP,0.555
SOUTHEASTERN NATURALIST,SOUTHEAST NAT,0.513
Revista Mexicana de Biodiversidad,REV MEX BIODIVERS,0.493
ANIMAL BIODIVERSITY AND CONSERVATION,ANIM BIODIV CONSERV,0.489
Conservation Genetics Resources,CONSERV GENET RESOUR,0.446
PACHYDERM,PACHYDERM,0.405
WESTERN NORTH AMERICAN NATURALIST,WEST N AM NATURALIST,0.291
Eco mont-Journal on Protected Mountain Areas Research,ECO MONT,0.278
SOUTHWESTERN NATURALIST,SOUTHWEST NAT,0.255
CARIBBEAN JOURNAL OF SCIENCE,CARIBB J SCI,0.217
PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,P LINN SOC N S W,0.214
NATURAL HISTORY,NAT HIST,0.051
African Natural History,AFR NAT HIST,0
