nfull,nabb,if
BIOLOGICAL REVIEWS,BIOL REV,10.725
PLOS BIOLOGY,PLOS BIOL,8.668
Physics of Life Reviews,PHYS LIFE REV,8.615
eLife,ELIFE,8.282
BMC BIOLOGY,BMC BIOL,6.967
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PHILOS T R SOC B,5.847
FASEB JOURNAL,FASEB J,5.299
QUARTERLY REVIEW OF BIOLOGY,Q REV BIOL,5
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,4.823
BIOESSAYS,BIOESSAYS,4.725
BIOSCIENCE,BIOSCIENCE,4.294
BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,3.556
CHRONOBIOLOGY INTERNATIONAL,CHRONOBIOL INT,3.54
Geobiology,GEOBIOLOGY,3.5
RADIATION RESEARCH,RADIAT RES,3.022
Biology Direct,BIOL DIRECT,3.016
JOURNAL OF EXPERIMENTAL BIOLOGY,J EXP BIOL,2.914
JOURNAL OF BIOLOGICAL RHYTHMS,J BIOL RHYTHM,2.824
Biology Letters,BIOL LETTERS,2.823
Current Opinion in Insect Science,CURR OPIN INSECT SCI,2.719
ASTROBIOLOGY,ASTROBIOLOGY,2.628
Interface Focus,INTERFACE FOCUS,2.59
Science China-Life Sciences,SCI CHINA LIFE SCI,2.297
Biology Open,BIOL OPEN,2.135
JOURNAL OF THEORETICAL BIOLOGY,J THEOR BIOL,2.049
Advances in Experimental Medicine and Biology,ADV EXP MED BIOL,1.953
RADIATION AND ENVIRONMENTAL BIOPHYSICS,RADIAT ENVIRON BIOPH,1.923
CRYOBIOLOGY,CRYOBIOLOGY,1.92
AMERICAN JOURNAL OF HUMAN BIOLOGY,AM J HUM BIOL,1.875
SAUDI JOURNAL OF BIOLOGICAL SCIENCES,SAUDI J BIOL SCI,1.781
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,INT J RADIAT BIOL,1.779
JOURNAL OF MATHEMATICAL BIOLOGY,J MATH BIOL,1.716
JOURNAL OF THERMAL BIOLOGY,J THERM BIOL,1.621
BIOELECTROMAGNETICS,BIOELECTROMAGNETICS,1.583
ANNALS OF HUMAN BIOLOGY,ANN HUM BIOL,1.57
JOURNAL OF RADIATION RESEARCH,J RADIAT RES,1.536
BioScience Trends,BIOSCI TRENDS,1.533
BIOLOGICAL BULLETIN,BIOL BULL-US,1.522
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,1.521
BIOSYSTEMS,BIOSYSTEMS,1.495
AEROBIOLOGIA,AEROBIOLOGIA,1.452
JOURNAL OF BIOSCIENCES,J BIOSCIENCES,1.419
BIOMETRICS,BIOMETRICS,1.36
BIOLOGICAL RESEARCH,BIOL RES,1.328
BULLETIN OF MATHEMATICAL BIOLOGY,B MATH BIOL,1.326
EXCLI Journal,EXCLI J,1.292
JOURNAL OF ETHNOBIOLOGY,J ETHNOBIOL,1.273
MATHEMATICAL BIOSCIENCES,MATH BIOSCI,1.256
ELECTROMAGNETIC BIOLOGY AND MEDICINE,ELECTROMAGN BIOL MED,1.208
International Journal of Astrobiology,INT J ASTROBIOL,1.184
TURKISH JOURNAL OF BIOLOGY,TURK J BIOL,1.183
INDIAN JOURNAL OF EXPERIMENTAL BIOLOGY,INDIAN J EXP BIOL,1.165
MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,MATH MED BIOL,1.162
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,BRAZ J MED BIOL RES,1.146
ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,ORIGINS LIFE EVOL B,1.141
BIOMETRIKA,BIOMETRIKA,1.13
MICROSCOPY RESEARCH AND TECHNIQUE,MICROSC RES TECHNIQ,1.13
COMPTES RENDUS BIOLOGIES,CR BIOL,1.064
COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,1.014
THEORY IN BIOSCIENCES,THEOR BIOSCI,1
JOURNAL OF THE HISTORY OF BIOLOGY,J HIST BIOL,0.897
HUMAN BIOLOGY,HUM BIOL,0.857
FOLIA BIOLOGICA,FOLIA BIOL-PRAGUE,0.833
Central European Journal of Biology,CENT EUR J BIOL,0.814
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,J AGR BIOL ENVIR ST,0.79
