nfull,nabb,if
NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,13.338
Annual Review of Biophysics,ANNU REV BIOPHYS,11.625
Physics of Life Reviews,PHYS LIFE REV,8.615
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,BBA-REV CANCER,7.841
CURRENT OPINION IN CHEMICAL BIOLOGY,CURR OPIN CHEM BIOL,7.643
BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,7.476
QUARTERLY REVIEWS OF BIOPHYSICS,Q REV BIOPHYS,7.222
Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,BBA-GENE REGUL MECH,5.373
STRUCTURE,STRUCTURE,5.237
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,BBA-MOL BASIS DIS,5.158
BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,BBA-GEN SUBJECTS,5.083
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,BBA-BIOENERGETICS,4.864
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,BBA-MOL CELL BIOL L,4.779
COLLOIDS AND SURFACES B-BIOINTERFACES,COLLOID SURFACE B,3.902
Current Topics in Membranes,CURR TOP MEMBR,3.881
Journal of Biophotonics,J BIOPHOTONICS,3.818
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,BBA-BIOMEMBRANES,3.687
BIOPHYSICAL JOURNAL,BIOPHYS J,3.632
BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,3.556
FEBS LETTERS,FEBS LETT,3.519
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,J COMPUT AID MOL DES,3.199
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,J PHOTOCH PHOTOBIO B,3.035
Biomechanics and Modeling in Mechanobiology,BIOMECH MODEL MECHAN,3.032
RADIATION RESEARCH,RADIAT RES,3.022
BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,BBA-PROTEINS PROTEOM,3.016
NMR IN BIOMEDICINE,NMR BIOMED,2.983
CHEMISTRY AND PHYSICS OF LIPIDS,CHEM PHYS LIPIDS,2.901
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ARCH BIOCHEM BIOPHYS,2.807
Biomicrofluidics,BIOMICROFLUIDICS,2.708
PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,PROG BIOPHYS MOL BIO,2.581
JOURNAL OF STRUCTURAL BIOLOGY,J STRUCT BIOL,2.57
Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,2.512
PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,PROTEINS,2.499
JOURNAL OF BIOMECHANICS,J BIOMECH,2.431
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,BIOCHEM BIOPH RES CO,2.371
BIOPHYSICAL CHEMISTRY,BIOPHYS CHEM,2.363
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,INT J BIOMETEOROL,2.309
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,J BIOMOL STRUCT DYN,2.3
BIOPOLYMERS,BIOPOLYMERS,2.248
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,PHOTOCH PHOTOBIO SCI,2.235
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,2.124
Biointerphases,BIOINTERPHASES,2.105
JOURNAL OF MOLECULAR RECOGNITION,J MOL RECOGNIT,2.091
JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,J BIOENERG BIOMEMBR,2.08
PHOTOCHEMISTRY AND PHOTOBIOLOGY,PHOTOCHEM PHOTOBIOL,2.008
BMC STRUCTURAL BIOLOGY,BMC STRUCT BIOL,1.926
RADIATION AND ENVIRONMENTAL BIOPHYSICS,RADIAT ENVIRON BIOPH,1.923
PHYSICAL BIOLOGY,PHYS BIOL,1.837
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,J BIOMECH ENG-T ASME,1.747
CELL BIOCHEMISTRY AND BIOPHYSICS,CELL BIOCHEM BIOPHYS,1.627
NEUROSIGNALS,NEUROSIGNALS,1.593
Cellular and Molecular Bioengineering,CELL MOL BIOENG,1.589
BIOELECTROMAGNETICS,BIOELECTROMAGNETICS,1.583
PHYSIOLOGICAL MEASUREMENT,PHYSIOL MEAS,1.576
BMC Biophysics,BMC BIOPHYS,1.552
HIGH ALTITUDE MEDICINE & BIOLOGY,HIGH ALT MED BIOL,1.525
EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,EUR BIOPHYS J BIOPHY,1.444
