nfull,nabb,if
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,47.12
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,43.113
TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,12.065
GENOME RESEARCH,GENOME RES,11.351
GENOME BIOLOGY,GENOME BIOL,11.313
BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,9.848
CURRENT OPINION IN BIOTECHNOLOGY,CURR OPIN BIOTECH,8.314
METABOLIC ENGINEERING,METAB ENG,8.201
CRITICAL REVIEWS IN BIOTECHNOLOGY,CRIT REV BIOTECHNOL,7.51
BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,7.476
MOLECULAR THERAPY,MOL THER,6.938
Biotechnology for Biofuels,BIOTECHNOL BIOFUELS,6.444
PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,6.09
STEM CELLS,STEM CELLS,5.902
BIOINFORMATICS,BIOINFORMATICS,5.766
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,5.261
BIORESOURCE TECHNOLOGY,BIORESOURCE TECHNOL,4.917
Nanomedicine,NANOMEDICINE-UK,4.889
Journal of Tissue Engineering and Regenerative Medicine,J TISSUE ENG REGEN M,4.71
Algal Research-Biomass Biofuels and Bioproducts,ALGAL RES,4.694
Biofuels Bioproducts & Biorefining-Biofpr,BIOFUEL BIOPROD BIOR,4.416
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,4.352
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,4.348
BIOTECHNOLOGY AND BIOENGINEERING,BIOTECHNOL BIOENG,4.243
JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,4.239
MOLECULAR PLANT-MICROBE INTERACTIONS,MOL PLANT MICROBE IN,4.145
Advances in Applied Microbiology,ADV APPL MICROBIOL,4.128
HUMAN GENE THERAPY,HUM GENE THER,4.062
Microbial Biotechnology,MICROB BIOTECHNOL,3.991
Stem Cell Research,STEM CELL RES,3.892
TISSUE ENGINEERING,TISSUE ENG,3.892
BMC GENOMICS,BMC GENOMICS,3.867
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,APPL ENVIRON MICROB,3.823
Biotechnology Journal,BIOTECHNOL J,3.781
Microbial Cell Factories,MICROB CELL FACT,3.744
SYSTEMATIC AND APPLIED MICROBIOLOGY,SYST APPL MICROBIOL,3.691
FOOD MICROBIOLOGY,FOOD MICROBIOL,3.682
CYTOTHERAPY,CYTOTHERAPY,3.625
Current Opinion in Chemical Engineering,CURR OPIN CHEM ENG,3.571
EXPERT OPINION ON BIOLOGICAL THERAPY,EXPERT OPIN BIOL TH,3.438
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,APPL MICROBIOL BIOT,3.376
BIOMASS & BIOENERGY,BIOMASS BIOENERG,3.249
JOURNAL OF GENE MEDICINE,J GENE MED,3.246
GENE THERAPY,GENE THER,3.242
New Biotechnology,NEW BIOTECHNOL,3.199
JOURNAL OF GENERAL VIROLOGY,J GEN VIROL,3.192
Briefings in Functional Genomics,BRIEF FUNCT GENOMICS,3.124
MARINE BIOTECHNOLOGY,MAR BIOTECHNOL,3.062
BIOFOULING,BIOFOULING,3
Journal of Biological Engineering,J BIOL ENG,3
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,OMICS,2.896
Pharmacogenetics and Genomics,PHARMACOGENET GENOM,2.857
JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,J IND MICROBIOL BIOT,2.745
JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,J CHEM TECHNOL BIOT,2.738
FOOD AND BIOPRODUCTS PROCESSING,FOOD BIOPROD PROCESS,2.687
JOURNAL OF BIOTECHNOLOGY,J BIOTECHNOL,2.667
ENZYME AND MICROBIAL TECHNOLOGY,ENZYME MICROB TECH,2.624
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,MUTAT RES-FUND MOL M,2.581
CANCER GENE THERAPY,CANCER GENE THER,2.532
PROCESS BIOCHEMISTRY,PROCESS BIOCHEM,2.529
FEMS YEAST RESEARCH,FEMS YEAST RES,2.479
BIOCHEMICAL ENGINEERING JOURNAL,BIOCHEM ENG J,2.463
BMC BIOTECHNOLOGY,BMC BIOTECHNOL,2.452
BMC BIOINFORMATICS,BMC BIOINFORMATICS,2.435
INTERNATIONAL BIODETERIORATION & BIODEGRADATION,INT BIODETER BIODEGR,2.429
PLANT CELL TISSUE AND ORGAN CULTURE,PLANT CELL TISS ORG,2.39
GENOMICS,GENOMICS,2.386
JOURNAL OF APPLIED PHYCOLOGY,J APPL PHYCOL,2.372
PROTEIN ENGINEERING DESIGN & SELECTION,PROTEIN ENG DES SEL,2.364
OncoTargets and Therapy,ONCOTARGETS THER,2.272
YEAST,YEAST,2.259
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,MUTAT RES-GEN TOX EN,2.254
JOURNAL OF BIOMOLECULAR SCREENING,J BIOMOL SCREEN,2.218
BIODEGRADATION,BIODEGRADATION,2.208
JOURNAL OF ANTIBIOTICS,J ANTIBIOT,2.173
ENGINEERING IN LIFE SCIENCES,ENG LIFE SCI,2.168
AMB Express,AMB EXPRESS,2.167
BIOTECHNOLOGY PROGRESS,BIOTECHNOL PROGR,2.167
JOURNAL OF APPLIED MICROBIOLOGY,J APPL MICROBIOL,2.156
Human Vaccines & Immunotherapeutics,HUM VACC IMMUNOTHER,2.146
DISEASE MARKERS,DIS MARKERS,2.137
Biomed Research International,BIOMED RES INT,2.134
MAMMALIAN GENOME,MAMM GENOME,2.078
MICROBES AND ENVIRONMENTS,MICROBES ENVIRON,2.075
TRANSGENIC RESEARCH,TRANSGENIC RES,2.054
Artificial Cells Nanomedicine and Biotechnology,ARTIF CELL NANOMED B,2.024
BIOMARKERS,BIOMARKERS,2.016
BIOLOGICAL CONTROL,BIOL CONTROL,2.012
Human Gene Therapy Methods,HUM GENE THER METHOD,1.986
JOURNAL OF BIOSCIENCE AND BIOENGINEERING,J BIOSCI BIOENG,1.964
JOURNAL OF APPLIED GENETICS,J APPL GENET,1.929
Advances in Biochemical Engineering-Biotechnology,ADV BIOCHEM ENG BIOT,1.911
Biotechnology & Genetic Engineering Reviews,BIOTECHNOL GENET ENG,1.909
