nfull,nabb,if
JOURNAL OF FINANCE,J FINANC,5.29
JOURNAL OF FINANCIAL ECONOMICS,J FINANC ECON,3.541
JOURNAL OF ACCOUNTING & ECONOMICS,J ACCOUNT ECON,3.535
REVIEW OF FINANCIAL STUDIES,REV FINANC STUD,3.119
JOURNAL OF MONETARY ECONOMICS,J MONETARY ECON,2.488
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,2.464
IMF Economic Review,IMF ECON REV,2.366
Management Accounting Research,MANAGE ACCOUNT RES,2.286
MATHEMATICAL FINANCE,MATH FINANC,2.283
JOURNAL OF ACCOUNTING RESEARCH,J ACCOUNT RES,2.243
CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,CORP GOV-OXFORD,2.169
FINANCE AND STOCHASTICS,FINANC STOCH,2.169
JOURNAL OF FINANCIAL INTERMEDIATION,J FINANC INTERMED,2.145
Review of Finance,REV FINANC,2.08
ACCOUNTING REVIEW,ACCOUNT REV,1.953
Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,1.911
International Review of Economics & Finance,INT REV ECON FINANC,1.846
CONTEMPORARY ACCOUNTING RESEARCH,CONTEMP ACCOUNT RES,1.782
JOURNAL OF FINANCIAL MARKETS,J FINANC MARK,1.726
Journal of Financial Stability,J FINANC STABIL,1.689
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,J FINANC QUANT ANAL,1.628
Emerging Markets Review,EMERG MARK REV,1.549
JOURNAL OF RISK AND INSURANCE,J RISK INSUR,1.535
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,J INT MONEY FINANC,1.524
REVIEW OF ACCOUNTING STUDIES,REV ACCOUNT STUD,1.513
FORBES,FORBES,1.505
JOURNAL OF BANKING & FINANCE,J BANK FINANC,1.485
Critical Perspectives on Accounting,CRIT PERSPECT ACCOUN,1.454
JOURNAL OF RISK AND UNCERTAINTY,J RISK UNCERTAINTY,1.426
North American Journal of Economics and Finance,N AM J ECON FINANC,1.36
