nfull,nabb,if
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,7.288
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,6.233
JOURNAL OF MANAGEMENT,J MANAGE,6.051
ADMINISTRATIVE SCIENCE QUARTERLY,ADMIN SCI QUART,5.316
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,INT J MANAG REV,4.854
JOURNAL OF BUSINESS VENTURING,J BUS VENTURING,4.204
Family Business Review,FAM BUS REV,4.147
JOURNAL OF MANAGEMENT STUDIES,J MANAGE STUD,4.131
Academy of Management Perspectives,ACAD MANAGE PERSPECT,3.94
JOURNAL OF MARKETING,J MARKETING,3.885
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,J ACAD MARKET SCI,3.744
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,J INT BUS STUD,3.62
Business Strategy and the Environment,BUS STRATEG ENVIRON,3.479
ENTREPRENEURSHIP THEORY AND PRACTICE,ENTREP THEORY PRACT,3.414
STRATEGIC MANAGEMENT JOURNAL,STRATEGIC MANAGE J,3.38
JOURNAL OF INTERACTIVE MARKETING,J INTERACT MARK,3.256
JOURNAL OF INTERNATIONAL MARKETING,J INT MARKETING,3.25
JOURNAL OF CONSUMER RESEARCH,J CONSUM RES,3.187
JOURNAL OF MARKETING RESEARCH,J MARKETING RES,3.109
Internet Research,INTERNET RES,3.017
JOURNAL OF ORGANIZATIONAL BEHAVIOR,J ORGAN BEHAV,2.986
LONG RANGE PLANNING,LONG RANGE PLANN,2.936
JOURNAL OF WORLD BUSINESS,J WORLD BUS,2.811
SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,SUPPLY CHAIN MANAG,2.731
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC,2.678
Marketing Theory,MARKETING THEOR,2.673
Consumption Markets & Culture,CONSUMP MARK CULT,2.659
Corporate Social Responsibility and Environmental Management,CORP SOC RESP ENV MA,2.647
JOURNAL OF SERVICE RESEARCH,J SERV RES-US,2.462
Strategic Organization,STRATEG ORGAN,2.444
JOURNAL OF ADVERTISING,J ADVERTISING,2.288
JOURNAL OF BUSINESS AND PSYCHOLOGY,J BUS PSYCHOL,2.25
HARVARD BUSINESS REVIEW,HARVARD BUS REV,2.249
INTERNATIONAL SMALL BUSINESS JOURNAL,INT SMALL BUS J,2.215
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,J ENVIRON ECON MANAG,2.197
BRITISH JOURNAL OF MANAGEMENT,BRIT J MANAGE,2.188
CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,CORP GOV-OXFORD,2.169
Electronic Commerce Research and Applications,ELECTRON COMMER R A,2.139
Business & Society,BUS SOC,2.135
JOURNAL OF BUSINESS RESEARCH,J BUS RES,2.129
MIT SLOAN MANAGEMENT REVIEW,MIT SLOAN MANAGE REV,2.114
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,J PROD INNOVAT MANAG,2.086
JOURNAL OF RETAILING,J RETAILING,2.014
JOURNAL OF CONSUMER PSYCHOLOGY,J CONSUM PSYCHOL,2.009
INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,1.93
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,INT J ELECTRON COMM,1.853
JOURNAL OF BUSINESS ETHICS,J BUS ETHICS,1.837
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,INT J RES MARK,1.833
Strategic Entrepreneurship Journal,STRATEG ENTREP J,1.8
SMALL BUSINESS ECONOMICS,SMALL BUS ECON,1.795
BUSINESS ETHICS QUARTERLY,BUS ETHICS Q,1.735
International Business Review,INT BUS REV,1.669
MARKETING SCIENCE,MARKET SCI,1.647
ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,ENTREP REGION DEV,1.629
INTERNATIONAL MARKETING REVIEW,INT MARKET REV,1.588
MARKETING LETTERS,MARKET LETT,1.508
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,J ENG TECHNOL MANAGE,1.474
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,IEEE T ENG MANAGE,1.454
European Management Journal,EUR MANAG J,1.437
Journal of Macromarketing,J MACROMARKETING,1.429
Electronic Markets,ELECTRON MARK,1.404
AUSTRALIAN JOURNAL OF MANAGEMENT,AUST J MANAGE,1.4
Business Ethics-A European Review,BUS ETHICS,1.386
PSYCHOLOGY & MARKETING,PSYCHOL MARKET,1.367
INDUSTRIAL AND CORPORATE CHANGE,IND CORP CHANGE,1.327
Electronic Commerce Research,ELECTRON COMMER RES,1.275
Journal of Electronic Commerce Research,J ELECTRON COMMER RE,1.255
PUBLIC RELATIONS REVIEW,PUBLIC RELAT REV,1.249
ENGINEERING ECONOMIST,ENG ECON,1.207
R & D MANAGEMENT,R&D MANAGE,1.19
International Journal of Advertising,INT J ADVERT,1.169
JOURNAL OF PUBLIC POLICY & MARKETING,J PUBLIC POLICY MARK,1.15
MANAGEMENT DECISION,MANAGE DECIS,1.134
International Journal of Accounting Information Systems,INT J ACCOUNT INF SY,1.128
CALIFORNIA MANAGEMENT REVIEW,CALIF MANAGE REV,1.109
EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,1.088
Journal of Family Business Strategy,J FAM BUS STRATEG,1.088
International Journal of Consumer Studies,INT J CONSUM STUD,1.086
JOURNAL OF CONSUMER AFFAIRS,J CONSUM AFF,1.053
RESEARCH-TECHNOLOGY MANAGEMENT,RES TECHNOL MANAGE,1.052
Journal of Consumer Behaviour,J CONSUM BEHAV,1.022
Journal of Services Marketing,J SERV MARK,1.021
BUSINESS HORIZONS,BUS HORIZONS,1.008
JOURNAL OF ADVERTISING RESEARCH,J ADVERTISING RES,0.985
Service Business,SERV BUS,0.985
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,J BUS IND MARK,0.973
JOURNAL OF PRODUCTIVITY ANALYSIS,J PROD ANAL,0.973
Information Systems and E-Business Management,INF SYST E-BUS MANAG,0.953
BRQ-Business Research Quarterly,BRQ-BUS RES Q,0.857
Asian Business & Management,ASIAN BUS MANAG,0.85
QME-Quantitative Marketing and Economics,QME-QUANT MARK ECON,0.846
