nfull,nabb,if
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,17.759
CIRCULATION,CIRCULATION,17.202
EUROPEAN HEART JOURNAL,EUR HEART J,15.064
CIRCULATION RESEARCH,CIRC RES,11.551
Nature Reviews Cardiology,NAT REV CARDIOL,10.533
JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,7.815
JACC-Cardiovascular Interventions,JACC-CARDIOVASC INTE,7.63
JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,7.509
JACC-Heart Failure,JACC-HEART FAIL,7.218
Circulation-Heart Failure,CIRC-HEART FAIL,6.833
BASIC RESEARCH IN CARDIOLOGY,BASIC RES CARDIOL,6.038
Circulation-Cardiovascular Imaging,CIRC-CARDIOVASC IMAG,5.771
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,J CARDIOVASC MAGN R,5.752
Circulation-Cardiovascular Interventions,CIRC-CARDIOVASC INTE,5.706
HEART,HEART,5.693
CARDIOVASCULAR RESEARCH,CARDIOVASC RES,5.465
EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,5.135
Journal of the American Heart Association,J AM HEART ASSOC,5.117
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,J MOL CELL CARDIOL,4.874
INTERNATIONAL JOURNAL OF CARDIOLOGY,INT J CARDIOL,4.638
PROGRESS IN CARDIOVASCULAR DISEASES,PROG CARDIOVASC DIS,4.635
REVISTA ESPANOLA DE CARDIOLOGIA,REV ESP CARDIOL,4.596
Cardiovascular Diabetology,CARDIOVASC DIABETOL,4.534
Circulation-Arrhythmia and Electrophysiology,CIRC-ARRHYTHMIA ELEC,4.428
HEART RHYTHM,HEART RHYTHM,4.391
AMERICAN HEART JOURNAL,AM HEART J,4.332
Clinical Research in Cardiology,CLIN RES CARDIOL,4.324
European Heart Journal-Cardiovascular Imaging,EUR HEART J-CARD IMG,4.293
Circulation-Cardiovascular Quality and Outcomes,CIRC-CARDIOVASC QUAL,4.282
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,J AM SOC ECHOCARDIOG,4.254
CIRCULATION JOURNAL,CIRC J,4.124
EUROPACE,EUROPACE,4.021
EuroIntervention,EUROINTERVENTION,3.863
Circulation-Cardiovascular Genetics,CIRC-CARDIOVASC GENE,3.808
HEART FAILURE REVIEWS,HEART FAIL REV,3.611
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,J THORAC CARDIOV SUR,3.494
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,NUTR METAB CARDIOVAS,3.39
European Journal of Preventive Cardiology,EUR J PREV CARDIOL,3.361
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,AM J PHYSIOL-HEART C,3.324
JOURNAL OF CARDIAC FAILURE,J CARD FAIL,3.259
Journal of Cardiovascular Translational Research,J CARDIOVASC TRANSL,3.197
CARDIOVASCULAR DRUGS AND THERAPY,CARDIOVASC DRUG THER,3.189
AMERICAN JOURNAL OF CARDIOLOGY,AM J CARDIOL,3.154
CANADIAN JOURNAL OF CARDIOLOGY,CAN J CARDIOL,3.112
JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,J CARDIOVASC ELECTR,3.097
TRENDS IN CARDIOVASCULAR MEDICINE,TRENDS CARDIOVAS MED,3.075
RESPIRATORY MEDICINE,RESP MED,3.036
ANNALS OF THORACIC SURGERY,ANN THORAC SURG,3.021
JOURNAL OF NUCLEAR CARDIOLOGY,J NUCL CARDIOL,2.929
EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,EUR J CARDIO-THORAC,2.803
Cardiology in Review,CARDIOL REV,2.59
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,J CARDIOVASC PHARM T,2.538
European Journal of Cardiovascular Nursing,EUR J CARDIOVASC NUR,2.491
Journal of Cardiovascular Computed Tomography,J CARDIOVASC COMPUT,2.472
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,J CARDIOVASC PHARM,2.462
CLINICAL CARDIOLOGY,CLIN CARDIOL,2.431
Journal of Cardiology,J CARDIOL,2.405
HEART AND VESSELS,HEART VESSELS,2.293
Archives of Cardiovascular Diseases,ARCH CARDIOVASC DIS,2.271
Cardiovascular Therapeutics,CARDIOVASC THER,2.243
American Journal of Cardiovascular Drugs,AM J CARDIOVASC DRUG,2.233
CARDIOVASCULAR PATHOLOGY,CARDIOVASC PATHOL,2.19
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,CATHETER CARDIO INTE,2.181
Journal of Cardiovascular Nursing,J CARDIOVASC NURS,2.172
CURRENT OPINION IN CARDIOLOGY,CURR OPIN CARDIOL,2.158
