nfull,nabb,if
LANCET NEUROLOGY,LANCET NEUROL,23.468
Nature Reviews Neurology,NAT REV NEUROL,18.418
Alzheimers & Dementia,ALZHEIMERS DEMENT,11.619
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,11.36
BRAIN,BRAIN,10.103
ANNALS OF NEUROLOGY,ANN NEUROL,9.638
JAMA Neurology,JAMA NEUROL,8.23
NEUROLOGY,NEUROLOGY,8.166
NEURO-ONCOLOGY,NEURO-ONCOLOGY,7.371
SLEEP MEDICINE REVIEWS,SLEEP MED REV,7.341
NEUROSCIENTIST,NEUROSCIENTIST,7.295
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,J NEUROL NEUROSUR PS,6.431
CEPHALALGIA,CEPHALALGIA,6.052
MOVEMENT DISORDERS,MOVEMENT DISORD,6.01
STROKE,STROKE,5.787
Epilepsy Currents,EPILEPSY CURR,5.615
PAIN,PAIN,5.557
BRAIN PATHOLOGY,BRAIN PATHOL,5.256
Alzheimers Research & Therapy,ALZHEIMERS RES THER,5.197
CNS DRUGS,CNS DRUGS,4.91
BIPOLAR DISORDERS,BIPOLAR DISORD,4.882
Journal of Stroke,J STROKE,4.795
Brain Stimulation,BRAIN STIMUL,4.793
SLEEP,SLEEP,4.793
EPILEPSIA,EPILEPSIA,4.706
Neurotherapeutics,NEUROTHERAPEUTICS,4.676
Multiple Sclerosis Journal,MULT SCLER J,4.671
Translational Stroke Research,TRANSL STROKE RES,4.503
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,NEUROPATH APPL NEURO,4.483
CURRENT OPINION IN NEUROLOGY,CURR OPIN NEUROL,4.469
JOURNAL OF PAIN,J PAIN,4.463
EUROPEAN NEUROPSYCHOPHARMACOLOGY,EUR NEUROPSYCHOPHARM,4.409
JOURNAL OF NEUROTRAUMA,J NEUROTRAUM,4.377
PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,PROG NEURO-PSYCHOPH,4.361
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPH,4.333
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,EUR ARCH PSY CLIN N,4.113
NEUROREHABILITATION AND NEURAL REPAIR,NEUROREHAB NEURAL RE,4.035
EUROPEAN JOURNAL OF NEUROLOGY,EUR J NEUROL,3.956
PARKINSONISM & RELATED DISORDERS,PARKINSONISM RELAT D,3.794
NEUROSURGERY,NEUROSURGERY,3.78
BRAIN TOPOGRAPHY,BRAIN TOPOGR,3.727
JOURNAL OF PSYCHOPHARMACOLOGY,J PSYCHOPHARMACOL,3.637
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,DEV MED CHILD NEUROL,3.615
CNS SPECTRUMS,CNS SPECTRUMS,3.582
JOURNAL OF AFFECTIVE DISORDERS,J AFFECT DISORDERS,3.57
JOURNAL OF HEADACHE AND PAIN,J HEADACHE PAIN,3.497
JOURNAL OF NEUROSURGERY,J NEUROSURG,3.443
