nfull,nabb,if
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,6.701
International Journal of Neural Systems,INT J NEURAL SYST,6.085
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,6.077
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,5.908
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,4.981
IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,4.943
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,4.854
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,4.565
Information Fusion,INFORM FUSION,4.353
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,4.27
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,3.735
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,3.647
EVOLUTIONARY COMPUTATION,EVOL COMPUT,3.6
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,3.532
PATTERN RECOGNITION,PATTERN RECOGN,3.399
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,3.333
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,3.325
NEURAL NETWORKS,NEURAL NETWORKS,3.216
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
Swarm and Evolutionary Computation,SWARM EVOL COMPUT,2.963
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,2.857
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,2.714
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON,2.696
SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,2.687
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
Swarm Intelligence,SWARM INTELL-US,2.577
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,2.569
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,2.476
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,2.45
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2.414
NEUROCOMPUTING,NEUROCOMPUTING,2.392
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL,2.368
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,2.217
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED,2.142
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,2.134
JOURNAL OF AUTOMATED REASONING,J AUTOM REASONING,2.113
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,2.05
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,2.017
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,2
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,1.995
Cognitive Computation,COGN COMPUT,1.933
IEEE Transactions on Affective Computing,IEEE T AFFECT COMPUT,1.873
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,1.873
MECHATRONICS,MECHATRONICS,1.871
IEEE Transactions on Human-Machine Systems,IEEE T HUM-MACH SYST,1.8
Semantic Web,SEMANT WEB,1.786
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,1.766
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,1.759
NEURAL PROCESSING LETTERS,NEURAL PROCESS LETT,1.747
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,1.731
Frontiers in Neurorobotics,FRONT NEUROROBOTICS,1.723
MACHINE LEARNING,MACH LEARN,1.719
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,J EXP THEOR ARTIF IN,1.703
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWL INF SYST,1.702
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,J ARTIF INTELL RES,1.659
SOFT COMPUTING,SOFT COMPUT,1.63
NEURAL COMPUTATION,NEURAL COMPUT,1.626
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,1.618
PATTERN RECOGNITION LETTERS,PATTERN RECOGN LETT,1.586
Journal of Real-Time Image Processing,J REAL-TIME IMAGE PR,1.564
AUTONOMOUS ROBOTS,AUTON ROBOT,1.547
DATA & KNOWLEDGE ENGINEERING,DATA KNOWL ENG,1.5
NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUT APPL,1.492
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,1.461
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTON AGENT MULTI-AG,1.417
International Journal of Bio-Inspired Computation,INT J BIO-INSPIR COM,1.39
JOURNAL OF HEURISTICS,J HEURISTICS,1.344
COMPUTER SPEECH AND LANGUAGE,COMPUT SPEECH LANG,1.324
Natural Computing,NAT COMPUT,1.31
Journal of Web Semantics,J WEB SEMANT,1.277
MACHINE VISION AND APPLICATIONS,MACH VISION APPL,1.272
APPLIED INTELLIGENCE,APPL INTELL,1.215
IEEE Transactions on Autonomous Mental Development,IEEE T AUTON MENT DE,1.205
Cognitive Systems Research,COGN SYST RES,1.204
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,1.183
Genetic Programming and Evolvable Machines,GENET PROGRAM EVOL M,1.143
CONNECTION SCIENCE,CONNECT SCI,1.125
ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,1.118
International Journal of Machine Learning and Cybernetics,INT J MACH LEARN CYB,1.11
PATTERN ANALYSIS AND APPLICATIONS,PATTERN ANAL APPL,1.104
ADAPTIVE BEHAVIOR,ADAPT BEHAV,1.098
ARTIFICIAL LIFE,ARTIF LIFE,1.042
KNOWLEDGE ENGINEERING REVIEW,KNOWL ENG REV,1.039
International Journal of Applied Mathematics and Computer Science,INT J AP MAT COM-POL,1.037
Journal on Multimodal User Interfaces,J MULTIMODAL USER IN,1.017
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,J INTELL FUZZY SYST,1.004
IEEE Transactions on Computational Intelligence and AI in Games,IEEE T COMP INTEL AI,1
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,INT J UNCERTAIN FUZZ,1
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,J INTELL INF SYST,1
EXPERT SYSTEMS,EXPERT SYST,0.947
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL,0.944
International Journal of Fuzzy Systems,INT J FUZZY SYST,0.941
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST,0.932
