nfull,nabb,if
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,4.854
IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,4.148
COMMUNICATIONS OF THE ACM,COMMUN ACM,3.301
IEEE NETWORK,IEEE NETWORK,2.899
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,2.331
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,2.287
IEEE-ACM TRANSACTIONS ON NETWORKING,IEEE ACM T NETWORK,2.186
Journal of Optical Communications and Networking,J OPT COMMUN NETW,2.183
DISPLAYS,DISPLAYS,1.903
JOURNAL OF THE ACM,J ACM,1.803
VLDB JOURNAL,VLDB J,1.744
IEEE TRANSACTIONS ON COMPUTERS,IEEE T COMPUT,1.723
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1.592
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,J COMPUT SYST SCI,1.583
MOBILE NETWORKS & APPLICATIONS,MOBILE NETW APPL,1.538
Computer Networks,COMPUT NETW,1.446
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1.361
COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,1.268
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,IEEE T VLSI SYST,1.245
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,IEEE T COMPUT AID D,1.181
COMPUTER,COMPUTER,1.115
IEEE MICRO,IEEE MICRO,1.091
JOURNAL OF SUPERCOMPUTING,J SUPERCOMPUT,1.088
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,1.084
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,INT J HIGH PERFORM C,1.081
ACM Transactions on Storage,ACM T STORAGE,1.033
COMPUTER JOURNAL,COMPUT J,1
PERFORMANCE EVALUATION,PERFORM EVALUATION,0.944
NETWORKS,NETWORKS,0.943
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,0.82
ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,0.714
ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,0.705
INTEGRATION-THE VLSI JOURNAL,INTEGRATION,0.703
JOURNAL OF SYSTEMS ARCHITECTURE,J SYST ARCHITECT,0.683
IEEE Design & Test,IEEE DES TEST,0.681
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,IBM J RES DEV,0.626
ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,0.585
Sustainable Computing-Informatics & Systems,SUSTAIN COMPUT-INFOR,0.569
NEW GENERATION COMPUTING,NEW GENERAT COMPUT,0.533
CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE,CAN J ELECT COMPUT E,0.524
IET Computers and Digital Techniques,IET COMPUT DIGIT TEC,0.517
ACM Transactions on Reconfigurable Technology and Systems,ACM T RECONFIG TECHN,0.5
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,J COMPUT SCI TECH-CH,0.475
MICROPROCESSORS AND MICROSYSTEMS,MICROPROCESS MICROSY,0.471
IEEE Computer Architecture Letters,IEEE COMPUT ARCHIT L,0.465
ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,ANALOG INTEGR CIRC S,0.417
JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,J CIRCUIT SYST COMP,0.308
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,0.291
Advances in Computers,ADV COMPUT,0.256
IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,IEICE T FUND ELECTR,0.236
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,DES AUTOM EMBED SYST,0.095
