nfull,nabb,if
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,4.218
COMMUNICATIONS OF THE ACM,COMMUN ACM,3.301
SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,2.687
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,2.536
IEEE Transactions on Services Computing,IEEE T SERV COMPUT,2.365
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,2.331
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,2.287
COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,2.149
MATHEMATICAL PROGRAMMING,MATH PROGRAM,2.062
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,1.879
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,INT J ELECTRON COMM,1.853
JOURNAL OF THE ACM,J ACM,1.803
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,1.766
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,1.673
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1.592
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,1.569
COMPUTER GRAPHICS FORUM,COMPUT GRAPH FORUM,1.542
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,WORLD WIDE WEB,1.539
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,J VIS COMMUN IMAGE R,1.53
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,1.516
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1.513
SIMULATION MODELLING PRACTICE AND THEORY,SIMUL MODEL PRACT TH,1.482
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,1.461
JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,1.424
IEEE INTERNET COMPUTING,IEEE INTERNET COMPUT,1.4
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1.4
EMPIRICAL SOFTWARE ENGINEERING,EMPIR SOFTW ENG,1.393
MATHEMATICAL AND COMPUTER MODELLING,MATH COMPUT MODEL,1.366
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1.361
JOURNAL OF FUNCTIONAL PROGRAMMING,J FUNCT PROGRAM,1.357
MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMED TOOLS APPL,1.331
Automated Software Engineering,AUTOMAT SOFTW ENG,1.312
International Journal of Information Security,INT J INF SECUR,1.279
Journal of Web Semantics,J WEB SEMANT,1.277
COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,1.268
International Journal of Web and Grid Services,INT J WEB GRID SERV,1.229
IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,1.203
BIT NUMERICAL MATHEMATICS,BIT,1.167
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,1.148
MATHEMATICS AND COMPUTERS IN SIMULATION,MATH COMPUT SIMULAT,1.124
COMPUTERS & GRAPHICS-UK,COMPUT GRAPH-UK,1.12
COMPUTER,COMPUTER,1.115
REQUIREMENTS ENGINEERING,REQUIR ENG,1.105
COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,1.092
IEEE MICRO,IEEE MICRO,1.091
SOFTWARE TESTING VERIFICATION & RELIABILITY,SOFTW TEST VERIF REL,1.082
IT Professional,IT PROF,1.067
TSINGHUA SCIENCE AND TECHNOLOGY,TSINGHUA SCI TECHNOL,1.063
ACM Transactions on the Web,ACM T WEB,1.061
VISUAL COMPUTER,VISUAL COMPUT,1.06
ACM Transactions on Storage,ACM T STORAGE,1.033
RANDOM STRUCTURES & ALGORITHMS,RANDOM STRUCT ALGOR,1.011
ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,1
COMPUTER JOURNAL,COMPUT J,1
IEEE Transactions on Computational Intelligence and AI in Games,IEEE T COMP INTEL AI,1
