nfull,nabb,if
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,9.22
MIS QUARTERLY,MIS QUART,5.384
JOURNAL OF INFORMATION TECHNOLOGY,J INF TECHNOL,4.775
IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,4.148
Journal of Cheminformatics,J CHEMINFORMATICS,3.949
Journal of Chemical Information and Modeling,J CHEM INF MODEL,3.657
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,3.428
INFORMATION SCIENCES,INFORM SCIENCES,3.364
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,J MANAGE INFORM SYST,3.025
Internet Research,INTERNET RES,3.017
IEEE NETWORK,IEEE NETWORK,2.899
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,EUR J INFORM SYST,2.892
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,2.714
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,2.604
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,2.595
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,2.536
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,2.476
IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE T MOBILE COMPUT,2.456
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,J AM SOC INF SCI TEC,2.452
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,J AM SOC INF SCI TEC,2.452
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2.414
IEEE Transactions on Services Computing,IEEE T SERV COMPUT,2.365
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,2.363
Enterprise Information Systems,ENTERP INF SYST-UK,2.269
Journal of Optical Communications and Networking,J OPT COMMUN NETW,2.183
INFORMATION & MANAGEMENT,INFORM MANAGE-AMSTER,2.163
Electronic Commerce Research and Applications,ELECTRON COMMER R A,2.139
IEEE Systems Journal,IEEE SYST J,2.114
COMPUTER COMMUNICATIONS,COMPUT COMMUN,2.099
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2.093
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,INT J GEOGR INF SCI,2.065
Business & Information Systems Engineering,BUS INFORM SYST ENG+,2.059
Journal of the Association for Information Science and Technology,J ASSOC INF SCI TECH,1.864
IEEE PERVASIVE COMPUTING,IEEE PERVAS COMPUT,1.836
INFORMATION SYSTEMS,INFORM SYST,1.832
JOURNAL OF THE ACM,J ACM,1.803
Journal of the Association for Information Systems,J ASSOC INF SYST,1.79
Semantic Web,SEMANT WEB,1.786
VLDB JOURNAL,VLDB J,1.744
IEEE TRANSACTIONS ON INFORMATION THEORY,IEEE T INFORM THEORY,1.737
Pervasive and Mobile Computing,PERVASIVE MOB COMPUT,1.719
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWL INF SYST,1.702
Ad Hoc Networks,AD HOC NETW,1.66
COMPUTERS & SECURITY,COMPUT SECUR,1.64
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1.592
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,1.569
Journal of Grid Computing,J GRID COMPUT,1.561
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,WORLD WIDE WEB,1.539
