nfull,nabb,if
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,5.288
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,4.981
IEEE Transactions on Industrial Informatics,IEEE T IND INFORM,4.708
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,4.565
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,4.214
ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,4.207
Journal of Cheminformatics,J CHEMINFORMATICS,3.949
MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY,MATCH-COMMUN MATH CO,3.858
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,3.756
Journal of Chemical Information and Modeling,J CHEM INF MODEL,3.657
COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,3.635
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,3.428
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,J COMPUT AID MOL DES,3.199
COMPUTERS & EDUCATION,COMPUT EDUC,2.881
NEUROINFORMATICS,NEUROINFORMATICS,2.864
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,2.857
COMPUTERS & CHEMICAL ENGINEERING,COMPUT CHEM ENG,2.581
JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,2.556
COMPUTERS & GEOSCIENCES,COMPUT GEOSCI-UK,2.474
JOURNAL OF BIOMEDICAL INFORMATICS,J BIOMED INFORM,2.447
COMPUTERS & STRUCTURES,COMPUT STRUCT,2.425
Journal of Statistical Software,J STAT SOFTW,2.379
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,2.331
STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,STRUCT MULTIDISCIP O,2.208
Electronic Commerce Research and Applications,ELECTRON COMMER R A,2.139
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2.093
COMPUTERS & INDUSTRIAL ENGINEERING,COMPUT IND ENG,2.086
SCIENTOMETRICS,SCIENTOMETRICS,2.084
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,2.077
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,2.017
COMPUTATIONAL GEOSCIENCES,COMPUTAT GEOSCI,1.992
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
Astronomy and Computing,ASTRON COMPUT,1.92
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,SAR QSAR ENVIRON RES,1.897
COMPUTERS AND ELECTRONICS IN AGRICULTURE,COMPUT ELECTRON AGR,1.892
COMPUTERS & FLUIDS,COMPUT FLUIDS,1.891
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,1.862
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,J COMPUT CIVIL ENG,1.855
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,COMPUT METHOD BIOMEC,1.85
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MED BIOL ENG COMPUT,1.797
Computer Supported Cooperative Work-The Journal of Collaborative Computing,COMPUT SUPP COOP W J,1.784
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,1.705
Big Data,BIG DATA-US,1.696
COMPUTERS IN INDUSTRY,COMPUT IND,1.685
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,J MOL GRAPH MODEL,1.674
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,1.673
SOFT COMPUTING,SOFT COMPUT,1.63
IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE ACM T COMPUT BI,1.609
Molecular Informatics,MOL INFORM,1.57
JOURNAL OF COMPUTATIONAL BIOLOGY,J COMPUT BIOL,1.537
SOCIAL SCIENCE COMPUTER REVIEW,SOC SCI COMPUT REV,1.525
Earth Science Informatics,EARTH SCI INFORM,1.524
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,1.521
SIMULATION MODELLING PRACTICE AND THEORY,SIMUL MODEL PRACT TH,1.482
ENGINEERING WITH COMPUTERS,ENG COMPUT-GERMANY,1.46
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,INT J NUMER METH FL,1.447
JOURNAL OF MOLECULAR MODELING,J MOL MODEL,1.438
MATHEMATICAL AND COMPUTER MODELLING,MATH COMPUT MODEL,1.366
COMPUTING IN SCIENCE & ENGINEERING,COMPUT SCI ENG,1.361
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,1.319
INDUSTRIAL MANAGEMENT & DATA SYSTEMS,IND MANAGE DATA SYST,1.278
INFORMS JOURNAL ON COMPUTING,INFORMS J COMPUT,1.246
Digital Investigation,DIGIT INVEST,1.211
INTERNATIONAL JOURNAL OF MODERN PHYSICS C,INT J MOD PHYS C,1.195
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,1.183
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,IEEE T COMPUT AID D,1.181
JOURNAL OF HYDROINFORMATICS,J HYDROINFORM,1.18
COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,1.179
Journal of Simulation,J SIMUL,1.164
Current Computer-Aided Drug Design,CURR COMPUT-AID DRUG,1.155
IEEE Transactions on Learning Technologies,IEEE T LEARN TECHNOL,1.129
MATHEMATICS AND COMPUTERS IN SIMULATION,MATH COMPUT SIMULAT,1.124
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,1.084
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,INT J HIGH PERFORM C,1.081
JOURNAL OF COMBINATORIAL OPTIMIZATION,J COMB OPTIM,1.08
Journal of Computational Science,J COMPUT SCI-NETH,1.078
R Journal,R J,1.045
SPEECH COMMUNICATION,SPEECH COMMUN,1.038
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,CONCURRENT ENG-RES A,1.02
COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,1.014
Language Resources and Evaluation,LANG RESOUR EVAL,0.975
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,J ORG COMP ELECT COM,0.944
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,0.935
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0.877
QUEUEING SYSTEMS,QUEUEING SYST,0.875
CIN-COMPUTERS INFORMATICS NURSING,CIN-COMPUT INFORM NU,0.868
Computers and Concrete,COMPUT CONCRETE,0.849
JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,J COMPUT INF SCI ENG,0.79
JOURNAL OF NEW MUSIC RESEARCH,J NEW MUSIC RES,0.771
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,J STAT COMPUT SIM,0.749
JOURNAL OF VISUALIZATION,J VISUAL-JAPAN,0.72
ENGINEERING COMPUTATIONS,ENG COMPUTATION,0.691
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,SIMUL-T SOC MOD SIM,0.64
MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,MATH COMP MODEL DYN,0.625
Statistical Analysis and Data Mining,STAT ANAL DATA MIN,0.574
VIRTUAL REALITY,VIRTUAL REAL-LONDON,0.568
ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,0.556
INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,INT J RF MICROW C E,0.524
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,0.504
COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,COMPEL,0.43
International Journal of Computational Intelligence Systems,INT J COMPUT INT SYS,0.391
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,APPL ALGEBR ENG COMM,0.37
Computational and Mathematical Organization Theory,COMPUT MATH ORGAN TH,0.37
COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,0.279
