nfull,nabb,if
Lancet Respiratory Medicine,LANCET RESP MED,15.328
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,13.118
INTENSIVE CARE MEDICINE,INTENS CARE MED,10.125
CRITICAL CARE MEDICINE,CRIT CARE MED,7.422
CHEST,CHEST,6.136
RESUSCITATION,RESUSCITATION,5.414
CRITICAL CARE,CRIT CARE,4.95
Annals of Intensive Care,ANN INTENSIVE CARE,4.529
JOURNAL OF NEUROTRAUMA,J NEUROTRAUM,4.377
Critical Care and Resuscitation,CRIT CARE RESUSC,3.317
JOURNAL OF INTENSIVE CARE MEDICINE,J INTENSIVE CARE MED,3.262
SHOCK,SHOCK,3.048
Human Gene Therapy Clinical Development,HUM GENE THER CL DEV,2.889
Journal of Trauma and Acute Care Surgery,J TRAUMA ACUTE CARE,2.802
Current Opinion in Critical Care,CURR OPIN CRIT CARE,2.706
Pediatric Critical Care Medicine,PEDIATR CRIT CARE ME,2.659
Neurocritical Care,NEUROCRIT CARE,2.488
JOURNAL OF CRITICAL CARE,J CRIT CARE,2.445
SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,SEMIN RESP CRIT CARE,2.274
ANASTHESIOLOGIE & INTENSIVMEDIZIN,ANASTH INTENSIVMED,2.055
AMERICAN JOURNAL OF CRITICAL CARE,AM J CRIT CARE,2.053
Minerva Anestesiologica,MINERVA ANESTESIOL,2.036
Respiratory Care,RESP CARE,1.922
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,INJURY,1.91
BURNS,BURNS,1.904
CRITICAL CARE CLINICS,CRIT CARE CLIN,1.782
Australian Critical Care,AUST CRIT CARE,1.479
Therapeutic Hypothermia and Temperature Management,THER HYPOTHERMIA TEM,1.415
Critical Care Nurse,CRIT CARE NURSE,1.333
ANAESTHESIA AND INTENSIVE CARE,ANAESTH INTENS CARE,1.283
Medicina Intensiva,MED INTENSIVA,1.193
Journal of Trauma Nursing,J TRAUMA NURS,0.556
ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE,ANASTH INTENSIV NOTF,0.325
