nfull,nabb,if
IUCrJ,IUCRJ,5.316
PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,PROG CRYST GROWTH CH,4.75
CRYSTAL GROWTH & DESIGN,CRYST GROWTH DES,4.425
Liquid Crystals Reviews,LIQ CRYST REV,3.933
CRYSTENGCOMM,CRYSTENGCOMM,3.849
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,2.892
JOURNAL OF APPLIED CRYSTALLOGRAPHY,J APPL CRYSTALLOGR,2.57
Zeitschrift fur Kristallographie-Crystalline Materials,Z KRIST-CRYST MATER,2.56
Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,2.512
Acta Crystallographica A-Foundation and Advances,ACTA CRYSTALLOGR A,2.333
LIQUID CRYSTALS,LIQ CRYST,2.244
POLYHEDRON,POLYHEDRON,2.108
Crystals,CRYSTALS,2.075
STRUCTURAL CHEMISTRY,STRUCT CHEM,1.854
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,J MOL GRAPH MODEL,1.674
Crystallography Reviews,CRYSTALLOGR REV,1.529
JOURNAL OF CRYSTAL GROWTH,J CRYST GROWTH,1.462
CRYSTAL RESEARCH AND TECHNOLOGY,CRYST RES TECHNOL,0.908
PHASE TRANSITIONS,PHASE TRANSIT,0.858
Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,0.647
JOURNAL OF CHEMICAL CRYSTALLOGRAPHY,J CHEM CRYSTALLOGR,0.572
CRYSTALLOGRAPHY REPORTS,CRYSTALLOGR REP+,0.561
CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,CHINESE J STRUC CHEM,0.538
MOLECULAR CRYSTALS AND LIQUID CRYSTALS,MOL CRYST LIQ CRYST,0.532
Acta Crystallographica Section C-Structural Chemistry,ACTA CRYSTALLOGR C,0.479
ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES,Z KRIST-NEW CRYST ST,0.122
