nfull,nabb,if
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,38.602
NATURE MEDICINE,NAT MED,30.357
CELL,CELL,28.71
CANCER CELL,CANCER CELL,23.214
Cell Stem Cell,CELL STEM CELL,22.387
NATURE CELL BIOLOGY,NAT CELL BIOL,18.699
Cell Metabolism,CELL METAB,17.303
Science Translational Medicine,SCI TRANSL MED,16.264
CELL RESEARCH,CELL RES,14.812
MOLECULAR CELL,MOL CELL,13.958
NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,13.338
Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,12.755
TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,11.532
GENES & DEVELOPMENT,GENE DEV,10.042
EMBO JOURNAL,EMBO J,9.643
DEVELOPMENTAL CELL,DEV CELL,9.338
TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,9.292
Cold Spring Harbor Perspectives in Biology,CSH PERSPECT BIOL,9.173
Autophagy,AUTOPHAGY,9.108
CURRENT BIOLOGY,CURR BIOL,8.983
CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,8.851
JOURNAL OF CELL BIOLOGY,J CELL BIOL,8.717
PLANT CELL,PLANT CELL,8.538
CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,8.218
ONCOGENE,ONCOGENE,7.932
Cell Reports,CELL REP,7.87
EMBO REPORTS,EMBO REP,7.739
AGEING RESEARCH REVIEWS,AGEING RES REV,7.526
Science Signaling,SCI SIGNAL,7.359
Stem Cell Reports,STEM CELL REP,7.023
CURRENT OPINION IN STRUCTURAL BIOLOGY,CURR OPIN STRUC BIOL,6.713
CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,6.571
Journal of Molecular Cell Biology,J MOL CELL BIOL,6.459
STEM CELLS,STEM CELLS,5.902
CURRENT OPINION IN GENETICS & DEVELOPMENT,CURR OPIN GENET DEV,5.784
AGING CELL,AGING CELL,5.76
CELLULAR AND MOLECULAR LIFE SCIENCES,CELL MOL LIFE SCI,5.694
Cell Death & Disease,CELL DEATH DIS,5.378
FASEB JOURNAL,FASEB J,5.299
STRUCTURE,STRUCTURE,5.237
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SEMIN CELL DEV BIOL,5.181
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,BBA-MOL CELL RES,5.128
Oncotarget,ONCOTARGET,5.008
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,J CELL MOL MED,4.938
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,J MOL CELL CARDIOL,4.874
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,BBA-MOL CELL BIOL L,4.779
Journal of Tissue Engineering and Regenerative Medicine,J TISSUE ENG REGEN M,4.71
JOURNAL OF CELL SCIENCE,J CELL SCI,4.706
CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,CELL PHYSIOL BIOCHEM,4.652
Wiley Interdisciplinary Reviews-RNA,WIRES RNA,4.519
MOLECULAR CANCER RESEARCH,MOL CANCER RES,4.51
Stem Cell Research & Therapy,STEM CELL RES THER,4.504
Oxidative Medicine and Cellular Longevity,OXID MED CELL LONGEV,4.492
IMMUNOLOGY AND CELL BIOLOGY,IMMUNOL CELL BIOL,4.473
MATRIX BIOLOGY,MATRIX BIOL,4.47
CELLULAR MICROBIOLOGY,CELL MICROBIOL,4.46
MOLECULAR AND CELLULAR BIOLOGY,MOL CELL BIOL,4.427
PLANT AND CELL PHYSIOLOGY,PLANT CELL PHYSIOL,4.319
Disease Models & Mechanisms,DIS MODEL MECH,4.316
CELLULAR SIGNALLING,CELL SIGNAL,4.191
JOURNAL OF LEUKOCYTE BIOLOGY,J LEUKOCYTE BIOL,4.165
Pigment Cell & Melanoma Research,PIGM CELL MELANOMA R,4.163
JOURNAL OF CELLULAR PHYSIOLOGY,J CELL PHYSIOL,4.155
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,AM J RESP CELL MOL,4.082
MOLECULAR BIOLOGY OF THE CELL,MOL BIOL CELL,4.037
EUROPEAN JOURNAL OF CELL BIOLOGY,EUR J CELL BIOL,4.011
Aging-US,AGING-US,3.979
CELL CYCLE,CELL CYCLE,3.952
