nfull,nabb,if
Annual Review of Analytical Chemistry,ANNU REV ANAL CHEM,8
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,TRAC-TREND ANAL CHEM,7.487
BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,7.476
ANALYTICAL CHEMISTRY,ANAL CHEM,5.886
SEPARATION AND PURIFICATION REVIEWS,SEP PURIF REV,5.824
MICROCHIMICA ACTA,MICROCHIM ACTA,4.831
SENSORS AND ACTUATORS B-CHEMICAL,SENSOR ACTUAT B-CHEM,4.758
ANALYTICA CHIMICA ACTA,ANAL CHIM ACTA,4.712
TALANTA,TALANTA,4.035
ANALYST,ANALYST,4.033
JOURNAL OF CHROMATOGRAPHY A,J CHROMATOGR A,3.926
JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,J ANAL APPL PYROL,3.652
JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,J ANAL ATOM SPECTROM,3.379
JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,J PHARMACEUT BIOMED,3.169
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,ANAL BIOANAL CHEM,3.125
JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,J AM SOC MASS SPECTR,3.031
MICROCHEMICAL JOURNAL,MICROCHEM J,2.893
Drug Testing and Analysis,DRUG TEST ANAL,2.859
JOURNAL OF ELECTROANALYTICAL CHEMISTRY,J ELECTROANAL CHEM,2.822
Bioanalysis,BIOANALYSIS,2.813
JOURNAL OF SEPARATION SCIENCE,J SEP SCI,2.741
JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,J CHROMATOGR B,2.687
CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY,CRIT REV ANAL CHEM,2.667
JOURNAL OF MASS SPECTROMETRY,J MASS SPECTROM,2.541
PHYTOCHEMICAL ANALYSIS,PHYTOCHEM ANALYSIS,2.497
ELECTROPHORESIS,ELECTROPHORESIS,2.482
ELECTROANALYSIS,ELECTROANAL,2.471
Environmental Chemistry,ENVIRON CHEM,2.455
Methods and Applications in Fluorescence,METHODS APPL FLUORES,2.429
Environmental Science-Processes & Impacts,ENVIRON SCI-PROC IMP,2.401
JOURNAL OF ANALYTICAL TOXICOLOGY,J ANAL TOXICOL,2.322
ANALYTICAL BIOCHEMISTRY,ANAL BIOCHEM,2.243
RAPID COMMUNICATIONS IN MASS SPECTROMETRY,RAPID COMMUN MASS SP,2.226
JOURNAL OF BIOMOLECULAR SCREENING,J BIOMOL SCREEN,2.218
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,2.217
SENSORS,SENSORS-BASEL,2.033
CHIRALITY,CHIRALITY,2.025
JOURNAL OF PEPTIDE SCIENCE,J PEPT SCI,1.951
THERMOCHIMICA ACTA,THERMOCHIM ACTA,1.938
Analytical Methods,ANAL METHODS-UK,1.915
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,1.873
JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,J THERM ANAL CALORIM,1.781
BIOMEDICAL CHROMATOGRAPHY,BIOMED CHROMATOGR,1.729
VIBRATIONAL SPECTROSCOPY,VIB SPECTROSC,1.682
JOURNAL OF FLUORESCENCE,J FLUORESC,1.601
JOURNAL OF CULTURAL HERITAGE,J CULT HERIT,1.533
JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,J LABELLED COMPD RAD,1.532
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,INT J ENVIRON AN CH,1.411
REVIEWS IN ANALYTICAL CHEMISTRY,REV ANAL CHEM,1.378
Journal of Analytical Methods in Chemistry,J ANAL METHODS CHEM,1.369
ARCHAEOMETRY,ARCHAEOMETRY,1.364
CHROMATOGRAPHIA,CHROMATOGRAPHIA,1.332
JOURNAL OF CHROMATOGRAPHIC SCIENCE,J CHROMATOGR SCI,1.32
JALA,JALA-J LAB AUTOM,1.297
