nfull,nabb,if
ADVANCED SYNTHESIS & CATALYSIS,ADV SYNTH CATAL,6.453
SEPARATION AND PURIFICATION REVIEWS,SEP PURIF REV,5.824
Annual Review of Chemical and Biomolecular Engineering,ANNU REV CHEM BIOMOL,5.211
CATALYSIS TODAY,CATAL TODAY,4.312
CARBOHYDRATE POLYMERS,CARBOHYD POLYM,4.219
DYES AND PIGMENTS,DYES PIGMENTS,4.055
FOOD CHEMISTRY,FOOD CHEM,4.052
FOOD HYDROCOLLOIDS,FOOD HYDROCOLLOID,3.858
FUEL PROCESSING TECHNOLOGY,FUEL PROCESS TECHNOL,3.847
MICROPOROUS AND MESOPOROUS MATERIALS,MICROPOR MESOPOR MAT,3.349
ACS Combinatorial Science,ACS COMB SCI,3.317
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,INT J BIOL MACROMOL,3.138
ORGANIC PROCESS RESEARCH & DEVELOPMENT,ORG PROCESS RES DEV,2.922
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,J AGR FOOD CHEM,2.857
JOURNAL OF FOOD COMPOSITION AND ANALYSIS,J FOOD COMPOS ANAL,2.78
REACTIVE & FUNCTIONAL POLYMERS,REACT FUNCT POLYM,2.725
PROGRESS IN ORGANIC COATINGS,PROG ORG COAT,2.632
CHINESE JOURNAL OF CATALYSIS,CHINESE J CATAL,2.628
APPLIED ORGANOMETALLIC CHEMISTRY,APPL ORGANOMET CHEM,2.452
TOPICS IN CATALYSIS,TOP CATAL,2.355
Journal of Energy Chemistry,J ENERGY CHEM,2.322
PLANT FOODS FOR HUMAN NUTRITION,PLANT FOOD HUM NUTR,2.276
JOURNAL OF RARE EARTHS,J RARE EARTH,2.188
MOLECULAR DIVERSITY,MOL DIVERS,2.08
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,J SCI FOOD AGR,2.076
JOURNAL OF CELLULAR PLASTICS,J CELL PLAST,2.057
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,FOOD ADDIT CONTAM A,1.878
JOURNAL OF SURFACTANTS AND DETERGENTS,J SURFACTANTS DETERG,1.853
CARBOHYDRATE RESEARCH,CARBOHYD RES,1.817
FLAVOUR AND FRAGRANCE JOURNAL,FLAVOUR FRAG J,1.693
JOURNAL OF MICROENCAPSULATION,J MICROENCAPSUL,1.631
PROPELLANTS EXPLOSIVES PYROTECHNICS,PROPELL EXPLOS PYROT,1.578
FOOD AND AGRICULTURAL IMMUNOLOGY,FOOD AGR IMMUNOL,1.548
JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,J AM OIL CHEM SOC,1.505
Food Additives & Contaminants Part B-Surveillance,FOOD ADDIT CONTAM B,1.467
JOURNAL OF POROUS MATERIALS,J POROUS MAT,1.385
Journal of Coatings Technology and Research,J COAT TECHNOL RES,1.342
Central European Journal of Energetic Materials,CENT EUR J ENERG MAT,1.28
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,J VINYL ADDIT TECHN,1.219
BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,BIOSCI BIOTECH BIOCH,1.176
COLORATION TECHNOLOGY,COLOR TECHNOL,1.127
JOURNAL OF NEAR INFRARED SPECTROSCOPY,J NEAR INFRARED SPEC,1.117
Journal of Oleo Science,J OLEO SCI,1.108
NATURAL PRODUCT RESEARCH,NAT PROD RES,1.057
COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,COMB CHEM HIGH T SCR,1.041
CEREAL CHEMISTRY,CEREAL CHEM,1.036
Journal of Energetic Materials,J ENERG MATER,1.017
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,J ASIAN NAT PROD RES,1.009
FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,FOOD SCI TECHNOL INT,0.991
Revista Mexicana de Ingenieria Quimica,REV MEX ING QUIM,0.924
JOURNAL OF ESSENTIAL OIL RESEARCH,J ESSENT OIL RES,0.871
GRASAS Y ACEITES,GRASAS ACEITES,0.827
Records of Natural Products,REC NAT PROD,0.765
JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,J AM LEATHER CHEM AS,0.707
Pigment & Resin Technology,PIGM RESIN TECHNOL,0.697
TENSIDE SURFACTANTS DETERGENTS,TENSIDE SURFACT DET,0.678
Science and Technology of Energetic Materials,SCI TECHNOL ENERG MA,0.636
Journal of Biobased Materials and Bioenergy,J BIOBASED MATER BIO,0.635
ADSORPTION SCIENCE & TECHNOLOGY,ADSORPT SCI TECHNOL,0.633
Chemical Industry & Chemical Engineering Quarterly,CHEM IND CHEM ENG Q,0.617
Polish Journal of Chemical Technology,POL J CHEM TECHNOL,0.575
INDIAN JOURNAL OF CHEMICAL TECHNOLOGY,INDIAN J CHEM TECHN,0.491
JOURNAL OF COSMETIC SCIENCE,J COSMET SCI,0.358
STUDIES IN CONSERVATION,STUD CONSERV,0.323
AGROCHIMICA,AGROCHIMICA,0.317
RUSSIAN JOURNAL OF APPLIED CHEMISTRY,RUSS J APPL CHEM+,0.307
Journal of Water Chemistry and Technology,J WATER CHEM TECHNO+,0.258
AATCC REVIEW,AATCC REV,0.239
CHEMISTRY & INDUSTRY,CHEM IND-LONDON,0.129
Journal of Food Safety and Food Quality-Archiv fur Lebensmittelhygiene,J FOOD SAF FOOD QUAL,0.083
SURFACE COATINGS INTERNATIONAL,SURF COAT INT,0.061
JCT COATINGSTECH,JCT COATINGSTECH,0.014
