nfull,nabb,if
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,12.994
Advances in Organometallic Chemistry,ADV ORGANOMET CHEM,12.625
PROGRESS IN SOLID STATE CHEMISTRY,PROG SOLID STATE CH,6.45
INORGANIC CHEMISTRY,INORG CHEM,4.82
Topics in Organometallic Chemistry,TOP ORGANOMETAL CHEM,4.543
Inorganic Chemistry Frontiers,INORG CHEM FRONT,4.532
PROGRESS IN INORGANIC CHEMISTRY,PROG INORG CHEM,4.308
Advances in Inorganic Chemistry,ADV INORG CHEM,4.25
ORGANOMETALLICS,ORGANOMETALLICS,4.186
DALTON TRANSACTIONS,DALTON T,4.177
JOURNAL OF INORGANIC BIOCHEMISTRY,J INORG BIOCHEM,3.205
EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,EUR J INORG CHEM,2.686
JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,J BIOL INORG CHEM,2.495
APPLIED ORGANOMETALLIC CHEMISTRY,APPL ORGANOMET CHEM,2.452
JOURNAL OF ORGANOMETALLIC CHEMISTRY,J ORGANOMET CHEM,2.336
GOLD BULLETIN,GOLD BULL,2.323
JOURNAL OF SOLID STATE CHEMISTRY,J SOLID STATE CHEM,2.265
JOURNAL OF FLUORINE CHEMISTRY,J FLUORINE CHEM,2.213
POLYHEDRON,POLYHEDRON,2.108
TETRAHEDRON-ASYMMETRY,TETRAHEDRON-ASYMMETR,2.108
SOLID STATE SCIENCES,SOLID STATE SCI,2.041
INORGANICA CHIMICA ACTA,INORG CHIM ACTA,1.918
INORGANIC CHEMISTRY COMMUNICATIONS,INORG CHEM COMMUN,1.762
JOURNAL OF COORDINATION CHEMISTRY,J COORD CHEM,1.756
Structure and Bonding,STRUCT BOND,1.753
JOURNAL OF CLUSTER SCIENCE,J CLUST SCI,1.664
REVIEWS IN INORGANIC CHEMISTRY,REV INORG CHEM,1.556
BIOINORGANIC CHEMISTRY AND APPLICATIONS,BIOINORG CHEM APPL,1.488
TRANSITION METAL CHEMISTRY,TRANSIT METAL CHEM,1.465
ARCHAEOMETRY,ARCHAEOMETRY,1.364
ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,Z ANORG ALLG CHEM,1.261
APPLIED RADIATION AND ISOTOPES,APPL RADIAT ISOTOPES,1.136
COMMENTS ON INORGANIC CHEMISTRY,COMMENT INORG CHEM,1.1
RADIOCHIMICA ACTA,RADIOCHIM ACTA,1.1
JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,J RADIOANAL NUCL CH,0.983
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,ISOT ENVIRON HEALT S,0.935
PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,PHOSPHORUS SULFUR,0.723
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,Z NATURFORSCH B,0.686
RUSSIAN JOURNAL OF INORGANIC CHEMISTRY,RUSS J INORG CHEM+,0.649
NUKLEONIKA,NUKLEONIKA,0.546
CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,CHINESE J STRUC CHEM,0.538
JOURNAL OF STRUCTURAL CHEMISTRY,J STRUCT CHEM+,0.536
RUSSIAN JOURNAL OF COORDINATION CHEMISTRY,RUSS J COORD CHEM+,0.516
MAIN GROUP METAL CHEMISTRY,MAIN GROUP MET CHEM,0.509
Synthesis and Reactivity in Inorganic Metal-Organic and Nano-Metal Chemistry,SYNTH REACT INORG M,0.493
CHINESE JOURNAL OF INORGANIC CHEMISTRY,CHINESE J INORG CHEM,0.488
