nfull,nabb,if
NATURAL PRODUCT REPORTS,NAT PROD REP,10.986
MEDICINAL RESEARCH REVIEWS,MED RES REV,9.135
JOURNAL OF MEDICINAL CHEMISTRY,J MED CHEM,5.589
EXPERT OPINION ON THERAPEUTIC PATENTS,EXPERT OPIN THER PAT,4.626
ACS Chemical Neuroscience,ACS CHEM NEUROSCI,4.348
EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,EUR J MED CHEM,3.902
Journal of Ginseng Research,J GINSENG RES,3.898
JOURNAL OF NATURAL PRODUCTS,J NAT PROD,3.662
Journal of Chemical Information and Modeling,J CHEM INF MODEL,3.657
CURRENT MEDICINAL CHEMISTRY,CURR MED CHEM,3.455
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,J ENZYM INHIB MED CH,3.428
ACS Medicinal Chemistry Letters,ACS MED CHEM LETT,3.355
Future Medicinal Chemistry,FUTURE MED CHEM,3.345
Marine Drugs,MAR DRUGS,3.345
ACS Combinatorial Science,ACS COMB SCI,3.317
JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,3.055
CHEMICAL RESEARCH IN TOXICOLOGY,CHEM RES TOXICOL,3.025
ChemMedChem,CHEMMEDCHEM,2.98
PHYTOMEDICINE,PHYTOMEDICINE,2.937
BIOORGANIC & MEDICINAL CHEMISTRY,BIOORGAN MED CHEM,2.923
CURRENT TOPICS IN MEDICINAL CHEMISTRY,CURR TOP MED CHEM,2.9
Drug Design Development and Therapy,DRUG DES DEV THER,2.881
CHEMBIOCHEM,CHEMBIOCHEM,2.85
MINI-REVIEWS IN MEDICINAL CHEMISTRY,MINI-REV MED CHEM,2.841
Nucleic Acid Therapeutics,NUCLEIC ACID THER,2.813
Chemical Biology & Drug Design,CHEM BIOL DRUG DES,2.802
Anti-Cancer Agents in Medicinal Chemistry,ANTI-CANCER AGENT ME,2.722
PHYTOTHERAPY RESEARCH,PHYTOTHER RES,2.694
JOURNAL OF PHARMACEUTICAL SCIENCES,J PHARM SCI-US,2.641
ARCHIVES OF PHARMACAL RESEARCH,ARCH PHARM RES,2.49
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,BIOORG MED CHEM LETT,2.486
DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY,DRUG DEV IND PHARM,2.429
FITOTERAPIA,FITOTERAPIA,2.408
MedChemComm,MEDCHEMCOMM,2.319
MOLECULAR DIVERSITY,MOL DIVERS,2.08
ARCHIV DER PHARMAZIE,ARCH PHARM,2.043
CHIRALITY,CHIRALITY,2.025
PLANTA MEDICA,PLANTA MED,1.99
JOURNAL OF MEDICINAL FOOD,J MED FOOD,1.844
Journal of Natural Medicines,J NAT MED-TOKYO,1.67
Molecular Informatics,MOL INFORM,1.57
JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,J LABELLED COMPD RAD,1.532
Medicinal Chemistry,MED CHEM,1.458
MEDICINAL CHEMISTRY RESEARCH,MED CHEM RES,1.436
PHARMAZIE,PHARMAZIE,1.264
CHEMICAL & PHARMACEUTICAL BULLETIN,CHEM PHARM BULL,1.228
Current Computer-Aided Drug Design,CURR COMPUT-AID DRUG,1.155
NATURAL PRODUCT RESEARCH,NAT PROD RES,1.057
JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,J ASIAN NAT PROD RES,1.009
Annual Reports in Medicinal Chemistry,ANNU REP MED CHEM,1
DRUG DEVELOPMENT RESEARCH,DRUG DEVELOP RES,0.984
Letters in Drug Design & Discovery,LETT DRUG DES DISCOV,0.974
Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy,REV BRAS FARMACOGN,0.956
Natural Product Communications,NAT PROD COMMUN,0.884
Pharmacognosy Magazine,PHARMACOGN MAG,0.831
Records of Natural Products,REC NAT PROD,0.765
CHEMISTRY OF NATURAL COMPOUNDS,CHEM NAT COMPD+,0.473
PHARMACEUTICAL CHEMISTRY JOURNAL,PHARM CHEM J+,0.461
ACS Infectious Diseases,ACS INFECT DIS,Not Available
