nfull,nabb,if
CHEMICAL REVIEWS,CHEM REV,37.369
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,34.09
Nature Chemistry,NAT CHEM,27.893
Energy & Environmental Science,ENERG ENVIRON SCI,25.427
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,22.003
ADVANCED MATERIALS,ADV MATER,18.96
NANO LETTERS,NANO LETT,13.779
ACS Nano,ACS NANO,13.334
Nano Today,NANO TODAY,13.157
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,J AM CHEM SOC,13.038
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,11.709
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,11.382
Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,10.234
Chemical Science,CHEM SCI,9.144
Materials Horizons,MATER HORIZ,9.095
GREEN CHEMISTRY,GREEN CHEM,8.506
Small,SMALL,8.315
Nanoscale,NANOSCALE,7.76
JOURNAL OF CONTROLLED RELEASE,J CONTROL RELEASE,7.441
ChemSusChem,CHEMSUSCHEM,7.116
CHEMICAL COMMUNICATIONS,CHEM COMMUN,6.567
Advanced Science,ADV SCI,6
Environmental Science-Nano,ENVIRON SCI-NANO,5.896
CHEMISTRY-A EUROPEAN JOURNAL,CHEM-EUR J,5.771
LAB ON A CHIP,LAB CHIP,5.586
IUCrJ,IUCRJ,5.316
ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,5.267
Journal of CO2 Utilization,J CO2 UTIL,4.764
Chemistry-An Asian Journal,CHEM-ASIAN J,4.592
ULTRASONICS SONOCHEMISTRY,ULTRASON SONOCHEM,4.556
BIOCONJUGATE CHEMISTRY,BIOCONJUGATE CHEM,4.5
CRYSTAL GROWTH & DESIGN,CRYST GROWTH DES,4.425
JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,J IND ENG CHEM,4.179
Topics in Current Chemistry,TOP CURR CHEM,4.014
LANGMUIR,LANGMUIR,3.993
