nfull,nabb,if
Advances in Organometallic Chemistry,ADV ORGANOMET CHEM,12.625
NATURAL PRODUCT REPORTS,NAT PROD REP,10.986
ALDRICHIMICA ACTA,ALDRICHIM ACTA,7.417
ORGANIC LETTERS,ORG LETT,6.732
ADVANCED SYNTHESIS & CATALYSIS,ADV SYNTH CATAL,6.453
BIOMACROMOLECULES,BIOMACROMOLECULES,5.583
JOURNAL OF ORGANIC CHEMISTRY,J ORG CHEM,4.785
Organic Chemistry Frontiers,ORG CHEM FRONT,4.693
Topics in Organometallic Chemistry,TOP ORGANOMETAL CHEM,4.543
BIOCONJUGATE CHEMISTRY,BIOCONJUGATE CHEM,4.5
CARBOHYDRATE POLYMERS,CARBOHYD POLYM,4.219
ORGANOMETALLICS,ORGANOMETALLICS,4.186
Advances in Carbohydrate Chemistry and Biochemistry,ADV CARBOHYD CHEM BI,3.667
ORGANIC & BIOMOLECULAR CHEMISTRY,ORG BIOMOL CHEM,3.559
Advances in Heterocyclic Chemistry,ADV HETEROCYCL CHEM,3.308
Asian Journal of Organic Chemistry,ASIAN J ORG CHEM,3.275
EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,EUR J ORG CHEM,3.068
BIOORGANIC & MEDICINAL CHEMISTRY,BIOORGAN MED CHEM,2.923
ORGANIC PROCESS RESEARCH & DEVELOPMENT,ORG PROCESS RES DEV,2.922
Beilstein Journal of Organic Chemistry,BEILSTEIN J ORG CHEM,2.697
SYNTHESIS-STUTTGART,SYNTHESIS-STUTTGART,2.652
TETRAHEDRON,TETRAHEDRON,2.645
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,BIOORG MED CHEM LETT,2.486
MOLECULES,MOLECULES,2.465
TETRAHEDRON LETTERS,TETRAHEDRON LETT,2.347
JOURNAL OF ORGANOMETALLIC CHEMISTRY,J ORGANOMET CHEM,2.336
SYNLETT,SYNLETT,2.323
BIOORGANIC CHEMISTRY,BIOORG CHEM,2.252
JOURNAL OF FLUORINE CHEMISTRY,J FLUORINE CHEM,2.213
TETRAHEDRON-ASYMMETRY,TETRAHEDRON-ASYMMETR,2.108
CURRENT ORGANIC SYNTHESIS,CURR ORG SYNTH,2.05
CHIRALITY,CHIRALITY,2.025
CURRENT ORGANIC CHEMISTRY,CURR ORG CHEM,1.949
CARBOHYDRATE RESEARCH,CARBOHYD RES,1.817
ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,ORG PREP PROCED INT,1.75
JOURNAL OF PHYSICAL ORGANIC CHEMISTRY,J PHYS ORG CHEM,1.515
BIOINORGANIC CHEMISTRY AND APPLICATIONS,BIOINORG CHEM APPL,1.488
MINI-REVIEWS IN ORGANIC CHEMISTRY,MINI-REV ORG CHEM,1.394
CHINESE JOURNAL OF ORGANIC CHEMISTRY,CHINESE J ORG CHEM,1.309
Advances in Physical Organic Chemistry,ADV PHYS ORG CHEM,1.286
ARKIVOC,ARKIVOC,1.177
HETEROCYCLES,HETEROCYCLES,1.107
SYNTHETIC COMMUNICATIONS,SYNTHETIC COMMUN,1.065
POLYCYCLIC AROMATIC COMPOUNDS,POLYCYCL AROMAT COMP,0.959
HETEROCYCLIC COMMUNICATIONS,HETEROCYCL COMMUN,0.828
Chemistry of Heterocyclic Compounds,CHEM HETEROCYCL COM+,0.815
RUSSIAN JOURNAL OF ORGANIC CHEMISTRY,RUSS J ORG CHEM+,0.76
LETTERS IN ORGANIC CHEMISTRY,LETT ORG CHEM,0.756
JOURNAL OF CARBOHYDRATE CHEMISTRY,J CARBOHYD CHEM,0.738
PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,PHOSPHORUS SULFUR,0.723
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,Z NATURFORSCH B,0.686
JOURNAL OF HETEROCYCLIC CHEMISTRY,J HETEROCYCLIC CHEM,0.685
RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY,RUSS J BIOORG CHEM+,0.66
JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN,J SYN ORG CHEM JPN,0.537
MAIN GROUP METAL CHEMISTRY,MAIN GROUP MET CHEM,0.509
PETROLEUM CHEMISTRY,PETROL CHEM+,0.495
CHEMISTRY OF NATURAL COMPOUNDS,CHEM NAT COMPD+,0.473
INDIAN JOURNAL OF CHEMISTRY SECTION B-ORGANIC CHEMISTRY INCLUDING MEDICINAL CHEMISTRY,INDIAN J CHEM B,0.471
INDIAN JOURNAL OF HETEROCYCLIC CHEMISTRY,INDIAN J HETEROCY CH,0.207
