nfull,nabb,if
NATURE MATERIALS,NAT MATER,38.891
ADVANCED MATERIALS,ADV MATER,18.96
Advanced Energy Materials,ADV ENERGY MATER,15.23
NANO LETTERS,NANO LETT,13.779
Annual Review of Physical Chemistry,ANNU REV PHYS CHEM,13.527
ACS Nano,ACS NANO,13.334
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,J PHOTOCH PHOTOBIO C,12.162
Nano Energy,NANO ENERGY,11.553
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,11.382
CHEMISTRY OF MATERIALS,CHEM MATER,9.407
ACS Catalysis,ACS CATAL,9.307
Nano Research,NANO RES,8.893
Journal of Physical Chemistry Letters,J PHYS CHEM LETT,8.539
APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,8.328
Small,SMALL,8.315
Journal of Materials Chemistry A,J MATER CHEM A,8.262
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,7.813
PROGRESS IN SURFACE SCIENCE,PROG SURF SCI,7.579
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,CATAL REV,7.526
JOURNAL OF CATALYSIS,J CATAL,7.354
PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,PROG NUCL MAG RES SP,7.231
JOURNAL OF POWER SOURCES,J POWER SOURCES,6.333
CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,CURR OPIN COLLOID IN,6.234
CARBON,CARBON,6.198
INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,INT REV PHYS CHEM,6.094
SURFACE SCIENCE REPORTS,SURF SCI REP,5.95
Journal of Chemical Theory and Computation,J CHEM THEORY COMPUT,5.301
Catalysis Science & Technology,CATAL SCI TECHNOL,5.287
ChemCatChem,CHEMCATCHEM,4.724
Journal of Physical Chemistry C,J PHYS CHEM C,4.509
Advances in Catalysis,ADV CATAL,4.5
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,PHYS CHEM CHEM PHYS,4.449
PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION,PART PART SYST CHAR,4.367
CATALYSIS TODAY,CATAL TODAY,4.312
APPLIED CATALYSIS A-GENERAL,APPL CATAL A-GEN,4.012
LANGMUIR,LANGMUIR,3.993
JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,J MOL CATAL A-CHEM,3.958
Liquid Crystals Reviews,LIQ CRYST REV,3.933
COLLOIDS AND SURFACES B-BIOINTERFACES,COLLOID SURFACE B,3.902
Soft Matter,SOFT MATTER,3.798
JOURNAL OF COLLOID AND INTERFACE SCIENCE,J COLLOID INTERF SCI,3.782
Structural Dynamics,STRUCT DYNAM-US,3.667
FARADAY DISCUSSIONS,FARADAY DISCUSS,3.544
CATALYSIS COMMUNICATIONS,CATAL COMMUN,3.389
MICROPOROUS AND MESOPOROUS MATERIALS,MICROPOR MESOPOR MAT,3.349
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,J PHYS CHEM REF DATA,3.29
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,INT J HYDROGEN ENERG,3.205
JOURNAL OF PHYSICAL CHEMISTRY B,J PHYS CHEM B,3.187
APPLIED SURFACE SCIENCE,APPL SURF SCI,3.15
CHEMPHYSCHEM,CHEMPHYSCHEM,3.138
JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,J AM SOC MASS SPECTR,3.031
JOURNAL OF ALLOYS AND COMPOUNDS,J ALLOY COMPD,3.014
Catalysts,CATALYSTS,2.964
JOURNAL OF CHEMICAL PHYSICS,J CHEM PHYS,2.894
JOURNAL OF PHYSICAL CHEMISTRY A,J PHYS CHEM A,2.883
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,COLLOID SURFACE A,2.76
JOURNAL OF MOLECULAR LIQUIDS,J MOL LIQ,2.74
PLATINUM METALS REVIEW,PLATIN MET REV,2.704
CHINESE JOURNAL OF CATALYSIS,CHINESE J CATAL,2.628
APPLIED CLAY SCIENCE,APPL CLAY SCI,2.586
JOURNAL OF SUPERCRITICAL FLUIDS,J SUPERCRIT FLUID,2.579
INTERMETALLICS,INTERMETALLICS,2.541
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,J PHOTOCH PHOTOBIO A,2.477
Methods and Applications in Fluorescence,METHODS APPL FLUORES,2.429
SOLID STATE IONICS,SOLID STATE IONICS,2.38
BIOPHYSICAL CHEMISTRY,BIOPHYS CHEM,2.363
TOPICS IN CATALYSIS,TOP CATAL,2.355
Electrocatalysis,ELECTROCATALYSIS-US,2.347
GOLD BULLETIN,GOLD BULL,2.323
Journal of Energy Chemistry,J ENERGY CHEM,2.322
CATALYSIS LETTERS,CATAL LETT,2.294
JOURNAL OF SOLID STATE CHEMISTRY,J SOLID STATE CHEM,2.265
SOLID STATE NUCLEAR MAGNETIC RESONANCE,SOLID STATE NUCL MAG,2.25
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,PHOTOCH PHOTOBIO SCI,2.235
JOURNAL OF CHEMICAL THERMODYNAMICS,J CHEM THERMODYN,2.196
JOURNAL OF MOLECULAR CATALYSIS B-ENZYMATIC,J MOL CATAL B-ENZYM,2.189
INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,INT J QUANTUM CHEM,2.184
Plasmonics,PLASMONICS,2.146
CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,CALPHAD,2.129
IONICS,IONICS,2.119
TETRAHEDRON-ASYMMETRY,TETRAHEDRON-ASYMMETR,2.108
SOLID STATE SCIENCES,SOLID STATE SCI,2.041
CATALYSIS SURVEYS FROM ASIA,CATAL SURV ASIA,2.038
THERMOCHIMICA ACTA,THERMOCHIM ACTA,1.938
SURFACE SCIENCE,SURF SCI,1.931
COLLOID AND POLYMER SCIENCE,COLLOID POLYM SCI,1.89
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,ADSORPTION,1.87
CHEMICAL PHYSICS LETTERS,CHEM PHYS LETT,1.86
STRUCTURAL CHEMISTRY,STRUCT CHEM,1.854
JOURNAL OF SURFACTANTS AND DETERGENTS,J SURFACTANTS DETERG,1.853
FLUID PHASE EQUILIBRIA,FLUID PHASE EQUILIBR,1.846
THEORETICAL CHEMISTRY ACCOUNTS,THEOR CHEM ACC,1.806
JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,J THERM ANAL CALORIM,1.781
JOURNAL OF MOLECULAR STRUCTURE,J MOL STRUCT,1.78
CHEMICAL PHYSICS,CHEM PHYS,1.758
Structure and Bonding,STRUCT BOND,1.753
INTERNATIONAL JOURNAL OF CHEMICAL KINETICS,INT J CHEM KINET,1.736
VIBRATIONAL SPECTROSCOPY,VIB SPECTROSC,1.682
MOLECULAR SIMULATION,MOL SIMULAT,1.678
EUROPEAN PHYSICAL JOURNAL E,EUR PHYS J E,1.625
JOURNAL OF FLUORESCENCE,J FLUORESC,1.601
JOURNAL OF PHYSICAL ORGANIC CHEMISTRY,J PHYS ORG CHEM,1.515
Surface Innovations,SURF INNOV,1.438
Computational and Theoretical Chemistry,COMPUT THEOR CHEM,1.403
JOURNAL OF POROUS MATERIALS,J POROUS MAT,1.385
Advances in Physical Organic Chemistry,ADV PHYS ORG CHEM,1.286
Reaction Kinetics Mechanisms and Catalysis,REACT KINET MECH CAT,1.265
JOURNAL OF SOLUTION CHEMISTRY,J SOLUTION CHEM,1.256
INTERNATIONAL JOURNAL OF PHOTOENERGY,INT J PHOTOENERGY,1.226
MAGNETIC RESONANCE IN CHEMISTRY,MAGN RESON CHEM,1.226
CLAYS AND CLAY MINERALS,CLAY CLAY MINER,1.222
RADIATION PHYSICS AND CHEMISTRY,RADIAT PHYS CHEM,1.207
ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE-INTERNATIONAL JOURNAL OF RESEARCH IN PHYSICAL CHEMISTRY & CHEMICAL PHYSICS,Z PHYS CHEM,1.183
Advances in Quantum Chemistry,ADV QUANTUM CHEM,1.17
JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,J DISPER SCI TECHNOL,1.112
PHYSICS AND CHEMISTRY OF LIQUIDS,PHYS CHEM LIQ,1.111
SURFACE AND INTERFACE ANALYSIS,SURF INTERFACE ANAL,1.018
Journal of Energetic Materials,J ENERG MATER,1.017
Physicochemical Problems of Mineral Processing,PHYSICOCHEM PROBL MI,0.977
INTERNATIONAL JOURNAL OF THERMOPHYSICS,INT J THERMOPHYS,0.946
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES,Z NATURFORSCH A,0.886
CLAY MINERALS,CLAY MINER,0.874
Silicon,SILICON-NETH,0.86
ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,0.844
FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES,FULLER NANOTUB CAR N,0.812
JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION,J PHASE EQUILIB DIFF,0.784
COLLOID JOURNAL,COLLOID J+,0.77
JOURNAL OF ADVANCED OXIDATION TECHNOLOGIES,J ADV OXID TECHNOL,0.738
HIGH ENERGY CHEMISTRY,HIGH ENERG CHEM+,0.69
TENSIDE SURFACTANTS DETERGENTS,TENSIDE SURFACT DET,0.678
