nfull,nabb,if
IEEE Transactions on Cybernetics,"2,246",4.943
HUMAN-COMPUTER INTERACTION,"1,123",3.7
USER MODELING AND USER-ADAPTED INTERACTION,655,2.292
IEEE Transactions on Affective Computing,520,1.873
IEEE Transactions on Human-Machine Systems,239,1.8
BIOLOGICAL CYBERNETICS,"4,172",1.611
IEEE Transactions on Systems Man Cybernetics-Systems,"3,462",1.598
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,"3,015",1.476
ACM Transactions on Computer-Human Interaction,705,1.293
MACHINE VISION AND APPLICATIONS,"1,265",1.272
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,"1,003",1.26
BEHAVIOUR & INFORMATION TECHNOLOGY,"1,366",1.211
IEEE Transactions on Haptics,356,1.031
Journal on Multimodal User Interfaces,141,1.017
INTERACTING WITH COMPUTERS,"1,129",0.889
CYBERNETICS AND SYSTEMS,525,0.88
PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,"1,320",0.789
Universal Access in the Information Society,352,0.656
KYBERNETES,674,0.637
KYBERNETIKA,678,0.628
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,323,0.503
MODELING IDENTIFICATION AND CONTROL,243,0.25
