nfull,nabb,if
PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,PERSPECT SEX REPRO H,3.214
DEMOGRAPHY,DEMOGRAPHY,2.8
European Journal of Population,EUR J POPUL,2.636
STUDIES IN FAMILY PLANNING,STUD FAMILY PLANN,2.192
International Perspectives on Sexual and Reproductive Health,INT PERSPECT SEX R H,2.03
POPULATION AND DEVELOPMENT REVIEW,POPUL DEV REV,1.926
Population Space and Place,POPUL SPACE PLACE,1.895
POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,POP STUD-J DEMOG,1.69
INTERNATIONAL MIGRATION REVIEW,INT MIGR REV,1.618
POPULATION AND ENVIRONMENT,POPUL ENVIRON,1.609
JOURNAL OF ETHNIC AND MIGRATION STUDIES,J ETHN MIGR STUD,1.536
Biodemography and Social Biology,BIODEMOGR SOC BIOL,1.5
Demographic Research,DEMOGR RES,1.221
POPULATION RESEARCH AND POLICY REVIEW,POPUL RES POLICY REV,1.154
POPULATION,POPULATION,1.14
JOURNAL OF POPULATION ECONOMICS,J POPUL ECON,1.139
JOURNAL OF BIOSOCIAL SCIENCE,J BIOSOC SCI,1.056
Journal of Refugee Studies,J REFUG STUD,1
Asian Population Studies,ASIAN POPUL STUD,0.941
INTERNATIONAL MIGRATION,INT MIGR,0.684
Mathematical Population Studies,MATH POPUL STUD,0.444
EUROPEAN JOURNAL OF MIGRATION AND LAW,EUR J MIGR LAW,0.359
Asian and Pacific Migration Journal,ASIAN PAC MIGR J,0.357
Papeles de Poblacion,PAPELES POBLAC,0.2
Canadian Studies in Population,CAN STUD POPUL,0.188
Journal of Demographic Economics,J DEMOGR ECON,Not Available
