nfull,nabb,if
PERIODONTOLOGY 2000,PERIODONTOL 2000,4.949
JOURNAL OF DENTAL RESEARCH,J DENT RES,4.602
ORAL ONCOLOGY,ORAL ONCOL,4.286
Clinical Implant Dentistry and Related Research,CLIN IMPLANT DENT R,4.152
DENTAL MATERIALS,DENT MATER,3.931
JOURNAL OF CLINICAL PERIODONTOLOGY,J CLIN PERIODONTOL,3.915
CLINICAL ORAL IMPLANTS RESEARCH,CLIN ORAL IMPLAN RES,3.464
JOURNAL OF DENTISTRY,J DENT,3.109
Molecular Oral Microbiology,MOL ORAL MICROBIOL,3.061
JOURNAL OF ENDODONTICS,J ENDODONT,2.904
JOURNAL OF PERIODONTOLOGY,J PERIODONTOL,2.844
INTERNATIONAL ENDODONTIC JOURNAL,INT ENDOD J,2.842
JOURNAL OF OROFACIAL PAIN,J OROFAC PAIN,2.824
OPERATIVE DENTISTRY,OPER DENT,2.819
International Journal of Oral Science,INT J ORAL SCI,2.595
JOURNAL OF PERIODONTAL RESEARCH,J PERIODONTAL RES,2.474
Journal of Oral & Facial Pain and Headache,J ORAL FACIAL PAIN H,2.444
European Journal of Oral Implantology,EUR J ORAL IMPLANTOL,2.328
CARIES RESEARCH,CARIES RES,2.278
COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,COMMUNITY DENT ORAL,2.233
Clinical Oral Investigations,CLIN ORAL INVEST,2.207
ORAL DISEASES,ORAL DIS,2
JOURNAL OF ORAL REHABILITATION,J ORAL REHABIL,1.926
DENTOMAXILLOFACIAL RADIOLOGY,DENTOMAXILLOFAC RAD,1.919
INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS,INT J ORAL MAX IMPL,1.859
JOURNAL OF ORAL PATHOLOGY & MEDICINE,J ORAL PATHOL MED,1.859
JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,J AM DENT ASSOC,1.767
ARCHIVES OF ORAL BIOLOGY,ARCH ORAL BIOL,1.733
Journal of Prosthodontic Research,J PROSTHODONT RES,1.693
AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,AM J ORTHOD DENTOFAC,1.69
Orthodontics & Craniofacial Research,ORTHOD CRANIOFAC RES,1.64
JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,J ORAL MAXIL SURG,1.631
EUROPEAN JOURNAL OF ORAL SCIENCES,EUR J ORAL SCI,1.607
JOURNAL OF ADHESIVE DENTISTRY,J ADHES DENT,1.594
JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,J CRANIO MAXILL SURG,1.592
ANGLE ORTHODONTIST,ANGLE ORTHOD,1.579
INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,INT J ORAL MAX SURG,1.563
Odontology,ODONTOLOGY,1.538
JOURNAL OF PROSTHETIC DENTISTRY,J PROSTHET DENT,1.515
INTERNATIONAL JOURNAL OF PROSTHODONTICS,INT J PROSTHODONT,1.487
Journal of Evidence-Based Dental Practice,J EVID-BASED DENT PR,1.474
EUROPEAN JOURNAL OF ORTHODONTICS,EUR J ORTHODONT,1.44
Journal of Oral Implantology,J ORAL IMPLANTOL,1.432
GERODONTOLOGY,GERODONTOLOGY,1.396
DENTAL TRAUMATOLOGY,DENT TRAUMATOL,1.327
International Journal of Paediatric Dentistry,INT J PAEDIATR DENT,1.303
AUSTRALIAN DENTAL JOURNAL,AUST DENT J,1.272
Oral Surgery Oral Medicine Oral Pathology Oral Radiology,OR SURG OR MED OR PA,1.262
BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY,BRIT J ORAL MAX SURG,1.237
Journal of Esthetic and Restorative Dentistry,J ESTHET RESTOR DENT,1.231
BMC Oral Health,BMC ORAL HEALTH,1.21
AMERICAN JOURNAL OF DENTISTRY,AM J DENT,1.194
JOURNAL OF PUBLIC HEALTH DENTISTRY,J PUBLIC HEALTH DENT,1.182
ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,1.171
Korean Journal of Orthodontics,KOREAN J ORTHOD,1.162
International Journal of Computerized Dentistry,INT J COMPUT DENT,1.154
Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry,J PROSTHODONT,1.133
Journal of Applied Oral Science,J APPL ORAL SCI,1.117
Journal of Periodontal and Implant Science,J PERIODONTAL IMPLAN,1.108
DENTAL MATERIALS JOURNAL,DENT MATER J,1.087
Medicina Oral Patologia Oral y Cirugia Bucal,MED ORAL PATOL ORAL,1.087
CLEFT PALATE-CRANIOFACIAL JOURNAL,CLEFT PALATE-CRAN J,1.05
INTERNATIONAL JOURNAL OF PERIODONTICS & RESTORATIVE DENTISTRY,INT J PERIODONT REST,1.039
Implant Dentistry,IMPLANT DENT,1.023
BRITISH DENTAL JOURNAL,BRIT DENT J,0.997
INTERNATIONAL DENTAL JOURNAL,INT DENT J,0.967
Head & Face Medicine,HEAD FACE MED,0.916
Australian Endodontic Journal,AUST ENDOD J,0.885
Brazilian Oral Research,BRAZ ORAL RES,0.859
Journal of Advanced Prosthodontics,J ADV PROSTHODONT,0.844
JOURNAL OF DENTAL EDUCATION,J DENT EDUC,0.83
QUINTESSENCE INTERNATIONAL,QUINTESSENCE INT,0.821
Journal of Oral Science,J ORAL SCI,0.804
PEDIATRIC DENTISTRY,PEDIATR DENT,0.8
Journal of Dental Sciences,J DENT SCI,0.795
International Journal of Dental Hygiene,INT J DENT HYG,0.791
Journal of Orofacial Orthopedics-Fortschritte der Kieferorthopadie,J OROFAC ORTHOP,0.789
European Journal of Dental Education,EUR J DENT EDUC,0.784
COMMUNITY DENTAL HEALTH,COMMUNITY DENT HLTH,0.767
CRANIO-THE JOURNAL OF CRANIOMANDIBULAR PRACTICE,CRANIO,0.738
Oral Health & Preventive Dentistry,ORAL HLTH PREV DENT,0.69
Oral and Maxillofacial Surgery Clinics of North America,ORAL MAXIL SURG CLIN,0.67
Journal of Clinical Pediatric Dentistry,J CLIN PEDIATR DENT,0.562
Australian Orthodontic Journal,AUST ORTHOD J,0.451
Oral Radiology,ORAL RADIOL,0.449
European Journal of Paediatric Dentistry,EUR J PAEDIATR DENT,0.421
SWEDISH DENTAL JOURNAL,SWED DENT J,0.381
Seminars in Orthodontics,SEMIN ORTHOD,0.346
JOURNAL OF THE CANADIAN DENTAL ASSOCIATION,J CAN DENT ASSOC,0.28
Revue de Stomatologie de Chirurgie Maxillo-faciale et de Chirurgie Orale,REV STOMATOL CHIR,0.248
Implantologie,IMPLANTOLOGIE,0.052
