nfull,nabb,if
JOURNAL OF INVESTIGATIVE DERMATOLOGY,J INVEST DERMATOL,6.915
CONTACT DERMATITIS,CONTACT DERMATITIS,5.692
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,J AM ACAD DERMATOL,5.621
JAMA Dermatology,JAMA DERMATOL,5.097
BRITISH JOURNAL OF DERMATOLOGY,BRIT J DERMATOL,4.317
Pigment Cell & Melanoma Research,PIGM CELL MELANOMA R,4.163
JOURNAL OF DERMATOLOGICAL SCIENCE,J DERMATOL SCI,3.739
ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,3.638
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,AM J CLIN DERMATOL,3.084
JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,J EUR ACAD DERMATOL,3.029
EXPERIMENTAL DERMATOLOGY,EXP DERMATOL,2.675
WOUND REPAIR AND REGENERATION,WOUND REPAIR REGEN,2.628
International Wound Journal,INT WOUND J,2.594
JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,J DTSCH DERMATOL GES,2.511
SKIN PHARMACOLOGY AND PHYSIOLOGY,SKIN PHARMACOL PHYS,2.488
CLINICS IN DERMATOLOGY,CLIN DERMATOL,2.367
MYCOSES,MYCOSES,2.332
Dermatitis,DERMATITIS,2.287
MELANOMA RESEARCH,MELANOMA RES,2.219
ARCHIVES OF DERMATOLOGICAL RESEARCH,ARCH DERMATOL RES,2.146
EUROPEAN JOURNAL OF DERMATOLOGY,EUR J DERMATOL,2.069
DERMATOLOGIC SURGERY,DERMATOL SURG,1.936
BURNS,BURNS,1.904
PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,PHOTODERMATOL PHOTO,1.897
DERMATOLOGIC CLINICS,DERMATOL CLIN,1.875
JOURNAL OF DERMATOLOGICAL TREATMENT,J DERMATOL TREAT,1.857
SKIN RESEARCH AND TECHNOLOGY,SKIN RES TECHNOL,1.776
Journal of Tissue Viability,J TISSUE VIABILITY,1.656
SEMINARS IN CUTANEOUS MEDICINE AND SURGERY,SEMIN CUTAN MED SURG,1.6
JOURNAL OF DERMATOLOGY,J DERMATOL,1.577
VETERINARY DERMATOLOGY,VET DERMATOL,1.568
INTERNATIONAL JOURNAL OF COSMETIC SCIENCE,INT J COSMETIC SCI,1.542
Journal of Drugs in Dermatology,J DRUGS DERMATOL,1.522
Indian Journal of Dermatology Venereology & Leprology,INDIAN J DERMATOL VE,1.488
DERMATOLOGY,DERMATOLOGY,1.449
INTERNATIONAL JOURNAL OF DERMATOLOGY,INT J DERMATOL,1.415
JOURNAL OF CUTANEOUS PATHOLOGY,J CUTAN PATHOL,1.409
AMERICAN JOURNAL OF DERMATOPATHOLOGY,AM J DERMATOPATH,1.396
International Journal of Lower Extremity Wounds,INT J LOW EXTR WOUND,1.366
Postepy Dermatologii i Alergologii,POSTEP DERM ALERGOL,1.342
Advances in Skin & Wound Care,ADV SKIN WOUND CARE,1.337
Annals of Dermatology,ANN DERMATOL,1.325
CLINICAL AND EXPERIMENTAL DERMATOLOGY,CLIN EXP DERMATOL,1.315
AUSTRALASIAN JOURNAL OF DERMATOLOGY,AUSTRALAS J DERMATOL,1.305
Dermatologic Therapy,DERMATOL THER,1.268
Journal of Wound Care,J WOUND CARE,1.205
JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,J CUTAN MED SURG,1.191
PEDIATRIC DERMATOLOGY,PEDIATR DERMATOL,1.163
Journal of Cosmetic Dermatology,J COSMET DERMATOL-US,1.126
GIORNALE ITALIANO DI DERMATOLOGIA E VENEREOLOGIA,GIORN ITAL DERMAT V,1.014
Journal of Cosmetic and Laser Therapy,J COSMET LASER THER,1
CUTIS,CUTIS,0.927
ANAIS BRASILEIROS DE DERMATOLOGIA,AN BRAS DERMATOL,0.88
LEPROSY REVIEW,LEPROSY REV,0.831
ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE,ANN DERMATOL VENER,0.584
HAUTARZT,HAUTARZT,0.511
Dermatologica Sinica,DERMATOL SIN,0.494
Acta Dermatovenerologica Croatica,ACTA DERMATOVENER CR,0.469
WOUNDS-A COMPENDIUM OF CLINICAL RESEARCH AND PRACTICE,WOUNDS,0.45
JOURNAL OF COSMETIC SCIENCE,J COSMET SCI,0.358
Hong Kong Journal of Dermatology & Venereology,HONG KONG J DERMATOL,0.061
