nfull,nabb,if
Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,12.755
GENES & DEVELOPMENT,GENE DEV,10.042
DEVELOPMENTAL CELL,DEV CELL,9.338
DEVELOPMENT,DEVELOPMENT,6.059
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SEMIN CELL DEV BIOL,5.181
Wiley Interdisciplinary Reviews-Developmental Biology,WIRES DEV BIOL,4.711
Current Topics in Developmental Biology,CURR TOP DEV BIOL,4.677
MOLECULAR HUMAN REPRODUCTION,MOL HUM REPROD,3.943
REPRODUCTION,REPRODUCTION,3.184
EvoDevo,EVODEVO,3.177
DEVELOPMENTAL BIOLOGY,DEV BIOL,3.155
BIRTH DEFECTS RESEARCH PART C-EMBRYO TODAY-REVIEWS,BIRTH DEFECTS RES C,3.12
Neural Development,NEURAL DEV,3.038
PLACENTA,PLACENTA,2.972
Organogenesis,ORGANOGENESIS,2.91
DEVELOPMENTAL NEUROSCIENCE,DEV NEUROSCI-BASEL,2.898
Developmental Neurobiology,DEV NEUROBIOL,2.529
DEVELOPMENT GENES AND EVOLUTION,DEV GENES EVOL,2.508
DIFFERENTIATION,DIFFERENTIATION,2.461
DEVELOPMENT GROWTH & DIFFERENTIATION,DEV GROWTH DIFFER,2.412
INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,INT J DEV NEUROSCI,2.38
DEVELOPMENTAL DYNAMICS,DEV DYNAM,2.233
Zebrafish,ZEBRAFISH,2.175
EVOLUTION & DEVELOPMENT,EVOL DEV,2.169
GENESIS,GENESIS,2.165
Sexual Development,SEX DEV,2.164
MOLECULAR REPRODUCTION AND DEVELOPMENT,MOL REPROD DEV,2.141
REPRODUCTION FERTILITY AND DEVELOPMENT,REPROD FERT DEVELOP,2.135
DEVELOPMENTAL PSYCHOBIOLOGY,DEV PSYCHOBIOL,2.128
BMC DEVELOPMENTAL BIOLOGY,BMC DEV BIOL,2.096
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,J EXP ZOOL PART B,2.083
MECHANISMS OF DEVELOPMENT,MECH DEVELOP,2.041
BIRTH DEFECTS RESEARCH PART A-CLINICAL AND MOLECULAR TERATOLOGY,BIRTH DEFECTS RES A,1.954
INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,INT J DEV BIOL,1.753
GENE EXPRESSION PATTERNS,GENE EXPR PATTERNS,1.485
ZYGOTE,ZYGOTE,1.37
CELLS TISSUES ORGANS,CELLS TISSUES ORGANS,1.228
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,IN VITRO CELL DEV-PL,1.152
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-ANIMAL,IN VITRO CELL DEV-AN,0.971
Romanian Journal of Morphology and Embryology,ROM J MORPHOL EMBRYO,0.811
Russian Journal of Developmental Biology,RUSS J DEV BIOL+,0.392
