nfull,nabb,if
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,16.735
ECOLOGY LETTERS,ECOL LETT,10.772
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,9.352
ISME Journal,ISME J,9.328
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,8.504
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,8.444
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,8.037
Methods in Ecology and Evolution,METHODS ECOL EVOL,6.344
JOURNAL OF ECOLOGY,J ECOL,6.18
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,5.952
MOLECULAR ECOLOGY,MOL ECOL,5.947
GLOBAL ECOLOGY AND BIOGEOGRAPHY,GLOBAL ECOL BIOGEOGR,5.84
ECOGRAPHY,ECOGRAPHY,5.355
Molecular Ecology Resources,MOL ECOL RESOUR,5.298
FUNCTIONAL ECOLOGY,FUNCT ECOL,5.21
JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,5.196
WILDLIFE MONOGRAPHS,WILDLIFE MONOGR,5.125
JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,4.827
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,4.823
ECOLOGY,ECOLOGY,4.733
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,4.566
Ecosystem Services,ECOSYST SERV,4.307
CONSERVATION BIOLOGY,CONSERV BIOL,4.267
ECOLOGICAL APPLICATIONS,ECOL APPL,4.252
EVOLUTION,EVOLUTION,4.007
JOURNAL OF BIOGEOGRAPHY,J BIOGEOGR,3.997
BIOLOGICAL CONSERVATION,BIOL CONSERV,3.985
Advances in Ecological Research,ADV ECOL RES,3.92
HEREDITY,HEREDITY,3.801
ECOSYSTEMS,ECOSYSTEMS,3.751
Biogeosciences,BIOGEOSCIENCES,3.7
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,3.657
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,3.654
OIKOS,OIKOS,3.586
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,PERSPECT PLANT ECOL,3.578
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,3.564
MICROBIAL ECOLOGY,MICROB ECOL,3.232
ECOLOGICAL ECONOMICS,ECOL ECON,3.227
JOURNAL OF CHEMICAL ECOLOGY,J CHEM ECOL,3.151
JOURNAL OF VEGETATION SCIENCE,J VEG SCI,3.151
AMERICAN NATURALIST,AM NAT,3.148
BEHAVIORAL ECOLOGY,BEHAV ECOL,3.029
PALEOBIOLOGY,PALEOBIOLOGY,2.959
OECOLOGIA,OECOLOGIA,2.902
ECOLOGY AND SOCIETY,ECOL SOC,2.89
BIOLOGICAL INVASIONS,BIOL INVASIONS,2.855
Biology Letters,BIOL LETTERS,2.823
ANIMAL CONSERVATION,ANIM CONSERV,2.788
JOURNAL OF EVOLUTIONARY BIOLOGY,J EVOLUTION BIOL,2.747
ECOLOGICAL ENGINEERING,ECOL ENG,2.74
BMC ECOLOGY,BMC ECOL,2.724
Current Opinion in Insect Science,CURR OPIN INSECT SCI,2.719
Fungal Ecology,FUNGAL ECOL,2.631
Ecology and Evolution,ECOL EVOL,2.537
Freshwater Science,FRESHW SCI,2.433
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,BEHAV ECOL SOCIOBIOL,2.382
MARINE ECOLOGY PROGRESS SERIES,MAR ECOL PROG SER,2.361
