nfull,nabb,if
JOURNAL OF ECONOMIC LITERATURE,J ECON LIT,6.614
QUARTERLY JOURNAL OF ECONOMICS,Q J ECON,5.538
Economic Systems Research,ECON SYST RES,5.306
JOURNAL OF FINANCE,J FINANC,5.29
JOURNAL OF ECONOMIC PERSPECTIVES,J ECON PERSPECT,5.012
REVIEW OF ECONOMIC STUDIES,REV ECON STUD,4.077
ECONOMETRICA,ECONOMETRICA,4.053
American Economic Journal-Applied Economics,AM ECON J-APPL ECON,4.038
AMERICAN ECONOMIC REVIEW,AM ECON REV,3.833
VALUE IN HEALTH,VALUE HEALTH,3.824
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
JOURNAL OF POLITICAL ECONOMY,J POLIT ECON,3.75
JOURNAL OF FINANCIAL ECONOMICS,J FINANC ECON,3.541
JOURNAL OF ACCOUNTING & ECONOMICS,J ACCOUNT ECON,3.535
Review of Environmental Economics and Policy,REV ENV ECON POLICY,3.5
Journal of the European Economic Association,J EUR ECON ASSOC,3.461
JOURNAL OF ECONOMIC GEOGRAPHY,J ECON GEOGR,3.429
ECOLOGICAL ECONOMICS,ECOL ECON,3.227
JOURNAL OF LABOR ECONOMICS,J LABOR ECON,3.214
REVIEW OF FINANCIAL STUDIES,REV FINANC STUD,3.119
REVIEW OF ECONOMICS AND STATISTICS,REV ECON STAT,2.979
ENERGY ECONOMICS,ENERG ECON,2.862
ECONOMIC GEOGRAPHY,ECON GEOGR,2.824
American Economic Journal-Economic Policy,AM ECON J-ECON POLIC,2.791
JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,J POLICY ANAL MANAG,2.788
American Economic Journal-Macroeconomics,AM ECON J-MACROECON,2.567
PHARMACOECONOMICS,PHARMACOECONOMICS,2.566
JOURNAL OF MONETARY ECONOMICS,J MONETARY ECON,2.488
Review of International Organizations,REV INT ORGAN,2.444
WORLD DEVELOPMENT,WORLD DEV,2.438
REVIEW OF INTERNATIONAL POLITICAL ECONOMY,REV INT POLIT ECON,2.414
ECONOMIC JOURNAL,ECON J,2.37
IMF Economic Review,IMF ECON REV,2.366
JOURNAL OF HEALTH ECONOMICS,J HEALTH ECON,2.339
MATHEMATICAL FINANCE,MATH FINANC,2.283
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
European Journal of Health Economics,EUR J HEALTH ECON,2.266
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,BROOKINGS PAP ECO AC,2.217
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,J ENVIRON ECON MANAG,2.197
WORK EMPLOYMENT AND SOCIETY,WORK EMPLOY SOC,2.153
HEALTH ECONOMICS,HEALTH ECON,2.151
JOURNAL OF URBAN ECONOMICS,J URBAN ECON,2.121
JOURNAL OF ECONOMIC GROWTH,J ECON GROWTH,2.12
Cambridge Journal of Regions Economy and Society,CAMB J REG ECON SOC,2.111
JOURNAL OF ECONOMIC SURVEYS,J ECON SURV,2.091
Journal of Transport Geography,J TRANSP GEOGR,2.09
Review of Finance,REV FINANC,2.08
ECONOMIC POLICY,ECON POLICY,2.062
FOOD POLICY,FOOD POLICY,2.044
Annual Review of Economics,ANNU REV ECON,2.036
JOURNAL OF INTERNATIONAL ECONOMICS,J INT ECON,2.017
JOURNAL OF HUMAN RESOURCES,J HUM RESOUR,2
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,TRANSPORT RES A-POL,1.994
REGIONAL STUDIES,REG STUD,1.987
Technological and Economic Development of Economy,TECHNOL ECON DEV ECO,1.952
Socio-Economic Review,SOCIO-ECON REV,1.926
JOURNAL OF APPLIED ECONOMETRICS,J APPL ECONOMET,1.872
International Review of Economics & Finance,INT REV ECON FINANC,1.846
JOURNAL OF DEVELOPMENT ECONOMICS,J DEV ECON,1.837
EXPERIMENTAL ECONOMICS,EXP ECON,1.836
JCMS-Journal of Common Market Studies,JCMS-J COMMON MARK S,1.83
Econometric Reviews,ECONOMET REV,1.817
SMALL BUSINESS ECONOMICS,SMALL BUS ECON,1.795
REVIEW OF WORLD ECONOMICS,REV WORLD ECON,1.767
