nfull,nabb,if
EDUCATIONAL PSYCHOLOGIST,EDUC PSYCHOL-US,5.688
REVIEW OF EDUCATIONAL RESEARCH,REV EDUC RES,5.235
Educational Research Review,EDUC RES REV-NETH,3.86
LEARNING AND INSTRUCTION,LEARN INSTR,3.692
JOURNAL OF THE LEARNING SCIENCES,J LEARN SCI,3.139
JOURNAL OF RESEARCH IN SCIENCE TEACHING,J RES SCI TEACH,3.052
Educational Researcher,EDUC RESEARCHER,3.049
AMERICAN EDUCATIONAL RESEARCH JOURNAL,AM EDUC RES J,2.924
COMPUTERS & EDUCATION,COMPUT EDUC,2.881
JOURNAL OF TEACHER EDUCATION,J TEACH EDUC,2.754
SCIENTIFIC STUDIES OF READING,SCI STUD READ,2.745
Internet and Higher Education,INTERNET HIGH EDUC,2.719
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,2.462
Academy of Management Learning & Education,ACAD MANAG LEARN EDU,2.458
Metacognition and Learning,METACOGN LEARN,2.4
International Journal of Computer-Supported Collaborative Learning,INT J COMP-SUPP COLL,2.2
JOURNAL OF EDUCATION POLICY,J EDUC POLICY,2.174
Studies in Science Education,STUD SCI EDUC,2.167
READING RESEARCH QUARTERLY,READ RES QUART,2.087
Distance Education,DISTANCE EDUC,2.021
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,EDUC EVAL POLICY AN,2.02
Language Teaching,LANG TEACHING,2
SOCIOLOGY OF EDUCATION,SOCIOL EDUC,2
JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION,J RES MATH EDUC,1.907
LANGUAGE LEARNING,LANG LEARN,1.869
TEACHING AND TEACHER EDUCATION,TEACH TEACH EDUC,1.823
Chemistry Education Research and Practice,CHEM EDUC RES PRACT,1.802
SCIENCE EDUCATION,SCI EDUC,1.8
International Journal of Sustainability in Higher Education,INT J SUST HIGHER ED,1.763
JOURNAL OF ENGINEERING EDUCATION,J ENG EDUC,1.739
EARLY CHILDHOOD RESEARCH QUARTERLY,EARLY CHILD RES Q,1.73
Review of Research in Education,REV RES EDUC,1.727
Computer Assisted Language Learning,COMPUT ASSIST LANG L,1.722
Learning Media and Technology,LEARN MEDIA TECHNOL,1.702
JOURNAL OF COMPUTER ASSISTED LEARNING,J COMPUT ASSIST LEAR,1.679
HEALTH EDUCATION RESEARCH,HEALTH EDUC RES,1.667
JOURNAL OF EXPERIMENTAL EDUCATION,J EXP EDUC,1.638
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,BRIT J EDUC TECHNOL,1.633
SECOND LANGUAGE RESEARCH,SECOND LANG RES,1.568
Journal of English for Academic Purposes,J ENGL ACAD PURP,1.558
JOURNAL OF SCHOOL HEALTH,J SCHOOL HEALTH,1.547
Critical Studies in Education,CRIT STUD EDUC,1.532
AIDS EDUCATION AND PREVENTION,AIDS EDUC PREV,1.524
TESOL QUARTERLY,TESOL QUART,1.513
INSTRUCTIONAL SCIENCE,INSTR SCI,1.462
Language Teaching Research,LANG TEACH RES,1.444
Comunicar,COMUNICAR,1.438
JOURNAL OF AMERICAN COLLEGE HEALTH,J AM COLL HEALTH,1.417
Physical Education and Sport Pedagogy,PHYS EDUC SPORT PEDA,1.39
LANGUAGE LEARNING & TECHNOLOGY,LANG LEARN TECHNOL,1.382
Environmental Education Research,ENVIRON EDUC RES,1.374
International Journal of Bilingual Education and Bilingualism,INT J BILING EDUC BI,1.338
SCHOOL EFFECTIVENESS AND SCHOOL IMPROVEMENT,SCH EFF SCH IMPROV,1.333
Vocations and Learning,VOCAT LEARN,1.333
Physical Review Special Topics-Physics Education Research,PHYS REV SPEC TOP-PH,1.316
BMC Medical Education,BMC MED EDUC,1.312
READING AND WRITING,READ WRIT,1.308
ECONOMICS OF EDUCATION REVIEW,ECON EDUC REV,1.297
RESEARCH IN THE TEACHING OF ENGLISH,RES TEACH ENGL,1.297
SPORT EDUCATION AND SOCIETY,SPORT EDUC SOC,1.269
International Journal of Educational Research,INT J EDUC RES,1.244
International Review of Research in Open and Distance Learning,INT REV RES OPEN DIS,1.244
Language Policy,LANG POLICY-NETH,1.235
STUDIES IN HIGHER EDUCATION,STUD HIGH EDUC,1.222
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,BRIT J SOCIOL EDUC,1.22
JOURNAL OF EDUCATIONAL RESEARCH,J EDUC RES,1.218
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,1.217
HIGHER EDUCATION,HIGH EDUC,1.207
Mind Culture and Activity,MIND CULT ACT,1.2
REVIEW OF HIGHER EDUCATION,REV HIGH EDUC,1.2
MODERN LANGUAGE JOURNAL,MOD LANG J,1.188
Early Education and Development,EARLY EDUC DEV,1.183
Mind Brain and Education,MIND BRAIN EDUC,1.182
INTERACTIVE LEARNING ENVIRONMENTS,INTERACT LEARN ENVIR,1.175
ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,ETR&D-EDUC TECH RES,1.171
Educational Psychology,EDUC PSYCHOL-UK,1.157
JOURNAL OF HIGHER EDUCATION,J HIGH EDUC,1.136
IEEE Transactions on Learning Technologies,IEEE T LEARN TECHNOL,1.129
ReCALL,RECALL,1.128
BRITISH EDUCATIONAL RESEARCH JOURNAL,BRIT EDUC RES J,1.124
Journal of Science Education and Technology,J SCI EDUC TECHNOL,1.124
EDUCATIONAL ADMINISTRATION QUARTERLY,EDUC ADMIN QUART,1.118
EDUCATIONAL TECHNOLOGY & SOCIETY,EDUC TECHNOL SOC,1.104
International Journal of Science and Mathematics Education,INT J SCI MATH EDUC,1.104
Assessing Writing,ASSESS WRIT,1.095
Journal of Research on Educational Effectiveness,J RES EDUC EFF,1.094
JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,J EDUC BEHAV STAT,1.083
JOURNAL OF CURRICULUM STUDIES,J CURRICULUM STUD,1.076
Assessment & Evaluation in Higher Education,ASSESS EVAL HIGH EDU,1.075
INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,INT J EDUC DEV,1.067
Journal of Studies in International Education,J STUD INT EDUC,1.066
COMPARATIVE EDUCATION,COMP EDUC,1.052
MINERVA,MINERVA,1.05
ELEMENTARY SCHOOL JOURNAL,ELEM SCHOOL J,1.04
Medical Education Online,MED EDUC ONLINE,1.039
JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,J GEOGR HIGHER EDUC,1.034
JOURNAL OF ENVIRONMENTAL EDUCATION,J ENVIRON EDUC,1.033
Education Finance and Policy,EDUC FINANC POLICY,1.023
Thinking Skills and Creativity,THINK SKILLS CREAT,1.022
Discourse-Studies in the Cultural Politics of Education,DISCOURSE-ABINGDON,1.019
Active Learning in Higher Education,ACT LEARN HIGH EDUC,1
Cambridge Journal of Education,CAMB J EDUC,1
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,INT J SCI EDUC,1
RESEARCH IN HIGHER EDUCATION,RES HIGH EDUC,1
Technology Pedagogy and Education,TECHNOL PEDAGOG EDUC,0.979
COMPARATIVE EDUCATION REVIEW,COMP EDUC REV,0.943
THEORY INTO PRACTICE,THEOR PRACT,0.936
Race Ethnicity and Education,RACE ETHNIC EDUC-UK,0.935
AMERICAN JOURNAL OF EDUCATION,AM J EDUC,0.925
Language and Education,LANG EDUC-UK,0.921
JOURNAL OF RESEARCH IN READING,J RES READ,0.917
