nfull,nabb,if
ACADEMIC MEDICINE,ACAD MED,4.194
MEDICAL EDUCATION,MED EDUC,3.369
Hematology-American Society of Hematology Education Program,HEMATOL-AM SOC HEMAT,3.126
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,2.462
MEDICAL TEACHER,MED TEACH,2.355
Anatomical Sciences Education,ANAT SCI EDUC,2.303
JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,J NUTR EDUC BEHAV,2.253
Studies in Science Education,STUD SCI EDUC,2.167
Journal of Surgical Education,J SURG EDUC,1.95
CBE-Life Sciences Education,CBE-LIFE SCI EDUC,1.908
Chemistry Education Research and Practice,CHEM EDUC RES PRACT,1.802
JOURNAL OF ENGINEERING EDUCATION,J ENG EDUC,1.739
ADVANCES IN PHYSIOLOGY EDUCATION,ADV PHYSIOL EDUC,1.723
NURSE EDUCATION TODAY,NURS EDUC TODAY,1.591
JOURNAL OF SCHOOL HEALTH,J SCHOOL HEALTH,1.547
JOURNAL OF CANCER EDUCATION,J CANCER EDUC,1.368
IEEE TRANSACTIONS ON EDUCATION,IEEE T EDUC,1.33
Physical Review Special Topics-Physics Education Research,PHYS REV SPEC TOP-PH,1.316
BMC Medical Education,BMC MED EDUC,1.312
JOURNAL OF CHEMICAL EDUCATION,J CHEM EDUC,1.225
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,AM J PHARM EDUC,1.196
TEACHING AND LEARNING IN MEDICINE,TEACH LEARN MED,1.159
Journal of Science Education and Technology,J SCI EDUC TECHNOL,1.124
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,J CONTIN EDUC HEALTH,1.112
AMERICAN JOURNAL OF PHYSICS,AM J PHYS,1.012
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,0.935
JOURNAL OF VETERINARY MEDICAL EDUCATION,J VET MED EDUC,0.901
Journal of Materials Education,J MATER EDUC,0.875
European Journal of Dental Education,EUR J DENT EDUC,0.784
EUROPEAN JOURNAL OF PHYSICS,EUR J PHYS,0.608
INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,INT J ENG EDUC,0.559
JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,J PROF ISS ENG ED PR,0.538
JOURNAL OF BIOLOGICAL EDUCATION,J BIOL EDUC,0.507
BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,BIOCHEM MOL BIOL EDU,0.465
ACM Transactions on Computing Education,ACM T COMPUT EDUC,0.432
Engineering Studies,ENG STUD,0.417
INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,INT J TECHNOL DES ED,0.355
INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION,INT J ELEC ENG EDUC,0.302
AMERICAN BIOLOGY TEACHER,AM BIOL TEACH,0.229
Indian Journal of Pharmaceutical Education and Research,INDIAN J PHARM EDUC,0.109
