nfull,nabb,if
EXCEPTIONAL CHILDREN,EXCEPT CHILDREN,2.796
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,J INTELL DISABIL RES,2.07
JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,2.022
REMEDIAL AND SPECIAL EDUCATION,REM SPEC EDUC,2.016
JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,J EMOT BEHAV DISORD,1.951
AJIDD-American Journal on Intellectual and Developmental Disabilities,AJIDD-AM J INTELLECT,1.882
RESEARCH IN DEVELOPMENTAL DISABILITIES,RES DEV DISABIL,1.877
JOURNAL OF LEARNING DISABILITIES,J LEARN DISABIL-US,1.643
Journal of Deaf Studies and Deaf Education,J DEAF STUD DEAF EDU,1.551
Intellectual and Developmental Disabilities,INTELLECT DEV DISAB,1.545
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,J POSIT BEHAV INTERV,1.545
DYSLEXIA,DYSLEXIA,1.429
JOURNAL OF SPECIAL EDUCATION,J SPEC EDUC,1.415
Research in Autism Spectrum Disorders,RES AUTISM SPECT DIS,1.317
Focus on Autism and Other Developmental Disabilities,FOCUS AUTISM DEV DIS,1.273
Learning Disabilities Research & Practice,LEARN DISABIL RES PR,1.222
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,TOP EARLY CHILD SPEC,1.143
Child Language Teaching & Therapy,CHILD LANG TEACH THE,1.093
AMERICAN ANNALS OF THE DEAF,AM ANN DEAF,1.071
ANNALS OF DYSLEXIA,ANN DYSLEXIA,1
JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,J INTELLECT DEV DIS,0.892
GIFTED CHILD QUARTERLY,GIFTED CHILD QUART,0.762
RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,RES PRACT PERS SEV D,0.738
HIGH ABILITY STUDIES,HIGH ABIL STUD,0.737
International Journal of Disability Development and Education,INT J DISABIL DEV ED,0.735
LEARNING DISABILITY QUARTERLY,LEARN DISABILITY Q,0.73
Journal of Mental Health Research in Intellectual Disabilities,J MENT HEALTH RES IN,0.722
JOURNAL OF EARLY INTERVENTION,J EARLY INTERVENTION,0.657
European Journal of Special Needs Education,EUR J SPEC NEEDS EDU,0.606
Infants & Young Children,INFANT YOUNG CHILD,0.587
Education and Training in Autism and Developmental Disabilities,EDUC TRAIN AUTISM DE,0.512
Education and Treatment of Children,EDUC TREAT CHILD,0.485
International Review of Research in Developmental Disabilities,INT REV RES DEV DISA,0.469
Reading & Writing Quarterly,READ WRIT Q,0.452
British Journal of Learning Disabilities,BRIT J LEARN DISABIL,0.391
International Journal of Developmental Disabilities,INT J DEV DISABIL,0.359
Exceptionality,EXCEPTIONALITY,0.323
VOLTA REVIEW,VOLTA REV,0.2
INTERVENTION IN SCHOOL AND CLINIC,INTERV SCH CLIN,0.197
