nfull,nabb,if
ACS Macro Letters,ACS MACRO LETT,5.766
ACTA POLYMERICA SINICA,ACTA POLYM SIN,0.508
Advances in Polymer Science,ADV POLYM SCI,1.95
ADVANCES IN POLYMER TECHNOLOGY,ADV POLYM TECH,1.114
BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,3.556
BIOMACROMOLECULES,BIOMACROMOLECULES,5.583
BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,7.476
CARBOHYDRATE POLYMERS,CARBOHYD POLYM,4.219
CELLULAR POLYMERS,CELL POLYM,0.615
CELLULOSE,CELLULOSE,3.195
ChemElectroChem,CHEMELECTROCHEM,3.506
CHEMICAL VAPOR DEPOSITION,CHEM VAPOR DEPOS,1.789
CHINESE JOURNAL OF POLYMER SCIENCE,CHINESE J POLYM SCI,1.811
COLLOID AND POLYMER SCIENCE,COLLOID POLYM SCI,1.89
CORROSION REVIEWS,CORROS REV,1.45
DESIGNED MONOMERS AND POLYMERS,DES MONOMERS POLYM,1.497
E-POLYMERS,E-POLYMERS,0.812
ECS Electrochemistry Letters,ECS ELECTROCHEM LETT,1.962
ELECTROANALYSIS,ELECTROANAL,2.471
Electrocatalysis,ELECTROCATALYSIS-US,2.347
ELECTROCHEMISTRY,ELECTROCHEMISTRY,0.791
ELECTROCHEMISTRY COMMUNICATIONS,ELECTROCHEM COMMUN,4.569
ELECTROCHIMICA ACTA,ELECTROCHIM ACTA,4.803
EUROPEAN PHYSICAL JOURNAL E,EUR PHYS J E,1.625
EUROPEAN POLYMER JOURNAL,EUR POLYM J,3.485
Express Polymer Letters,EXPRESS POLYM LETT,2.965
FIBERS AND POLYMERS,FIBER POLYM,1.022
Fuel Cells,FUEL CELLS,1.769
HIGH PERFORMANCE POLYMERS,HIGH PERFORM POLYM,1.045
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,INT J BIOL MACROMOL,3.138
International Journal of Electrochemical Science,INT J ELECTROCHEM SC,1.692
