nfull,nabb,if
RESUSCITATION,RESUSCITATION,5.414
ANNALS OF EMERGENCY MEDICINE,ANN EMERG MED,5.008
Emergencias,EMERGENCIAS,2.917
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,2.537
Scandinavian Journal of Trauma Resuscitation & Emergency Medicine,SCAND J TRAUMA RESUS,2.31
Prehospital Emergency Care,PREHOSP EMERG CARE,2.104
European Journal of Emergency Medicine,EUR J EMERG MED,2.026
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,INJURY,1.91
EMERGENCY MEDICINE JOURNAL,EMERG MED J,1.836
World Journal of Emergency Surgery,WORLD J EMERG SURG,1.583
AMERICAN JOURNAL OF EMERGENCY MEDICINE,AM J EMERG MED,1.504
Emergency Medicine Australasia,EMERG MED AUSTRALAS,1.223
Canadian Journal of Emergency Medicine,CAN J EMERG MED,1.106
EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,EMERG MED CLIN N AM,1.07
JOURNAL OF EMERGENCY MEDICINE,J EMERG MED,1.048
PEDIATRIC EMERGENCY CARE,PEDIATR EMERG CARE,0.923
Journal of Emergency Nursing,J EMERG NURS,0.872
UNFALLCHIRURG,UNFALLCHIRURG,0.581
European Journal of Trauma and Emergency Surgery,EUR J TRAUMA EMERG S,0.472
Ulusal Travma ve Acil Cerrahi Dergisi-Turkish Journal of Trauma & Emergency Surgery,ULUS TRAVMA ACIL CER,0.453
Notarzt,NOTARZT,0.408
Notfall & Rettungsmedizin,NOTFALL RETTUNGSMED,0.319
Signa Vitae,SIGNA VITAE,0.154
Hong Kong Journal of Emergency Medicine,HONG KONG J EMERG ME,0.153
