nfull,nabb,if
Cell Metabolism,CELL METAB,17.303
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,16.32
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,15.432
ENDOCRINE REVIEWS,ENDOCR REV,14.898
JOURNAL OF PINEAL RESEARCH,J PINEAL RES,9.314
TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS ENDOCRIN MET,8.964
DIABETES CARE,DIABETES CARE,8.934
FRONTIERS IN NEUROENDOCRINOLOGY,FRONT NEUROENDOCRIN,8.852
DIABETES,DIABETES,8.784
Obesity Reviews,OBES REV,7.51
ANTIOXIDANTS & REDOX SIGNALING,ANTIOXID REDOX SIGN,7.093
DIABETOLOGIA,DIABETOLOGIA,6.206
DIABETES OBESITY & METABOLISM,DIABETES OBES METAB,6.198
FREE RADICAL BIOLOGY AND MEDICINE,FREE RADICAL BIO MED,5.784
JOURNAL OF BONE AND MINERAL RESEARCH,J BONE MINER RES,5.622
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,J CLIN ENDOCR METAB,5.531
Molecular Metabolism,MOL METAB,5.363
INTERNATIONAL JOURNAL OF OBESITY,INT J OBESITY,5.337
CURRENT OPINION IN LIPIDOLOGY,CURR OPIN LIPIDOL,5.336
REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,REV ENDOCR METAB DIS,5.088
BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,BEST PRACT RES CL EN,5.07
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,J CEREBR BLOOD F MET,4.929
PSYCHONEUROENDOCRINOLOGY,PSYCHONEUROENDOCRINO,4.704
DIABETES & METABOLISM,DIABETES METAB,4.693
Cardiovascular Diabetology,CARDIOVASC DIABETOL,4.534
BIOFACTORS,BIOFACTORS,4.504
JOURNAL OF ENDOCRINOLOGY,J ENDOCRINOL,4.498
ENDOCRINE-RELATED CANCER,ENDOCR-RELAT CANCER,4.472
METABOLISM-CLINICAL AND EXPERIMENTAL,METABOLISM,4.375
ENDOCRINOLOGY,ENDOCRINOLOGY,4.159
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,CURR OPIN CLIN NUTR,4.033
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,J STEROID BIOCHEM,3.985
EUROPEAN JOURNAL OF ENDOCRINOLOGY,EUR J ENDOCRINOL,3.892
MOLECULAR AND CELLULAR ENDOCRINOLOGY,MOL CELL ENDOCRINOL,3.859
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,AM J PHYSIOL-ENDOC M,3.825
THYROID,THYROID,3.784
PROSTATE,PROSTATE,3.778
BONE,BONE,3.736
Current Diabetes Reports,CURR DIABETES REP,3.711
Metabolomics,METABOLOMICS,3.661
Obesity,OBESITY,3.614
JOURNAL OF INHERITED METABOLIC DISEASE,J INHERIT METAB DIS,3.541
PEDIATRIC DIABETES,PEDIATR DIABETES,3.488
CLINICAL ENDOCRINOLOGY,CLIN ENDOCRINOL,3.487
