nfull,nabb,if
Energy & Environmental Science,ENERG ENVIRON SCI,25.427
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,16.784
Advanced Energy Materials,ADV ENERGY MATER,15.23
Journal of Materials Chemistry A,J MATER CHEM A,8.262
PROGRESS IN PHOTOVOLTAICS,PROG PHOTOVOLTAICS,7.365
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,6.798
Biotechnology for Biofuels,BIOTECHNOL BIOFUELS,6.444
JOURNAL OF POWER SOURCES,J POWER SOURCES,6.333
Global Change Biology Bioenergy,GCB BIOENERGY,6.151
APPLIED ENERGY,APPL ENERG,5.746
BIORESOURCE TECHNOLOGY,BIORESOURCE TECHNOL,4.917
ENERGY CONVERSION AND MANAGEMENT,ENERG CONVERS MANAGE,4.801
SOLAR ENERGY MATERIALS AND SOLAR CELLS,SOL ENERG MAT SOL C,4.732
Biofuels Bioproducts & Biorefining-Biofpr,BIOFUEL BIOPROD BIOR,4.416
ENERGY,ENERGY,4.292
COMBUSTION AND FLAME,COMBUST FLAME,4.168
PROCEEDINGS OF THE COMBUSTION INSTITUTE,P COMBUST INST,4.12
International Journal of Greenhouse Gas Control,INT J GREENH GAS CON,4.064
FUEL PROCESSING TECHNOLOGY,FUEL PROCESS TECHNOL,3.847
IEEE Journal of Photovoltaics,IEEE J PHOTOVOLT,3.736
IEEE Transactions on Sustainable Energy,IEEE T SUSTAIN ENERG,3.727
SOLAR ENERGY,SOL ENERGY,3.685
FUEL,FUEL,3.611
RENEWABLE ENERGY,RENEW ENERG,3.404
BioEnergy Research,BIOENERG RES,3.309
INTERNATIONAL JOURNAL OF COAL GEOLOGY,INT J COAL GEOL,3.294
BIOMASS & BIOENERGY,BIOMASS BIOENERG,3.249
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,INT J HYDROGEN ENERG,3.205
ENERGY POLICY,ENERG POLICY,3.045
APPLIED THERMAL ENGINEERING,APPL THERM ENG,3.043
ENERGY AND BUILDINGS,ENERG BUILDINGS,2.973
WIND ENERGY,WIND ENERGY,2.891
ENERGY & FUELS,ENERG FUEL,2.835
IEEE TRANSACTIONS ON ENERGY CONVERSION,IEEE T ENERGY CONVER,2.596
Energy Technology,ENERGY TECHNOL-GER,2.557
INTERNATIONAL JOURNAL OF ENERGY RESEARCH,INT J ENERG RES,2.529
Energy for Sustainable Development,ENERGY SUSTAIN DEV,2.379
GEOTHERMICS,GEOTHERMICS,2.323
Journal of Energy Chemistry,J ENERGY CHEM,2.322
Wiley Interdisciplinary Reviews-Energy and Environment,WIRES ENERGY ENVIRON,2.321
COMBUSTION THEORY AND MODELLING,COMBUST THEOR MODEL,2.23
CHEMICAL ENGINEERING AND PROCESSING,CHEM ENG PROCESS,2.154
Energies,ENERGIES,2.077
Journal of Natural Gas Science and Engineering,J NAT GAS SCI ENG,2.045
Greenhouse Gases-Science and Technology,GREENH GASES,1.92
JOURNAL OF ENERGY ENGINEERING,J ENERG ENG,1.895
Fuel Cells,FUEL CELLS,1.769
SPE RESERVOIR EVALUATION & ENGINEERING,SPE RESERV EVAL ENG,1.767
ENERGY JOURNAL,ENERG J,1.662
JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,J PETROL SCI ENG,1.655
International Journal of Green Energy,INT J GREEN ENERGY,1.601
JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,J SOL ENERG-T ASME,1.571
IET Renewable Power Generation,IET RENEW POWER GEN,1.562
International Journal of Exergy,INT J EXERGY,1.377
Petroleum Exploration and Development,PETROL EXPLOR DEV+,1.377
JOURNAL OF ENERGY RESOURCES TECHNOLOGY-TRANSACTIONS OF THE ASME,J ENERG RESOUR-ASME,1.336
INTERNATIONAL JOURNAL OF PHOTOENERGY,INT J PHOTOENERGY,1.226
COMBUSTION SCIENCE AND TECHNOLOGY,COMBUST SCI TECHNOL,1.193
Energy Efficiency,ENERG EFFIC,1.183
Utilities Policy,UTIL POLICY,1.11
ENERGY EXPLORATION & EXPLOITATION,ENERG EXPLOR EXPLOIT,1.094
Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,OIL GAS SCI TECHNOL,1.087
Sustainable Cities and Society,SUSTAIN CITIES SOC,1.044
JOURNAL OF THE ENERGY INSTITUTE,J ENERGY INST,1
Journal of Renewable and Sustainable Energy,J RENEW SUSTAIN ENER,0.961
Petroleum Science,PETROL SCI,0.901
OIL SHALE,OIL SHALE,0.877
International Journal of Coal Preparation and Utilization,INT J COAL PREP UTIL,0.855
JOURNAL OF CANADIAN PETROLEUM TECHNOLOGY,J CAN PETROL TECHNOL,0.787
Proceedings of the Institution of Civil Engineers-Energy,P I CIVIL ENG-ENERGY,0.744
Journal of Fuel Cell Science and Technology,J FUEL CELL SCI TECH,0.711
International Journal of Ventilation,INT J VENT,0.662
Journal of Biobased Materials and Bioenergy,J BIOBASED MATER BIO,0.635
JOURNAL OF THE JAPAN PETROLEUM INSTITUTE,J JPN PETROL INST,0.605
COMBUSTION EXPLOSION AND SHOCK WAVES,COMBUST EXPLO SHOCK+,0.604
Energy Sources Part B-Economics Planning and Policy,ENERG SOURCE PART B,0.579
PETROLEUM CHEMISTRY,PETROL CHEM+,0.495
International Journal of Oil Gas and Coal Technology,INT J OIL GAS COAL T,0.464
Energy Sources Part A-Recovery Utilization and Environmental Effects,ENERG SOURCE PART A,0.455
PETROLEUM SCIENCE AND TECHNOLOGY,PETROL SCI TECHNOL,0.418
China Petroleum Processing & Petrochemical Technology,CHINA PET PROCESS PE,0.388
OIL GAS-EUROPEAN MAGAZINE,OIL GAS-EUR MAG,0.299
CT&F-Ciencia Tecnologia y Futuro,CT F-CIENC TECN FUT,0.281
CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS,CHEM TECH FUELS OIL+,0.273
Solid Fuel Chemistry,SOLID FUEL CHEM+,0.258
Journal of Energy in Southern Africa,J ENERGY SOUTH AFR,0.237
OIL & GAS JOURNAL,OIL GAS J,0.066
POWER,POWER,0.056
