nfull,nabb,if
PROGRESS IN AEROSPACE SCIENCES,PROG AEROSP SCI,3.811
AEROSPACE SCIENCE AND TECHNOLOGY,AEROSP SCI TECHNOL,1.751
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,IEEE T AERO ELEC SYS,1.672
JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,J GUID CONTROL DYNAM,1.651
AIAA JOURNAL,AIAA J,1.326
JOURNAL OF PROPULSION AND POWER,J PROPUL POWER,1.134
ACTA ASTRONAUTICA,ACTA ASTRONAUT,1.095
Navigation-Journal of the Institute of Navigation,NAVIGATION-US,0.979
Chinese Journal of Aeronautics,CHINESE J AERONAUT,0.977
International Journal of Aerospace Engineering,INT J AEROSPACE ENG,0.889
JOURNAL OF THE AMERICAN HELICOPTER SOCIETY,J AM HELICOPTER SOC,0.852
JOURNAL OF AEROSPACE ENGINEERING,J AEROSPACE ENG,0.815
MICROGRAVITY SCIENCE AND TECHNOLOGY,MICROGRAVITY SCI TEC,0.725
JOURNAL OF SPACECRAFT AND ROCKETS,J SPACECRAFT ROCKETS,0.716
JOURNAL OF AIRCRAFT,J AIRCRAFT,0.701
INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,INT J SATELL COMM N,0.7
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART G-JOURNAL OF AEROSPACE ENGINEERING,P I MECH ENG G-J AER,0.653
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,IEEE AERO EL SYS MAG,0.611
COSMIC RESEARCH,COSMIC RES+,0.61
ESA BULLETIN-EUROPEAN SPACE AGENCY,ESA BULL-EUR SPACE,0.568
AERONAUTICAL JOURNAL,AERONAUT J,0.537
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,AIRCR ENG AEROSP TEC,0.474
JOURNAL OF THE ASTRONAUTICAL SCIENCES,J ASTRONAUT SCI,0.469
International Journal of Aeronautical and Space Sciences,INT J AERONAUT SPACE,0.455
International Journal of Aeroacoustics,INT J AEROACOUST,0.414
International Journal of Micro Air Vehicles,INT J MICRO AIR VEH,0.343
Journal of Aerospace Information Systems,J AEROSP INFORM SYST,0.302
TRANSACTIONS OF THE JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES,T JPN SOC AERONAUT S,0.287
INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,INT J TURBO JET ENG,0.203
AEROSPACE AMERICA,AEROSPACE AM,0.034
