nfull,nabb,if
Annual Review of Biomedical Engineering,ANNU REV BIOMED ENG,10.256
BIOMATERIALS,BIOMATERIALS,8.387
Acta Biomaterialia,ACTA BIOMATER,6.008
Advanced Healthcare Materials,ADV HEALTHC MATER,5.76
Journal of Tissue Engineering and Regenerative Medicine,J TISSUE ENG REGEN M,4.71
Biofabrication,BIOFABRICATION,4.702
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,4.565
EUROPEAN CELLS & MATERIALS,EUR CELLS MATER,4.56
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,3.756
Journal of Neural Engineering,J NEURAL ENG,3.493
CLINICAL ORAL IMPLANTS RESEARCH,CLIN ORAL IMPLAN RES,3.464
Biomedical Materials,BIOMED MATER,3.361
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,J BIOMED MATER RES A,3.263
Biomechanics and Modeling in Mechanobiology,BIOMECH MODEL MECHAN,3.032
Organogenesis,ORGANOGENESIS,2.91
ANNALS OF BIOMEDICAL ENGINEERING,ANN BIOMED ENG,2.887
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,J BIOMED MATER RES B,2.881
Journal of the Mechanical Behavior of Biomedical Materials,J MECH BEHAV BIOMED,2.876
PHYSICS IN MEDICINE AND BIOLOGY,PHYS MED BIOL,2.811
Regenerative Medicine,REGEN MED,2.602
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,IEEE T NEUR SYS REH,2.583
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,IEEE T BIO-MED ENG,2.468
LASERS IN MEDICAL SCIENCE,LASER MED SCI,2.461
JOURNAL OF BIOMECHANICS,J BIOMECH,2.431
Journal of NeuroEngineering and Rehabilitation,J NEUROENG REHABIL,2.419
ASAIO JOURNAL,ASAIO J,2.291
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,J MATER SCI-MATER M,2.272
BIOMEDICAL MICRODEVICES,BIOMED MICRODEVICES,2.227
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED,2.142
ULTRASONIC IMAGING,ULTRASONIC IMAGING,2.111
Artificial Cells Nanomedicine and Biotechnology,ARTIF CELL NANOMED B,2.024
IEEE Transactions on Biomedical Circuits and Systems,IEEE T BIOMED CIRC S,2.018
ARTIFICIAL ORGANS,ARTIF ORGANS,1.993
JOURNAL OF BIOMATERIALS APPLICATIONS,J BIOMATER APPL,1.988
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,1.862
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,COMPUT METHOD BIOMEC,1.85
International Journal for Numerical Methods in Biomedical Engineering,INT J NUMER METH BIO,1.849
International Journal of Computer Assisted Radiology and Surgery,INT J COMPUT ASS RAD,1.827
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MED BIOL ENG COMPUT,1.797
Expert Review of Medical Devices,EXPERT REV MED DEVIC,1.762
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,J BIOMECH ENG-T ASME,1.747
JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,J BIOMAT SCI-POLYM E,1.733
Biomedical Engineering-Biomedizinische Technik,BIOMED ENG-BIOMED TE,1.65
CLINICAL BIOMECHANICS,CLIN BIOMECH,1.636
MEDICAL ENGINEERING & PHYSICS,MED ENG PHYS,1.619
PHYSIOLOGICAL MEASUREMENT,PHYSIOL MEAS,1.576
Biomedical Signal Processing and Control,BIOMED SIGNAL PROCES,1.521
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,1.521
PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,PACE,1.44
JOURNAL OF ARTIFICIAL ORGANS,J ARTIF ORGANS,1.438
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,COMPUT MED IMAG GRAP,1.385
Biomedical Engineering Online,BIOMED ENG ONLINE,1.382
CELL AND TISSUE BANKING,CELL TISSUE BANK,1.248
Sports Biomechanics,SPORT BIOMECH,1.209
Journal of Medical and Biological Engineering,J MED BIOL ENG,1.018
JOURNAL OF APPLIED BIOMECHANICS,J APPL BIOMECH,1.01
INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,INT J ARTIF ORGANS,1.005
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,P I MECH ENG H,0.996
BIO-MEDICAL MATERIALS AND ENGINEERING,BIO-MED MATER ENG,0.988
