nfull,nabb,if
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,5.288
JOURNAL OF HAZARDOUS MATERIALS,J HAZARD MATER,4.836
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,TRANSPORT RES B-METH,3.769
BUILDING AND ENVIRONMENT,BUILD ENVIRON,3.394
JOURNAL OF HYDROLOGY,J HYDROL,3.043
ENERGY AND BUILDINGS,ENERG BUILDINGS,2.973
COASTAL ENGINEERING,COAST ENG,2.841
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,IEEE T INTELL TRANSP,2.534
JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,J WATER RES PLAN MAN,2.521
JOURNAL OF COMPOSITES FOR CONSTRUCTION,J COMPOS CONSTR,2.503
MATERIALS AND STRUCTURES,MATER STRUCT,2.453
AUTOMATION IN CONSTRUCTION,AUTOMAT CONSTR,2.442
WATER RESOURCES MANAGEMENT,WATER RESOUR MANAG,2.437
COMPUTERS & STRUCTURES,COMPUT STRUCT,2.425
CONSTRUCTION AND BUILDING MATERIALS,CONSTR BUILD MATER,2.421
EARTHQUAKE SPECTRA,EARTHQ SPECTRA,2.298
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,TRANSPORT RES E-LOG,2.279
JOURNAL OF URBAN PLANNING AND DEVELOPMENT,J URBAN PLAN DEV,2.246
STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,STOCH ENV RES RISK A,2.237
Archives of Civil and Mechanical Engineering,ARCH CIV MECH ENG,2.194
EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,EARTHQ ENG STRUCT D,2.127
STRUCTURAL SAFETY,STRUCT SAF,2.086
Structural Control & Health Monitoring,STRUCT CONTROL HLTH,2.082
THIN-WALLED STRUCTURES,THIN WALL STRUCT,2.063
JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,J WIND ENG IND AEROD,2.024
Journal of Hydro-environment Research,J HYDRO-ENVIRON RES,1.971
JOURNAL OF ENERGY ENGINEERING,J ENERG ENG,1.895
ENGINEERING STRUCTURES,ENG STRUCT,1.893
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,J COMPUT CIVIL ENG,1.855
JOURNAL OF MANAGEMENT IN ENGINEERING,J MANAGE ENG,1.84
STEEL AND COMPOSITE STRUCTURES,STEEL COMPOS STRUCT,1.796
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,TUNN UNDERGR SP TECH,1.741
MARINE STRUCTURES,MAR STRUCT,1.729
JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,J CONSTR STEEL RES,1.702
JOURNAL OF STRUCTURAL ENGINEERING,J STRUCT ENG,1.7
COLD REGIONS SCIENCE AND TECHNOLOGY,COLD REG SCI TECHNOL,1.693
IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE J OCEANIC ENG,1.648
Road Materials and Pavement Design,ROAD MATER PAVEMENT,1.547
TRANSPORTATION,TRANSPORTATION,1.545
JOURNAL OF HYDROLOGIC ENGINEERING,J HYDROL ENG,1.53
Journal of Civil Engineering and Management,J CIV ENG MANAG,1.53
OCEAN ENGINEERING,OCEAN ENG,1.488
JOURNAL OF HYDRAULIC RESEARCH,J HYDRAUL RES,1.471
International Journal of Concrete Structures and Materials,INT J CONCR STRUCT M,1.411
Journal of Analytical Methods in Chemistry,J ANAL METHODS CHEM,1.369
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,J IRRIG DRAIN ENG,1.364
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,J WATERW PORT COAST,1.316
JOURNAL OF MATERIALS IN CIVIL ENGINEERING,J MATER CIVIL ENG,1.295
Natural Hazards Review,NAT HAZARDS REV,1.293
JOURNAL OF ADVANCED TRANSPORTATION,J ADV TRANSPORT,1.292
JOURNAL OF HYDRAULIC ENGINEERING,J HYDRAUL ENG,1.284
Journal of Infrastructure Systems,J INFRASTRUCT SYST,1.234
ACI STRUCTURAL JOURNAL,ACI STRUCT J,1.227
Structure and Infrastructure Engineering,STRUCT INFRASTRUCT E,1.202
JOURNAL OF HYDROINFORMATICS,J HYDROINFORM,1.18
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,J CONSTR ENG M,1.152
Smart Structures and Systems,SMART STRUCT SYST,1.138
JOURNAL OF ENVIRONMENTAL ENGINEERING,J ENVIRON ENG,1.125
Geomechanics and Engineering,GEOMECH ENG,1.085
Journal of Bridge Engineering,J BRIDGE ENG,1.069
WATER INTERNATIONAL,WATER INT,1.04
International Journal of Structural Stability and Dynamics,INT J STRUCT STAB DY,1.028
International Journal of Architectural Heritage,INT J ARCHIT HERIT,1.025
Structural Concrete,STRUCT CONCRETE,1.023
STRUCTURAL ENGINEERING AND MECHANICS,STRUCT ENG MECH,1.021
FIRE SAFETY JOURNAL,FIRE SAFETY J,0.936
JOURNAL OF EARTHQUAKE ENGINEERING,J EARTHQ ENG,0.922
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,P I MECH ENG F-J RAI,0.9
STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,STRUCT DES TALL SPEC,0.898
Journal of Pipeline Systems Engineering and Practice,J PIPELINE SYST ENG,0.896
JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,J PERFORM CONSTR FAC,0.893
CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS,CIV ENG ENVIRON SYST,0.891
JOURNAL OF SURVEYING ENGINEERING,J SURV ENG,0.884
International Journal of Pavement Engineering,INT J PAVEMENT ENG,0.877
Bauingenieur,BAUINGENIEUR-GERMANY,0.866
Computers and Concrete,COMPUT CONCRETE,0.849
Latin American Journal of Solids and Structures,LAT AM J SOLIDS STRU,0.83
JOURNAL OF AEROSPACE ENGINEERING,J AEROSPACE ENG,0.815
Earthquake Engineering and Engineering Vibration,EARTHQ ENG ENG VIB,0.814
JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,J WATER SUPPLY RES T,0.807
JOURNAL OF TRANSPORTATION ENGINEERING,J TRANSP ENG,0.801
Earthquakes and Structures,EARTHQ STRUCT,0.789
WIND AND STRUCTURES,WIND STRUCT,0.746
JOURNAL OF COLD REGIONS ENGINEERING,J COLD REG ENG,0.72
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,J MAR SCI TECH-JAPAN,0.709
COASTAL ENGINEERING JOURNAL,COAST ENG J,0.703
Proceedings of the Institution of Civil Engineers-Engineering Sustainability,P I CIVIL ENG-ENG SU,0.691
Ingegneria Sismica,ING SISMICA-ITAL,0.676
Journal of Advanced Concrete Technology,J ADV CONCR TECHNOL,0.658
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,P I CIVIL ENG-WAT M,0.656
European Journal of Environmental and Civil Engineering,EUR J ENVIRON CIV EN,0.636
JOURNAL OF SHIP RESEARCH,J SHIP RES,0.606
KSCE Journal of Civil Engineering,KSCE J CIV ENG,0.6
CANADIAN JOURNAL OF CIVIL ENGINEERING,CAN J CIVIL ENG,0.586
ADVANCES IN STRUCTURAL ENGINEERING,ADV STRUCT ENG,0.577
SURVEY REVIEW,SURV REV,0.573
International Journal of Steel Structures,INT J STEEL STRUCT,0.533
TRANSPORTATION RESEARCH RECORD,TRANSPORT RES REC,0.522
Baltic Journal of Road and Bridge Engineering,BALT J ROAD BRIDGE E,0.519
JOURNAL AMERICAN WATER WORKS ASSOCIATION,J AM WATER WORKS ASS,0.505
CHINA OCEAN ENGINEERING,CHINA OCEAN ENG,0.435
Beton- und Stahlbetonbau,BETON- STAHLBETONBAU,0.431
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS,P I CIVIL ENG-STR B,0.429
Journal of Fire Protection Engineering,J FIRE PROT ENG,0.417
Iranian Journal of Science and Technology-Transactions of Civil Engineering,IJST-T CIV ENG,0.403
GEFAHRSTOFFE REINHALTUNG DER LUFT,GEFAHRST REINHALT L,0.394
International Journal of Civil Engineering,INT J CIV ENG,0.372
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CIVIL ENGINEERING,P I CIVIL ENG-CIV EN,0.348
Advanced Steel Construction,ADV STEEL CONSTR,0.346
INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,INT J OFFSHORE POLAR,0.341
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,P I CIVIL ENG-TRANSP,0.314
Bautechnik,BAUTECHNIK,0.311
Structural Engineering International,STRUCT ENG INT,0.299
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,P I CIVIL ENG-MAR EN,0.281
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER,P I CIVIL ENG-MUNIC,0.275
Periodica Polytechnica-Civil Engineering,PERIOD POLYTECH-CIV,0.271
Stahlbau,STAHLBAU,0.225
Revista de la Construccion,REV CONSTR,0.185
ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,ITE J,0.174
Teknik Dergi,TEK DERGI,0.171
Gradevinar,GRADEVINAR,0.158
NAVAL ENGINEERS JOURNAL,NAV ENG J,0.157
CIVIL ENGINEERING,CIVIL ENG,0.153
Journal of the South African Institution of Civil Engineering,J S AFR INST CIV ENG,0.115
Tecnologia y Ciencias del Agua,TECNOL CIENC AGUA,0.108
ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,ENG J AISC,0.033
