nfull,nabb,if
PROGRESS IN QUANTUM ELECTRONICS,PROG QUANT ELECTRON,6.923
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,6.701
IEEE SIGNAL PROCESSING MAGAZINE,IEEE SIGNAL PROC MAG,6.671
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,IEEE T IND ELECTRON,6.383
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,6.077
PROCEEDINGS OF THE IEEE,P IEEE,5.629
IEEE Industrial Electronics Magazine,IEEE IND ELECTRON M,5.303
IEEE COMMUNICATIONS MAGAZINE,IEEE COMMUN MAG,5.125
IEEE TRANSACTIONS ON POWER ELECTRONICS,IEEE T POWER ELECTR,4.953
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,4.854
IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,4.148
IEEE-ASME TRANSACTIONS ON MECHATRONICS,IEEE-ASME T MECH,3.851
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,3.756
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,3.735
IEEE Transactions on Sustainable Energy,IEEE T SUSTAIN ENERG,3.727
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,3.672
AUTOMATICA,AUTOMATICA,3.635
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,3.532
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,IEEE J SEL TOP QUANT,3.466
PATTERN RECOGNITION,PATTERN RECOGN,3.399
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,IEEE T GEOSCI REMOTE,3.36
IEEE TRANSACTIONS ON POWER SYSTEMS,IEEE T POWER SYST,3.342
IEEE JOURNAL OF SOLID-STATE CIRCUITS,IEEE J SOLID-ST CIRC,3.299
IEEE Transactions on Smart Grid,IEEE T SMART GRID,3.19
IEEE Journal of Emerging and Selected Topics in Power Electronics,IEEE J EM SEL TOP P,3.129
IEEE Circuits and Systems Magazine,IEEE CIRC SYST MAG,3
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,2.981
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,IEEE T WIREL COMMUN,2.925
IEEE NETWORK,IEEE NETWORK,2.899
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,IEEE T CONTR SYST T,2.818
IEEE Vehicular Technology Magazine,IEEE VEH TECHNOL MAG,2.783
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,IEEE T AUTOMAT CONTR,2.777
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,IEEE T PARALL DISTR,2.661
IEEE TRANSACTIONS ON SIGNAL PROCESSING,IEEE T SIGNAL PROCES,2.624
IEEE TRANSACTIONS ON ENERGY CONVERSION,IEEE T ENERGY CONVER,2.596
INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,INT J ELEC POWER,2.587
IEEE Journal of Selected Topics in Signal Processing,IEEE J-STSP,2.569
JOURNAL OF LIGHTWAVE TECHNOLOGY,J LIGHTWAVE TECHNOL,2.567
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,IEEE T INTELL TRANSP,2.534
IEEE ELECTRON DEVICE LETTERS,IEEE ELECTR DEVICE L,2.528
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,INT J ROBUST NONLIN,2.527
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,2.476
