nfull,nabb,if
Landslides,LANDSLIDES,3.049
Acta Geotechnica,ACTA GEOTECH,2.426
ROCK MECHANICS AND ROCK ENGINEERING,ROCK MECH ROCK ENG,2.386
GEOTEXTILES AND GEOMEMBRANES,GEOTEXT GEOMEMBRANES,2.366
EARTHQUAKE SPECTRA,EARTHQ SPECTRA,2.298
ENGINEERING GEOLOGY,ENG GEOL,2.196
EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,EARTHQ ENG STRUCT D,2.127
GEOSYNTHETICS INTERNATIONAL,GEOSYNTH INT,2.066
Bulletin of Earthquake Engineering,B EARTHQ ENG,2.036
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,INT J ROCK MECH MIN,2.01
GEOTECHNIQUE,GEOTECHNIQUE,2
CANADIAN GEOTECHNICAL JOURNAL,CAN GEOTECH J,1.877
INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,INT J NUMER ANAL MET,1.758
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,1.705
JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,J GEOTECH GEOENVIRON,1.696
SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,SOIL DYN EARTHQ ENG,1.481
International Journal of Geomechanics,INT J GEOMECH,1.387
Bulletin of Engineering Geology and the Environment,B ENG GEOL ENVIRON,1.252
SOILS AND FOUNDATIONS,SOILS FOUND,1.238
Geomechanics and Engineering,GEOMECH ENG,1.085
QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY,Q J ENG GEOL HYDROGE,1.058
International Journal of Physical Modelling in Geotechnics,INT J PHYS MODEL GEO,1.045
Geotechnique Letters,GEOTECH LETT,0.988
JOURNAL OF EARTHQUAKE ENGINEERING,J EARTHQ ENG,0.922
Earthquake Engineering and Engineering Vibration,EARTHQ ENG ENG VIB,0.814
Earthquakes and Structures,EARTHQ STRUCT,0.789
MARINE GEORESOURCES & GEOTECHNOLOGY,MAR GEORESOUR GEOTEC,0.761
Ingegneria Sismica,ING SISMICA-ITAL,0.676
GEOTECHNICAL TESTING JOURNAL,GEOTECH TEST J,0.663
European Journal of Environmental and Civil Engineering,EUR J ENVIRON CIV EN,0.636
JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,J ENVIRON ENG GEOPH,0.619
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING,P I CIVIL ENG-GEOTEC,0.577
ENVIRONMENTAL & ENGINEERING GEOSCIENCE,ENVIRON ENG GEOSCI,0.5
Soil Mechanics and Foundation Engineering,SOIL MECH FOUND ENG+,0.221
Acta Geotechnica Slovenica,ACTA GEOTECH SLOV,0.182
