nfull,nabb,if
IEEE Transactions on Industrial Informatics,IEEE T IND INFORM,4.708
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
RELIABILITY ENGINEERING & SYSTEM SAFETY,RELIAB ENG SYST SAFE,2.498
CIRP ANNALS-MANUFACTURING TECHNOLOGY,CIRP ANN-MANUF TECHN,2.492
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,J MATER PROCESS TECH,2.359
TECHNOVATION,TECHNOVATION,2.243
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
SAFETY SCIENCE,SAFETY SCI,2.157
COMPUTERS & INDUSTRIAL ENGINEERING,COMPUT IND ENG,2.086
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,J PROD INNOVAT MANAG,2.086
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,1.988
JOURNAL OF MANAGEMENT IN ENGINEERING,J MANAGE ENG,1.84
RESEARCH IN ENGINEERING DESIGN,RES ENG DES,1.786
APPLIED ERGONOMICS,APPL ERGON,1.713
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,1.693
International Journal of Simulation Modelling,INT J SIMUL MODEL,1.683
JOURNAL OF QUALITY TECHNOLOGY,J QUAL TECHNOL,1.578
PRODUCTION PLANNING & CONTROL,PROD PLAN CONTROL,1.532
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,J ENG TECHNOL MANAGE,1.474
IIE TRANSACTIONS,IIE TRANS,1.463
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,QUAL RELIAB ENG INT,1.457
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,IEEE T ENG MANAGE,1.454
ERGONOMICS,ERGONOMICS,1.449
HUMAN FACTORS,HUM FACTORS,1.37
INDUSTRIAL MANAGEMENT & DATA SYSTEMS,IND MANAGE DATA SYST,1.278
ENGINEERING ECONOMIST,ENG ECON,1.207
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,J CONSTR ENG M,1.152
Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,P I MECH ENG O-J RIS,1.073
RESEARCH-TECHNOLOGY MANAGEMENT,RES TECHNOL MANAGE,1.052
INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,INT J IND ERGONOM,1
Cognition Technology & Work,COGN TECHNOL WORK,0.987
Systems Engineering,SYSTEMS ENG,0.956
Quality Engineering,QUAL ENG,0.883
European Journal of Industrial Engineering,EUR J IND ENG,0.718
Quality Technology and Quantitative Management,QUAL TECHNOL QUANT M,0.627
Engineering Management Journal,ENG MANAG J,0.468
ISSUES IN SCIENCE AND TECHNOLOGY,ISSUES SCI TECHNOL,0.467
IEEE INDUSTRY APPLICATIONS MAGAZINE,IEEE IND APPL MAG,0.422
INDUSTRIAL ROBOT-AN INTERNATIONAL JOURNAL,IND ROBOT,0.422
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,PROBAB ENG INFORM SC,0.39
INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE,INT J IND ENG-THEORY,0.385
TRAVAIL HUMAIN,TRAV HUMAIN,0.3
South African Journal of Industrial Engineering,S AFR J IND ENG,0.188
R&D MAGAZINE,R&D MAG,0.042
