nfull,nabb,if
IEEE-ASME TRANSACTIONS ON MECHATRONICS,IEEE-ASME T MECH,3.851
COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,COMPOS PART A-APPL S,3.719
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,INT J MACH TOOL MANU,3.315
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,2.782
International Journal of Precision Engineering and Manufacturing-Green Technology,INT J PR ENG MAN-GT,2.545
CIRP ANNALS-MANUFACTURING TECHNOLOGY,CIRP ANN-MANUF TECHN,2.492
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,J MATER PROCESS TECH,2.359
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,2.24
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,2.077
DESIGN STUDIES,DESIGN STUD,2.07
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,1.995
PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,PRECIS ENG,1.914
Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1.857
RESEARCH IN ENGINEERING DESIGN,RES ENG DES,1.786
Journal of Manufacturing Processes,J MANUF PROCESS,1.771
PRODUCTION AND OPERATIONS MANAGEMENT,PROD OPER MANAG,1.732
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,1.693
International Journal of Simulation Modelling,INT J SIMUL MODEL,1.683
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,INT J ADV MANUF TECH,1.568
PRODUCTION PLANNING & CONTROL,PROD PLAN CONTROL,1.532
MATERIALS AND MANUFACTURING PROCESSES,MATER MANUF PROCESS,1.419
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,1.319
PACKAGING TECHNOLOGY AND SCIENCE,PACKAG TECHNOL SCI,1.292
International Journal of Material Forming,INT J MATER FORM,1.241
ASSEMBLY AUTOMATION,ASSEMBLY AUTOM,1.176
MACHINING SCIENCE AND TECHNOLOGY,MACH SCI TECHNOL,1.172
IEEE Transactions on Components Packaging and Manufacturing Technology,IEEE T COMP PACK MAN,1.151
Advances in Production Engineering & Management,ADV PROD ENG MANAG,1.125
International Journal of Precision Engineering and Manufacturing,INT J PRECIS ENG MAN,1.075
IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,IEEE T SEMICONDUCT M,1.045
JOURNAL OF SCHEDULING,J SCHEDULING,1.023
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,CONCURRENT ENG-RES A,1.02
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,P I MECH ENG B-J ENG,0.978
SOLDERING & SURFACE MOUNT TECHNOLOGY,SOLDER SURF MT TECH,0.913
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0.877
International Journal of Design,INT J DES,0.875
JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,J COMPUT INF SCI ENG,0.79
INTERNATIONAL JOURNAL OF CRASHWORTHINESS,INT J CRASHWORTHINES,0.68
Human Factors and Ergonomics in Manufacturing & Service Industries,HUM FACTOR ERGON MAN,0.462
INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE,INT J IND ENG-THEORY,0.385
Journal of Advanced Mechanical Design Systems and Manufacturing,J ADV MECH DES SYST,0.331
MANUFACTURING ENGINEERING,MANUF ENG,0.023
