nfull,nabb,if
MARINE STRUCTURES,MAR STRUCT,1.729
OCEAN ENGINEERING,OCEAN ENG,1.488
JOURNAL OF NAVIGATION,J NAVIGATION,1.267
Proceedings of the Institution of Mechanical Engineers Part M-Journal of Engineering for the Maritime Environment,P I MECH ENG M-J ENG,0.902
Ships and Offshore Structures,SHIPS OFFSHORE STRUC,0.79
International Journal of Naval Architecture and Ocean Engineering,INT J NAV ARCH OCEAN,0.722
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,J MAR SCI TECH-JAPAN,0.709
JOURNAL OF SHIP RESEARCH,J SHIP RES,0.606
Polish Maritime Research,POL MARIT RES,0.415
Brodogradnja,BRODOGRADNJA,0.312
Journal of Ship Production and Design,J SHIP PROD DES,0.231
International Journal of Maritime Engineering,INT J MARIT ENG,0.182
NAVAL ENGINEERS JOURNAL,NAV ENG J,0.157
Journal of Marine Engineering and Technology,J MAR ENG TECHNOL,0.121
