nfull,nabb,if
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,16.784
INTERNATIONAL JOURNAL OF PLASTICITY,INT J PLASTICITY,5.623
COMBUSTION AND FLAME,COMBUST FLAME,4.168
PROCEEDINGS OF THE COMBUSTION INSTITUTE,P COMBUST INST,4.12
IEEE-ASME TRANSACTIONS ON MECHATRONICS,IEEE-ASME T MECH,3.851
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,INT J MACH TOOL MANU,3.315
APPLIED THERMAL ENGINEERING,APPL THERM ENG,3.043
NONLINEAR DYNAMICS,NONLINEAR DYNAM,3
WIND ENERGY,WIND ENERGY,2.891
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,INT J HEAT MASS TRAN,2.857
JOURNAL OF SANDWICH STRUCTURES & MATERIALS,J SANDW STRUCT MATER,2.852
Advances in Applied Mechanics,ADV APPL MECH,2.833
MECHANICAL SYSTEMS AND SIGNAL PROCESSING,MECH SYST SIGNAL PR,2.771
INTERNATIONAL JOURNAL OF THERMAL SCIENCES,INT J THERM SCI,2.769
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,INT J IMPACT ENG,2.646
International Journal of Precision Engineering and Manufacturing-Green Technology,INT J PR ENG MAN-GT,2.545
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,INT J MECH SCI,2.481
Nanoscale and Microscale Thermophysical Engineering,NANOSC MICROSC THERM,2.39
WEAR,WEAR,2.323
INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,INT J REFRIG,2.291
JOURNAL OF AEROSOL SCIENCE,J AEROSOL SCI,2.278
TRIBOLOGY INTERNATIONAL,TRIBOL INT,2.259
Archives of Civil and Mechanical Engineering,ARCH CIV MECH ENG,2.194
INTERNATIONAL JOURNAL OF FATIGUE,INT J FATIGUE,2.162
EXPERIMENTAL THERMAL AND FLUID SCIENCE,EXP THERM FLUID SCI,2.128
JOURNAL OF SOUND AND VIBRATION,J SOUND VIB,2.107
THEORETICAL AND APPLIED FRACTURE MECHANICS,THEOR APPL FRACT MEC,2.025
AEROSOL SCIENCE AND TECHNOLOGY,AEROSOL SCI TECH,1.953
JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,J MICROELECTROMECH S,1.939
International Journal of Mechanics and Materials in Design,INT J MECH MATER DES,1.926
MECHATRONICS,MECHATRONICS,1.871
DRYING TECHNOLOGY,DRY TECHNOL,1.854
FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,FATIGUE FRACT ENG M,1.838
TRIBOLOGY LETTERS,TRIBOL LETT,1.758
INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,INT J HEAT FLUID FL,1.737
JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,J HEAT TRANS-T ASME,1.723
JOURNAL OF FLUIDS AND STRUCTURES,J FLUID STRUCT,1.709
MECHANISM AND MACHINE THEORY,MECH MACH THEORY,1.689
JOURNAL OF VIBRATION AND CONTROL,J VIB CONTROL,1.643
JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,J SOL ENERG-T ASME,1.571
EXPERIMENTS IN FLUIDS,EXP FLUIDS,1.57
International Journal of Engine Research,INT J ENGINE RES,1.479
ENGINEERING WITH COMPUTERS,ENG COMPUT-GERMANY,1.46
JOURNAL OF MECHANICAL DESIGN,J MECH DESIGN,1.444
INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,INT J PRES VES PIP,1.432
TRIBOLOGY TRANSACTIONS,TRIBOL T,1.418
JOURNAL OF ELECTRONIC PACKAGING,J ELECTRON PACKAGING,1.402
Lubrication Science,LUBR SCI,1.384
ENGINEERING FAILURE ANALYSIS,ENG FAIL ANAL,1.358
RAPID PROTOTYPING JOURNAL,RAPID PROTOTYPING J,1.352
JOURNAL OF ENGINEERING MECHANICS,J ENG MECH,1.346
VEHICLE SYSTEM DYNAMICS,VEHICLE SYST DYN,1.306
EXPERIMENTAL HEAT TRANSFER,EXP HEAT TRANSFER,1.288
JOURNAL OF HYDRAULIC ENGINEERING,J HYDRAUL ENG,1.284
JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,J FLUID ENG-T ASME,1.283
JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN,J STRAIN ANAL ENG,1.25
PROBABILISTIC ENGINEERING MECHANICS,PROBABILIST ENG MECH,1.241
ATOMIZATION AND SPRAYS,ATOMIZATION SPRAY,1.235
Journal of Computational and Nonlinear Dynamics,J COMPUT NONLIN DYN,1.223
Structure and Infrastructure Engineering,STRUCT INFRASTRUCT E,1.202
Mechanical Sciences,MECH SCI,1.2
MACHINING SCIENCE AND TECHNOLOGY,MACH SCI TECHNOL,1.172
JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,J VIB ACOUST,1.169
FLOW MEASUREMENT AND INSTRUMENTATION,FLOW MEAS INSTRUM,1.152
Smart Structures and Systems,SMART STRUCT SYST,1.138
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART E-JOURNAL OF PROCESS MECHANICAL ENGINEERING,P I MECH ENG E-J PRO,1.107
International Journal of Precision Engineering and Manufacturing,INT J PRECIS ENG MAN,1.075
Iranian Journal of Science and Technology-Transactions of Mechanical Engineering,IJST-T MECH ENG,1.045
Journal of Mechanisms and Robotics-Transactions of the ASME,J MECH ROBOT,1.044
JOURNAL OF TRIBOLOGY-TRANSACTIONS OF THE ASME,J TRIBOL-T ASME,1.037
JOURNAL OF POROUS MEDIA,J POROUS MEDIA,1.035
JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,J THERMOPHYS HEAT TR,1.035
Engineering Applications of Computational Fluid Mechanics,ENG APPL COMP FLUID,1.033
International Journal of Structural Stability and Dynamics,INT J STRUCT STAB DY,1.028
JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,J ENG GAS TURB POWER,1.022
STRUCTURAL ENGINEERING AND MECHANICS,STRUCT ENG MECH,1.021
HEAT TRANSFER ENGINEERING,HEAT TRANSFER ENG,1.016
