nfull,nabb,if
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,4.981
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,4.214
COMBUSTION AND FLAME,COMBUST FLAME,4.168
COMPOSITES PART B-ENGINEERING,COMPOS PART B-ENG,3.85
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,3.467
STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,STRUCT HEALTH MONIT,3.193
INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,INT J ENG SCI,3.165
Bioinspiration & Biomimetics,BIOINSPIR BIOMIM,2.891
ISA TRANSACTIONS,ISA T,2.6
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL,2.368
JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,J FRANKLIN I,2.327
APPLIED MATHEMATICAL MODELLING,APPL MATH MODEL,2.291
STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,STRUCT MULTIDISCIP O,2.208
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,INT J NUMER METH ENG,2.1
DESIGN STUDIES,DESIGN STUD,2.07
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,2
JOURNAL OF ENGINEERING DESIGN,J ENG DESIGN,1.946
PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,PRECIS ENG,1.914
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,IEEE T IND APPL,1.901
ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,ENG ANAL BOUND ELEM,1.862
RESEARCH IN ENGINEERING DESIGN,RES ENG DES,1.786
MEASUREMENT,MEASUREMENT,1.742
JOURNAL OF ENGINEERING EDUCATION,J ENG EDUC,1.739
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,1.673
JOURNAL OF ELASTICITY,J ELASTICITY,1.656
MEASUREMENT SCIENCE and TECHNOLOGY,MEAS SCI TECHNOL,1.492
Journal of Bionic Engineering,J BIONIC ENG,1.466
QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,QUAL RELIAB ENG INT,1.457
SCIENCE AND ENGINEERING ETHICS,SCI ENG ETHICS,1.454
Science China-Technological Sciences,SCI CHINA TECHNOL SC,1.441
INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,INT J PRES VES PIP,1.432
ENGINEERING OPTIMIZATION,ENG OPTIMIZ,1.38
International Journal of Critical Infrastructure Protection,INT J CRIT INFR PROT,1.351
Eksploatacja i Niezawodnosc-Maintenance and Reliability,EKSPLOAT NIEZAWODN,1.248
ATOMIZATION AND SPRAYS,ATOMIZATION SPRAY,1.235
COMBUSTION SCIENCE AND TECHNOLOGY,COMBUST SCI TECHNOL,1.193
International Journal of Computational Methods,INT J COMP METH-SING,1.123
International Journal for Multiscale Computational Engineering,INT J MULTISCALE COM,1.103
Bulletin of the Polish Academy of Sciences-Technical Sciences,B POL ACAD SCI-TECH,1.087
Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,P I MECH ENG O-J RIS,1.073
Engineering Applications of Computational Fluid Mechanics,ENG APPL COMP FLUID,1.033
FIRE TECHNOLOGY,FIRE TECHNOL,1.016
International Journal for Uncertainty Quantification,INT J UNCERTAIN QUAN,1
Journal of Zhejiang University-SCIENCE A,J ZHEJIANG UNIV-SC A,0.941
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,0.935
INVERSE PROBLEMS IN SCIENCE AND ENGINEERING,INVERSE PROBL SCI EN,0.911
OPTIMIZATION AND ENGINEERING,OPTIM ENG,0.9
