Full Journal Title,JCR Abbreviated Title,Journal Impact Factor
COASTAL ENGINEERING,COAST ENG,2.841
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY,J ATMOS OCEAN TECH,2.159
IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE J OCEANIC ENG,1.648
OCEAN ENGINEERING,OCEAN ENG,1.488
APPLIED OCEAN RESEARCH,APPL OCEAN RES,1.382
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,J WATERW PORT COAST,1.316
MARINE GEORESOURCES & GEOTECHNOLOGY,MAR GEORESOUR GEOTEC,0.761
JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME,J OFFSHORE MECH ARCT,0.711
COASTAL ENGINEERING JOURNAL,COAST ENG J,0.703
MARINE TECHNOLOGY SOCIETY JOURNAL,MAR TECHNOL SOC J,0.59
CHINA OCEAN ENGINEERING,CHINA OCEAN ENG,0.435
INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,INT J OFFSHORE POLAR,0.341
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,P I CIVIL ENG-MAR EN,0.281
SEA TECHNOLOGY,SEA TECHNOL,0.047
