nfull,nabb,if
SPE RESERVOIR EVALUATION & ENGINEERING,SPE RESERV EVAL ENG,1.767
JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,J PETROL SCI ENG,1.655
SPE JOURNAL,SPE J,1.442
Petroleum Exploration and Development,PETROL EXPLOR DEV+,1.377
Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,OIL GAS SCI TECHNOL,1.087
Petroleum Science,PETROL SCI,0.901
OIL SHALE,OIL SHALE,0.877
SPE Production & Operations,SPE PROD OPER,0.818
JOURNAL OF CANADIAN PETROLEUM TECHNOLOGY,J CAN PETROL TECHNOL,0.787
JOURNAL OF THE JAPAN PETROLEUM INSTITUTE,J JPN PETROL INST,0.605
Petrophysics,PETROPHYSICS,0.514
PETROLEUM CHEMISTRY,PETROL CHEM+,0.495
International Journal of Oil Gas and Coal Technology,INT J OIL GAS COAL T,0.464
PETROLEUM SCIENCE AND TECHNOLOGY,PETROL SCI TECHNOL,0.418
China Petroleum Processing & Petrochemical Technology,CHINA PET PROCESS PE,0.388
SPE DRILLING & COMPLETION,SPE DRILL COMPLETION,0.308
OIL GAS-EUROPEAN MAGAZINE,OIL GAS-EUR MAG,0.299
CT&F-Ciencia Tecnologia y Futuro,CT F-CIENC TECN FUT,0.281
CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS,CHEM TECH FUELS OIL+,0.273
OIL & GAS JOURNAL,OIL GAS J,0.066
