nfull,nabb,if
Trends In Ecology & Evolution,Trends Ecol Evol,16.196
Systematic Biology,Syst Biol,14.387
Annual Review Of Ecology Evolution And Systematics,Annu Rev Ecol Evol S,10.562
Molecular Biology And Evolution,Mol Biol Evol,9.105
Molecular Ecology,Mol Ecol,6.494
Cladistics,Cladistics,6.217
Proceedings Of The Royal Society B-Biological Sciences,P Roy Soc B-Biol Sci,5.051
Evolution,Evolution,4.612
Genome Biology And Evolution,Genome Biol Evol,4.229
Molecular Phylogenetics And Evolution,Mol Phylogenet Evol,3.916
Evolutionary Applications,Evol Appl,3.896
American Naturalist,Am Nat,3.832
Heredity,Heredity,3.805
Journal Of Human Evolution,J Hum Evol,3.733
Journal Of Systematic Palaeontology,J Syst Palaeontol,3.727
Molecular Ecology Resources,Mol Ecol Resour,3.712
Bmc Evolutionary Biology,Bmc Evol Biol,3.368
Taxon,Taxon,3.299
Biology Letters,Biol Letters,3.248
Journal Of Evolutionary Biology,J Evolution Biol,3.232
Zoologica Scripta,Zool Scr,3.224
Evodevo,Evodevo,3.034
Organisms Diversity & Evolution,Org Divers Evol,2.888
Systematic Entomology,Syst Entomol,2.784
Evolution & Development,Evol Dev,2.716
Paleobiology,Paleobiology,2.658
Evolutionary Biology,Evol Biol,2.606
Evolutionary Ecology,Evol Ecol,2.517
Development Genes And Evolution,Dev Genes Evol,2.441
American Journal Of Physical Anthropology,Am J Phys Anthropol,2.379
Journal Of Experimental Zoology Part B-Molecular And Developmental Evolution,J Exp Zool Part B,2.311
Biological Journal Of The Linnean Society,Biol J Linn Soc,2.264
Invertebrate Systematics,Invertebr Syst,2.264
Theoretical Population Biology,Theor Popul Biol,1.702
Journal Of Molecular Evolution,J Mol Evol,1.68
Journal Of Zoological Systematics And Evolutionary Research,J Zool Syst Evol Res,1.677
Evolutionary Bioinformatics,Evol Bioinform,1.452
Plant Systematics And Evolution,Plant Syst Evol,1.422
Systematic Botany,Syst Bot,1.229
Australian Systematic Botany,Aust Syst Bot,1.083
Biochemical Systematics And Ecology,Biochem Syst Ecol,0.967
Evolutionary Ecology Research,Evol Ecol Res,0.896
Insect Systematics & Evolution,Insect Syst Evol,0.806
Anthropological Science,Anthropol Sci,0.605
Israel Journal Of Ecology & Evolution,Isr J Ecol Evol,0.432
Journal Of Evolutionary Biochemistry And Physiology,J Evol Biochem Phys,0.371
