nfull,nabb,if
Annual Review of Entomology,ANNU REV ENTOMOL,13.534
INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,INSECT BIOCHEM MOLEC,3.767
Advances in Insect Physiology,ADV INSECT PHYSIOL,3.417
SYSTEMATIC ENTOMOLOGY,SYST ENTOMOL,3.343
JOURNAL OF PEST SCIENCE,J PEST SCI,3.103
INSECT MOLECULAR BIOLOGY,INSECT MOL BIOL,2.866
PEST MANAGEMENT SCIENCE,PEST MANAG SCI,2.811
Current Opinion in Insect Science,CURR OPIN INSECT SCI,2.719
Insect Science,INSECT SCI,2.551
PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,PESTIC BIOCHEM PHYS,2.388
Myrmecological News,MYRMECOL NEWS,2.386
Insect Conservation and Diversity,INSECT CONSERV DIVER,2.367
JOURNAL OF INSECT PHYSIOLOGY,J INSECT PHYSIOL,2.267
MEDICAL AND VETERINARY ENTOMOLOGY,MED VET ENTOMOL,2.242
JOURNAL OF APICULTURAL RESEARCH,J APICULT RES,2.084
BIOLOGICAL CONTROL,BIOL CONTROL,2.012
INSECT SYSTEMATICS & EVOLUTION,INSECT SYST EVOL,1.933
EXPERIMENTAL AND APPLIED ACAROLOGY,EXP APPL ACAROL,1.812
AGRICULTURAL AND FOREST ENTOMOLOGY,AGR FOREST ENTOMOL,1.805
BIOCONTROL,BIOCONTROL,1.767
BULLETIN OF ENTOMOLOGICAL RESEARCH,B ENTOMOL RES,1.761
JOURNAL OF MEDICAL ENTOMOLOGY,J MED ENTOMOL,1.712
ECOLOGICAL ENTOMOLOGY,ECOL ENTOMOL,1.687
APIDOLOGIE,APIDOLOGIE,1.655
Arthropod Systematics & Phylogeny,ARTHROPOD SYST PHYLO,1.655
JOURNAL OF ECONOMIC ENTOMOLOGY,J ECON ENTOMOL,1.609
ARTHROPOD STRUCTURE & DEVELOPMENT,ARTHROPOD STRUCT DEV,1.563
JOURNAL OF STORED PRODUCTS RESEARCH,J STORED PROD RES,1.533
PHYSIOLOGICAL ENTOMOLOGY,PHYSIOL ENTOMOL,1.53
JOURNAL OF APPLIED ENTOMOLOGY,J APPL ENTOMOL,1.517
Arthropod-Plant Interactions,ARTHROPOD-PLANT INTE,1.448
ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,ENTOMOL EXP APPL,1.442
JOURNAL OF INSECT CONSERVATION,J INSECT CONSERV,1.431
SYSTEMATIC AND APPLIED ACAROLOGY,SYST APPL ACAROL-UK,1.378
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,ARCH INSECT BIOCHEM,1.357
ENVIRONMENTAL ENTOMOLOGY,ENVIRON ENTOMOL,1.315
INSECTES SOCIAUX,INSECT SOC,1.267
JOURNAL OF VECTOR ECOLOGY,J VECTOR ECOL,1.243
ENTOMOLOGICAL SCIENCE,ENTOMOL SCI,1.144
ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,ANN ENTOMOL SOC AM,1.14
ANNALES ZOOLOGICI,ANN ZOOL,1.136
Austral Entomology,AUSTRAL ENTOMOL,1.114
AUSTRALIAN JOURNAL OF ENTOMOLOGY,AUST J ENTOMOL,1.109
ACAROLOGIA,ACAROLOGIA,1.103
APPLIED ENTOMOLOGY AND ZOOLOGY,APPL ENTOMOL ZOOL,1.102
Asian Myrmecology,ASIAN MYRMECOL,1.1
BULLETIN OF INSECTOLOGY,B INSECTOL,1.075
CANADIAN ENTOMOLOGIST,CAN ENTOMOL,1
JOURNAL OF INSECT BEHAVIOR,J INSECT BEHAV,0.986
FLORIDA ENTOMOLOGIST,FLA ENTOMOL,0.975
EUROPEAN JOURNAL OF ENTOMOLOGY,EUR J ENTOMOL,0.954
NEW ZEALAND ENTOMOLOGIST,NZ ENTOMOL,0.92
BIOCONTROL SCIENCE AND TECHNOLOGY,BIOCONTROL SCI TECHN,0.848
JOURNAL OF PESTICIDE SCIENCE,J PESTIC SCI,0.843
NEOTROPICAL ENTOMOLOGY,NEOTROP ENTOMOL,0.834
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,J ASIA-PAC ENTOMOL,0.824
JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,J AM MOSQUITO CONTR,0.824
JOURNAL OF HYMENOPTERA RESEARCH,J HYMENOPT RES,0.783
INTERNATIONAL JOURNAL OF ACAROLOGY,INT J ACAROL,0.774
AFRICAN INVERTEBRATES,AFR INVERTEBR,0.708
SOCIOBIOLOGY,SOCIOBIOLOGY,0.702
JOURNAL OF ARACHNOLOGY,J ARACHNOL,0.691
REVISTA BRASILEIRA DE ENTOMOLOGIA,REV BRAS ENTOMOL,0.659
JOURNAL OF INSECT SCIENCE,J INSECT SCI,0.65
TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY,T AM ENTOMOL SOC,0.647
ENTOMOLOGICAL RESEARCH,ENTOMOL RES,0.646
JOURNAL OF ENTOMOLOGICAL SCIENCE,J ENTOMOL SCI,0.631
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,0.617
INTERNATIONAL JOURNAL OF ODONATOLOGY,INT J ODONATOL,0.596
PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON,P ENTOMOL SOC WASH,0.593
ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE,ANN SOC ENTOMOL FR,0.575
COLEOPTERISTS BULLETIN,COLEOPTS BULL,0.575
JOURNAL OF APICULTURAL SCIENCE,J APIC SCI,0.571
AFRICAN ENTOMOLOGY,AFR ENTOMOL,0.521
ODONATOLOGICA,ODONATOLOGICA,0.521
INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,INT J TROP INSECT SC,0.518
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,DEUT ENTOMOL Z,0.479
SOUTHWESTERN ENTOMOLOGIST,SOUTHWEST ENTOMOL,0.478
PAN-PACIFIC ENTOMOLOGIST,PAN-PAC ENTOMOL,0.444
JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY,JPN J APPL ENTOMOL Z,0.414
SHILAP-REVISTA DE LEPIDOPTEROLOGIA,SHILAP-REV LEPIDOPT,0.408
JOURNAL OF THE LEPIDOPTERISTS SOCIETY,J LEPID SOC,0.38
TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY,TURK ENTOMOL DERG-TU,0.375
INTERNATIONAL JOURNAL OF PEST MANAGEMENT,INT J PEST MANAGE,0.373
