nfull,nabb,if
FISH AND FISHERIES,FISH FISH,8.521
Reviews in Aquaculture,REV AQUACULT,4.769
REVIEWS IN FISH BIOLOGY AND FISHERIES,REV FISH BIOL FISHER,3.222
FISH & SHELLFISH IMMUNOLOGY,FISH SHELLFISH IMMUN,3.025
FISHERIES OCEANOGRAPHY,FISH OCEANOGR,2.73
ICES JOURNAL OF MARINE SCIENCE,ICES J MAR SCI,2.626
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,CAN J FISH AQUAT SCI,2.437
FISHERIES,FISHERIES,2.429
FISHERIES RESEARCH,FISH RES,2.23
JOURNAL OF FISH DISEASES,J FISH DIS,2.053
ECOLOGY OF FRESHWATER FISH,ECOL FRESHW FISH,2.052
REVIEWS IN FISHERIES SCIENCE,REV FISH SCI,2.032
Aquaculture Environment Interactions,AQUACULT ENV INTERAC,1.985
AQUACULTURE,AQUACULTURE,1.893
DISEASES OF AQUATIC ORGANISMS,DIS AQUAT ORGAN,1.77
AQUACULTURE RESEARCH,AQUAC RES,1.606
MARINE AND FRESHWATER RESEARCH,MAR FRESHWATER RES,1.583
AQUACULTURE NUTRITION,AQUACULT NUTR,1.511
FISHERIES MANAGEMENT AND ECOLOGY,FISHERIES MANAG ECOL,1.51
FISHERY BULLETIN,FISH B-NOAA,1.51
TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,T AM FISH SOC,1.469
FISH PHYSIOLOGY AND BIOCHEMISTRY,FISH PHYSIOL BIOCHEM,1.442
Marine and Coastal Fisheries,MAR COAST FISH,1.442
Marine Resource Economics,MAR RESOUR ECON,1.405
AQUACULTURAL ENGINEERING,AQUACULT ENG,1.381
AQUATIC LIVING RESOURCES,AQUAT LIVING RESOUR,1.327
JOURNAL OF FISH BIOLOGY,J FISH BIOL,1.246
AQUACULTURE ECONOMICS & MANAGEMENT,AQUACULT ECON MANAG,1.175
Reviews in Fisheries Science & Aquaculture,REV FISH SCI AQUAC,1.143
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,N AM J FISH MANAGE,1.013
CCAMLR SCIENCE,CCAMLR SCI,1
Knowledge and Management of Aquatic Ecosystems,KNOWL MANAG AQUAT EC,0.978
AQUACULTURE INTERNATIONAL,AQUACULT INT,0.96
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,NEW ZEAL J MAR FRESH,0.864
JOURNAL OF AQUATIC ANIMAL HEALTH,J AQUAT ANIM HEALTH,0.859
CALIFORNIA COOPERATIVE OCEANIC FISHERIES INVESTIGATIONS REPORTS,CAL COOP OCEAN FISH,0.846
JOURNAL OF SHELLFISH RESEARCH,J SHELLFISH RES,0.829
JOURNAL OF APPLIED ICHTHYOLOGY,J APPL ICHTHYOL,0.783
NORTH AMERICAN JOURNAL OF AQUACULTURE,N AM J AQUACULT,0.76
JOURNAL OF THE WORLD AQUACULTURE SOCIETY,J WORLD AQUACULT SOC,0.665
FISHERIES SCIENCE,FISHERIES SCI,0.654
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,0.622
Latin American Journal of Aquatic Research,LAT AM J AQUAT RES,0.613
FISH PATHOLOGY,FISH PATHOL,0.6
Turkish Journal of Fisheries and Aquatic Sciences,TURK J FISH AQUAT SC,0.553
BOLETIM DO INSTITUTO DE PESCA,BOL INST PESCA,0.525
IRANIAN JOURNAL OF FISHERIES SCIENCES,IRAN J FISH SCI,0.393
BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS,B EUR ASSOC FISH PAT,0.346
ISRAELI JOURNAL OF AQUACULTURE-BAMIDGEH,ISR J AQUACULT-BAMID,0.252
CALIFORNIA FISH AND GAME,CALIF FISH GAME,0.186
INDIAN JOURNAL OF FISHERIES,INDIAN J FISH,0.16
NIPPON SUISAN GAKKAISHI,NIPPON SUISAN GAKK,0.125
