nfull,nabb,if
Annual Review of Food Science and Technology,ANNU REV FOOD SCI T,6.95
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,CRIT REV FOOD SCI,5.492
TRENDS IN FOOD SCIENCE & TECHNOLOGY,TRENDS FOOD SCI TECH,5.15
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,COMPR REV FOOD SCI F,4.903
MOLECULAR NUTRITION & FOOD RESEARCH,MOL NUTR FOOD RES,4.551
Food Engineering Reviews,FOOD ENG REV,4.375
FOOD CHEMISTRY,FOOD CHEM,4.052
Journal of Functional Foods,J FUNCT FOODS,3.973
FOOD HYDROCOLLOIDS,FOOD HYDROCOLLOID,3.858
Global Food Security-Agriculture Policy Economics and Environment,GLOB FOOD SECUR-AGR,3.745
FOOD QUALITY AND PREFERENCE,FOOD QUAL PREFER,3.688
FOOD MICROBIOLOGY,FOOD MICROBIOL,3.682
FOOD AND CHEMICAL TOXICOLOGY,FOOD CHEM TOXICOL,3.584
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,INT J FOOD MICROBIOL,3.445
FOOD CONTROL,FOOD CONTROL,3.388
Food & Nutrition Research,FOOD NUTR RES,3.226
JOURNAL OF FOOD ENGINEERING,J FOOD ENG,3.199
FOOD RESEARCH INTERNATIONAL,FOOD RES INT,3.182
Innovative Food Science & Emerging Technologies,INNOV FOOD SCI EMERG,2.997
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,J AGR FOOD CHEM,2.857
MEAT SCIENCE,MEAT SCI,2.801
JOURNAL OF FOOD COMPOSITION AND ANALYSIS,J FOOD COMPOS ANAL,2.78
LWT-FOOD SCIENCE AND TECHNOLOGY,LWT-FOOD SCI TECHNOL,2.711
FOOD AND BIOPRODUCTS PROCESSING,FOOD BIOPROD PROCESS,2.687
Food & Function,FOOD FUNCT,2.686
POSTHARVEST BIOLOGY AND TECHNOLOGY,POSTHARVEST BIOL TEC,2.618
Food and Bioprocess Technology,FOOD BIOPROCESS TECH,2.574
CHEMICAL SENSES,CHEM SENSES,2.5
JOURNAL OF DAIRY SCIENCE,J DAIRY SCI,2.408
JOURNAL OF CEREAL SCIENCE,J CEREAL SCI,2.402
PLANT FOODS FOR HUMAN NUTRITION,PLANT FOOD HUM NUTR,2.276
Foodborne Pathogens and Disease,FOODBORNE PATHOG DIS,2.27
JOURNAL OF SENSORY STUDIES,J SENS STUD,2.213
BIOTECHNOLOGY PROGRESS,BIOTECHNOL PROGR,2.167
Food Analytical Methods,FOOD ANAL METHOD,2.167
AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,AUST J GRAPE WINE R,2.126
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,J SCI FOOD AGR,2.076
FOOD POLICY,FOOD POLICY,2.044
JOURNAL OF FOOD AND DRUG ANALYSIS,J FOOD DRUG ANAL,1.98
FOOD REVIEWS INTERNATIONAL,FOOD REV INT,1.974
JOURNAL OF BIOSCIENCE AND BIOENGINEERING,J BIOSCI BIOENG,1.964
EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,EUR J LIPID SCI TECH,1.953
INTERNATIONAL DAIRY JOURNAL,INT DAIRY J,1.938
Analytical Methods,ANAL METHODS-UK,1.915
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,FOOD ADDIT CONTAM A,1.878
JOURNAL OF MEDICINAL FOOD,J MED FOOD,1.844
FLAVOUR AND FRAGRANCE JOURNAL,FLAVOUR FRAG J,1.693
Journal of Food and Nutrition Research,J FOOD NUTR RES,1.676
JOURNAL OF FOOD SCIENCE,J FOOD SCI,1.649
JOURNAL OF FOOD PROTECTION,J FOOD PROTECT,1.609
Food Biophysics,FOOD BIOPHYS,1.605
AGRICULTURAL AND FOOD SCIENCE,AGR FOOD SCI,1.588
INTERNATIONAL JOURNAL OF FOOD PROPERTIES,INT J FOOD PROP,1.586
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,AM J ENOL VITICULT,1.579
Food Security,FOOD SECUR,1.557
FOOD AND AGRICULTURAL IMMUNOLOGY,FOOD AGR IMMUNOL,1.548
FOOD AND NUTRITION BULLETIN,FOOD NUTR BULL,1.543
STARCH-STARKE,STARCH-STARKE,1.523
JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,J AM OIL CHEM SOC,1.505
INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,INT J FOOD SCI TECH,1.504
JOURNAL OF DAIRY RESEARCH,J DAIRY RES,1.5
Food Additives & Contaminants Part B-Surveillance,FOOD ADDIT CONTAM B,1.467
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,INT J FOOD SCI NUTR,1.451
Dairy Science & Technology,DAIRY SCI TECHNOL,1.435
EUROPEAN FOOD RESEARCH AND TECHNOLOGY,EUR FOOD RES TECHNOL,1.433
PACKAGING TECHNOLOGY AND SCIENCE,PACKAG TECHNOL SCI,1.292
JOURNAL OF TEXTURE STUDIES,J TEXTURE STUD,1.261
JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE,J FOOD SCI TECH MYS,1.241
FOOD TECHNOLOGY AND BIOTECHNOLOGY,FOOD TECHNOL BIOTECH,1.179
BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,BIOSCI BIOTECH BIOCH,1.176
Journal of Oleo Science,J OLEO SCI,1.108
Chemosensory Perception,CHEMOSENS PERCEPT,1.053
CEREAL CHEMISTRY,CEREAL CHEM,1.036
JOURNAL OF THE INSTITUTE OF BREWING,J I BREWING,1.017
FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,FOOD SCI TECHNOL INT,0.991
British Food Journal,BRIT FOOD J,0.973
SOUTH AFRICAN JOURNAL OF ENOLOGY AND VITICULTURE,S AFR J ENOL VITIC,0.922
JOURNAL OF AOAC INTERNATIONAL,J AOAC INT,0.918
JOURNAL OF FOOD SAFETY,J FOOD SAFETY,0.915
INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY,INT J DAIRY TECHNOL,0.912
JOURNAL OF FOOD PROCESSING AND PRESERVATION,J FOOD PROCESS PRES,0.894
CEREAL FOODS WORLD,CEREAL FOOD WORLD,0.889
Natural Product Communications,NAT PROD COMMUN,0.884
