nfull,nabb,if
GASTROENTEROLOGY,GASTROENTEROLOGY,18.187
GUT,GUT,14.921
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,14.435
HEPATOLOGY,HEPATOLOGY,11.711
JOURNAL OF HEPATOLOGY,J HEPATOL,10.59
AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,10.383
Clinical Gastroenterology and Hepatology,CLIN GASTROENTEROL H,7.68
Journal of Crohns & Colitis,J CROHNS COLITIS,6.585
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,ALIMENT PHARM THER,6.32
GASTROINTESTINAL ENDOSCOPY,GASTROINTEST ENDOSC,6.217
SEMINARS IN LIVER DISEASE,SEMIN LIVER DIS,5.667
ENDOSCOPY,ENDOSCOPY,5.634
LIVER INTERNATIONAL,LIVER INT,4.47
JOURNAL OF GASTROENTEROLOGY,J GASTROENTEROL,4.414
Gastric Cancer,GASTRIC CANCER,4.404
INFLAMMATORY BOWEL DISEASES,INFLAMM BOWEL DIS,4.358
JOURNAL OF VIRAL HEPATITIS,J VIRAL HEPATITIS,4.179
LIVER TRANSPLANTATION,LIVER TRANSPLANT,3.951
HELICOBACTER,HELICOBACTER,3.92
BEST PRACTICE & RESEARCH IN CLINICAL GASTROENTEROLOGY,BEST PRACT RES CL GA,3.897
Therapeutic Advances in Gastroenterology,THER ADV GASTROENTER,3.883
DISEASES OF THE COLON & RECTUM,DIS COLON RECTUM,3.739
CURRENT OPINION IN GASTROENTEROLOGY,CURR OPIN GASTROEN,3.618
Clinical and Translational Gastroenterology,CLIN TRANSL GASTROEN,3.472
JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,J GASTROEN HEPATOL,3.322
NEUROGASTROENTEROLOGY AND MOTILITY,NEUROGASTROENT MOTIL,3.31
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,AM J PHYSIOL-GASTR L,3.297
JOURNAL OF CLINICAL GASTROENTEROLOGY,J CLIN GASTROENTEROL,3.163
Journal of Hepato-Biliary-Pancreatic Sciences,J HEPATO-BIL-PAN SCI,3.146
GASTROENTEROLOGY CLINICS OF NORTH AMERICA,GASTROENTEROL CLIN N,2.99
Clinics in Liver Disease,CLIN LIVER DIS,2.944
United European Gastroenterology Journal,UNITED EUR GASTROENT,2.933
HPB,HPB,2.918
Gut Pathogens,GUT PATHOG,2.816
JOURNAL OF GASTROINTESTINAL SURGERY,J GASTROINTEST SURG,2.807
Expert Review of Gastroenterology & Hepatology,EXPERT REV GASTROENT,2.796
Endoscopic Ultrasound,ENDOSC ULTRASOUND,2.794
WORLD JOURNAL OF GASTROENTEROLOGY,WORLD J GASTROENTERO,2.787
PANCREAS,PANCREAS,2.738
DIGESTIVE AND LIVER DISEASE,DIGEST LIVER DIS,2.719
Digestive Endoscopy,DIGEST ENDOSC,2.715
DIGESTIVE DISEASES AND SCIENCES,DIGEST DIS SCI,2.516
Colorectal Disease,COLORECTAL DIS,2.452
PANCREATOLOGY,PANCREATOLOGY,2.406
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,J PEDIATR GASTR NUTR,2.4
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,INT J COLORECTAL DIS,2.383
Techniques in Coloproctology,TECH COLOPROCTOL,2.32
Canadian Journal of Gastroenterology and Hepatology,CAN J GASTROENTEROL,2.307
HEPATOLOGY RESEARCH,HEPATOL RES,2.208
SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,SCAND J GASTROENTERO,2.199
ABDOMINAL IMAGING,ABDOM IMAGING,2.189
DISEASES OF THE ESOPHAGUS,DIS ESOPHAGUS,2.146
BMC GASTROENTEROLOGY,BMC GASTROENTEROL,2.101
EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,EUR J GASTROEN HEPAT,2.093
Gut and Liver,GUT LIVER,2
Hepatitis Monthly,HEPAT MON,1.932
Journal of Gastrointestinal and Liver Diseases,J GASTROINTEST LIVER,1.891
Journal of Digestive Diseases,J DIGEST DIS,1.887
DIGESTION,DIGESTION,1.884
Clinics and Research in Hepatology and Gastroenterology,CLIN RES HEPATOL GAS,1.872
Journal of Neurogastroenterology and Motility,J NEUROGASTROENTEROL,1.817
Annals of Hepatology,ANN HEPATOL,1.816
DIGESTIVE DISEASES,DIGEST DIS,1.777
Gastroenterology Research and Practice,GASTROENT RES PRACT,1.742
DIGESTIVE SURGERY,DIGEST SURG,1.728
Hepatobiliary & Pancreatic Diseases International,HEPATOB PANCREAT DIS,1.724
REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,REV ESP ENFERM DIG,1.455
ZEITSCHRIFT FUR GASTROENTEROLOGIE,Z GASTROENTEROL,1.357
Saudi Journal of Gastroenterology,SAUDI J GASTROENTERO,1.312
Hepatology International,HEPATOL INT,1.125
Gastroenterologia y Hepatologia,GASTROENT HEPAT-BARC,0.8
HEPATO-GASTROENTEROLOGY,HEPATO-GASTROENTEROL,0.792
Clinics in Colon and Rectal Surgery,CLIN COLON RECT SURG,0.714
ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,0.707
Arab Journal of Gastroenterology,ARAB J GASTROENTEROL,0.644
Turkish Journal of Gastroenterology,TURK J GASTROENTEROL,0.532
Gastroenterology Nursing,GASTROENTEROL NURS,0.493
Esophagus,ESOPHAGUS-TOKYO,0.386
Endoskopie Heute,ENDOSKOPIE HEUTE,0.188
