nfull,nabb,if
NATURE REVIEWS GENETICS,NAT REV GENET,35.898
NATURE GENETICS,NAT GENET,31.616
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,16.735
MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,13.649
Annual Review of Genetics,ANNU REV GENET,12.235
GENOME RESEARCH,GENOME RES,11.351
GENOME BIOLOGY,GENOME BIOL,11.313
AMERICAN JOURNAL OF HUMAN GENETICS,AM J HUM GENET,10.794
GENES & DEVELOPMENT,GENE DEV,10.042
TRENDS IN GENETICS,TRENDS GENET,9.858
Annual Review of Genomics and Human Genetics,ANNU REV GENOM HUM G,8.347
ONCOGENE,ONCOGENE,7.932
GENETICS IN MEDICINE,GENET MED,7.71
MOLECULAR THERAPY,MOL THER,6.938
PLoS Genetics,PLOS GENET,6.661
HUMAN MOLECULAR GENETICS,HUM MOL GENET,5.985
Genome Medicine,GENOME MED,5.846
CURRENT OPINION IN GENETICS & DEVELOPMENT,CURR OPIN GENET DEV,5.784
JOURNAL OF MEDICAL GENETICS,J MED GENET,5.65
DNA RESEARCH,DNA RES,5.267
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,5.261
HUMAN GENETICS,HUM GENET,5.138
HUMAN MUTATION,HUM MUTAT,5.089
Forensic Science International-Genetics,FORENSIC SCI INT-GEN,4.988
Molecular Autism,MOL AUTISM,4.961
Epigenetics & Chromatin,EPIGENET CHROMATIN,4.873
JOURNAL OF MOLECULAR MEDICINE-JMM,J MOL MED,4.855
Epigenetics,EPIGENETICS-US,4.774
GENETICS,GENETICS,4.644
EUROPEAN JOURNAL OF HUMAN GENETICS,EUR J HUM GENET,4.58
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,AM J MED GENET C,4.471
CHROMOSOMA,CHROMOSOMA,4.303
Genome Biology and Evolution,GENOME BIOL EVOL,4.098
HUMAN GENE THERAPY,HUM GENE THER,4.062
Epigenomics,EPIGENOMICS-UK,4.044
EVOLUTION,EVOLUTION,4.007
Journal of Genetics and Genomics,J GENET GENOMICS,3.981
GENES CHROMOSOMES & CANCER,GENE CHROMOSOME CANC,3.96
Advances in Genetics,ADV GENET,3.933
DNA REPAIR,DNA REPAIR,3.929
THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,3.9
CLINICAL GENETICS,CLIN GENET,3.892
BMC GENOMICS,BMC GENOMICS,3.867
Circulation-Cardiovascular Genetics,CIRC-CARDIOVASC GENE,3.808
HEREDITY,HEREDITY,3.801
MOLECULAR PHYLOGENETICS AND EVOLUTION,MOL PHYLOGENET EVOL,3.792
PHARMACOGENOMICS JOURNAL,PHARMACOGENOMICS J,3.784
MITOCHONDRION,MITOCHONDRION,3.647
JOURNAL OF INHERITED METABOLIC DISEASE,J INHERIT METAB DIS,3.541
Plant Genome,PLANT GENOME-US,3.509
NEUROGENETICS,NEUROGENETICS,3.426
BMC EVOLUTIONARY BIOLOGY,BMC EVOL BIOL,3.406
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,AM J MED GENET B,3.391
CURRENT GENETICS,CURR GENET,3.385
Human Genomics,HUM GENOMICS,3.385
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,ENVIRON MOL MUTAGEN,3.326
Orphanet Journal of Rare Diseases,ORPHANET J RARE DIS,3.29
BEHAVIOR GENETICS,BEHAV GENET,3.268
JOURNAL OF GENE MEDICINE,J GENE MED,3.246
GENE THERAPY,GENE THER,3.242
Genes,GENES-BASEL,3.242
Biology of Sex Differences,BIOL SEX DIFFER,3.237
Briefings in Functional Genomics,BRIEF FUNCT GENOMICS,3.124
MOLECULAR GENETICS AND METABOLISM,MOL GENET METAB,3.093
PRENATAL DIAGNOSIS,PRENATAL DIAG,3.043
FUNGAL GENETICS AND BIOLOGY,FUNGAL GENET BIOL,2.933
G3-Genes Genomes Genetics,G3-GENES GENOM GENET,2.91
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,OMICS,2.896
GENETICS SELECTION EVOLUTION,GENET SEL EVOL,2.895
Pharmacogenetics and Genomics,PHARMACOGENET GENOM,2.857
Cancer Genomics & Proteomics,CANCER GENOM PROTEOM,2.8
JOURNAL OF EVOLUTIONARY BIOLOGY,J EVOLUTION BIOL,2.747
CURRENT GENE THERAPY,CURR GENE THER,2.738
BMC Medical Genomics,BMC MED GENOMICS,2.726
MOLECULAR GENETICS AND GENOMICS,MOL GENET GENOMICS,2.622
PHYSIOLOGICAL GENOMICS,PHYSIOL GENOMICS,2.615
Molecular Diagnosis & Therapy,MOL DIAGN THER,2.602
CHROMOSOME RESEARCH,CHROMOSOME RES,2.59
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,MUTAT RES-FUND MOL M,2.581
DNA AND CELL BIOLOGY,DNA CELL BIOL,2.574
GENETIC EPIDEMIOLOGY,GENET EPIDEMIOL,2.553
CANCER GENE THERAPY,CANCER GENE THER,2.532
Mobile DNA,MOBILE DNA-UK,2.52
JOURNAL OF HUMAN GENETICS,J HUM GENET,2.487
GENES TO CELLS,GENES CELLS,2.481
GENES AND IMMUNITY,GENES IMMUN,2.472
CURRENT GENOMICS,CURR GENOMICS,2.43
Genes and Nutrition,GENES NUTR,2.398
GENOMICS,GENOMICS,2.386
Twin Research and Human Genetics,TWIN RES HUM GENET,2.339
Cancer Genetics,CANCER GENET-NY,2.333
GENE,GENE,2.319
IMMUNOGENETICS,IMMUNOGENETICS,2.303
MUTAGENESIS,MUTAGENESIS,2.297
FUNCTIONAL & INTEGRATIVE GENOMICS,FUNCT INTEGR GENOMIC,2.265
Comparative Biochemistry and Physiology D-Genomics & Proteomics,COMP BIOCHEM PHYS D,2.254
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,MUTAT RES-GEN TOX EN,2.254
EVOLUTION & DEVELOPMENT,EVOL DEV,2.169
GENESIS,GENESIS,2.165
BMC GENETICS,BMC GENET,2.152
DISEASE MARKERS,DIS MARKERS,2.137
Tree Genetics & Genomes,TREE GENET GENOMES,2.132
MOLECULAR BREEDING,MOL BREEDING,2.108
BMC Medical Genetics,BMC MED GENET,2.094
Familial Cancer,FAM CANCER,2.09
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,AM J MED GENET A,2.082
MAMMALIAN GENOME,MAMM GENOME,2.078
JOURNAL OF HEREDITY,J HERED,2.075
CONSERVATION GENETICS,CONSERV GENET,2.04
Journal of Genetic Counseling,J GENET COUNS,2.03
Human Gene Therapy Methods,HUM GENE THER METHOD,1.986
JOURNAL OF APPLIED GENETICS,J APPL GENET,1.929
Biotechnology & Genetic Engineering Reviews,BIOTECHNOL GENET ENG,1.909
ANNALS OF HUMAN GENETICS,ANN HUM GENET,1.889
OPHTHALMIC GENETICS,OPHTHALMIC GENET,1.886
Marine Genomics,MAR GENOM,1.883
EVOLUTIONARY ECOLOGY,EVOL ECOL,1.875
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,J ASSIST REPROD GEN,1.858
JOURNAL OF NEUROGENETICS,J NEUROGENET,1.854
JOURNAL OF MOLECULAR EVOLUTION,J MOL EVOL,1.847
International Journal of Genomics,INT J GENOMICS,1.83
European Journal of Medical Genetics,EUR J MED GENET,1.81
ANIMAL GENETICS,ANIM GENET,1.779
Mitochondrial DNA,MITOCHONDR DNA,1.76
PSYCHIATRIC GENETICS,PSYCHIAT GENET,1.736
PLASMID,PLASMID,1.732
CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,CRIT REV EUKAR GENE,1.66
CYTOGENETIC AND GENOME RESEARCH,CYTOGENET GENOME RES,1.638
Standards in Genomic Sciences,STAND GENOMIC SCI,1.594
HUMAN HEREDITY,HUM HERED,1.539
Public Health Genomics,PUBLIC HEALTH GENOM,1.535
Comparative Cytogenetics,COMP CYTOGENET,1.519
Molecular Cytogenetics,MOL CYTOGENET,1.506
Journal of Nutrigenetics and Nutrigenomics,J NUTRIGENET NUTRIGE,1.488
GENE EXPRESSION PATTERNS,GENE EXPR PATTERNS,1.485
Cellular Reprogramming,CELL REPROGRAM,1.462
THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,1.452
GENOME,GENOME,1.356
GENETICA,GENETICA,1.343
GENETICS AND MOLECULAR BIOLOGY,GENET MOL BIOL,1.341
