nfull,nabb,if,,
Global Environmental Change-Human And Policy Dimensions,Global Environ Chang,5.679,,
Progress In Human Geography,Prog Hum Geog,5.162,,
Landscape And Urban Planning,Landscape Urban Plan,3.654,,
Journal Of Economic Geography,J Econ Geogr,3.429,,
Geographical Journal,Geogr J,3.206,,
Transactions Of The Institute Of British Geographers,T I Brit Geogr,3.17,,
Economic Geography,Econ Geogr,2.824,,
Annals Of The Association Of American Geographers,Ann Assoc Am Geogr,2.756,,
Political Geography,Polit Geogr,2.733,,
Applied Geography,Appl Geogr,2.565,,
Geoforum,Geoforum,2.397,,
Cartography And Geographic Information Science,Cartogr Geogr Inf Sc,2.224,,
Cambridge Journal Of Regions Economy And Society,Camb J Reg Econ Soc,2.111,,
Cultural Geographies,Cult Geogr,2.095,,
Computers Environment And Urban Systems,Comput Environ Urban,2.092,,
Journal Of Transport Geography,J Transp Geogr,2.09,,
International Journal Of Geographical Information Science,Int J Geogr Inf Sci,2.065,,
Regional Studies,Reg Stud,1.987,,
Antipode,Antipode,1.915,,
Population Space And Place,Popul Space Place,1.895,,
International Journal Of Urban And Regional Research,Int J Urban Regional,1.868,,
Social & Cultural Geography,Soc Cult Geogr,1.663,,
Environment And Planning D-Society & Space,Environ Plann D,1.659,,
Geographical Analysis,Geogr Anal,1.571,,
Mobilities,Mobilities-Uk,1.569,,
Transactions In Gis,T Gis,1.537,,
Environment And Planning A,Environ Plann A,1.46,,
Journal Of Maps,J Maps,1.435,,
Professional Geographer,Prof Geogr,1.407,,
Sociologia Ruralis,Sociol Ruralis,1.38,,
Geographical Research,Geogr Res-Aust,1.353,,
Area,Area,1.349,,
Urban Geography,Urban Geogr,1.322,,
Journal Of Geography,J Geogr,1.213,,
Global Networks-A Journal Of Transnational Affairs,Global Netw,1.207,,
Asia Pacific Viewpoint,Asia Pac Viewp,1.204,,
Australian Geographer,Aust Geogr,1.193,,
Gender Place And Culture,Gender Place Cult,1.18,,
Geopolitics,Geopolitics,1.179,,
Journal Of Geographical Systems,J Geogr Syst,1.175,,
Emotion Space And Society,Emot Space Soc,1.148,,
Papers In Regional Science,Pap Reg Sci,1.144,,
Childrens Geographies,Child Geogr,1.143,,
Moravian Geographical Reports,Morav Geogr Rep,1.093,,
Singapore Journal Of Tropical Geography,Singapore J Trop Geo,1.085,,
European Planning Studies,Eur Plan Stud,1.056,,
Journal Of Geography In Higher Education,J Geogr Higher Educ,1.034,,
Landscape Research,Landscape Res,1.012,,
Urban Policy And Research,Urban Policy Res,0.896,,
Canadian Geographer-Geographe Canadien,Can Geogr-Geogr Can,0.878,,
Erdkunde,Erdkunde,0.872,,
New Zealand Geographer,New Zeal Geogr,0.765,,
Geography,Geography,0.719,,
Journal Of Historical Geography,J Hist Geogr,0.701,,
Applied Spatial Analysis And Policy,Appl Spat Anal Polic,0.686,,
Scottish Geographical Journal,Scot Geogr J,0.686,,
Island Studies Journal,Isl Stud J,0.683,,
Tijdschrift Voor Economische En Sociale Geografie,Tijdschr Econ Soc Ge,0.682,,
Geografisk Tidsskrift-Danish Journal Of Geography,Geogr Tidsskr-Den,0.654,,
Zeitschrift Fur Wirtschaftsgeographie,Z Wirtschaftsgeogr,0.607,,
Eurasian Geography And Economics,Eurasian Geogr Econ,0.603,,
Annals Of Regional Science,Ann Regional Sci,0.571,,
Cartographic Journal,Cartogr J,0.569,,
Erde,Erde,0.541,,
Space And Culture,Space Cult,0.527,,
Geografiska Annaler Series B-Human Geography,Geogr Ann B,0.5,,
Geographical Review,Geogr Rev,0.5,,
Norsk Geografisk Tidsskrift-Norwegian Journal Of Geography,Norsk Geogr Tidsskr,0.483,,
South African Geographical Journal,S Afr Geogr J,0.423,,
Geografie,Geografie-Prague,0.415,,
Boletin De La Asociacion De Geografos Espanoles,B Asoc Geogr Esp,0.345,,
Geodetski Vestnik,Geod Vestn,0.253,,
Revista De Geografia Norte Grande,Rev Geogr Norte Gd,0.229,,
Scripta Nova-Revista Electronica De Geografia Y Ciencias Sociales,Scripta Nova,0.2,,
Mitteilungen Der Osterreichischen Geographischen Gesellschaft,Mitt Osterr Geogr G,0.143,,
Imago Mundi-The International Journal For The History Of Cartography,Imago Mundi,0.135,,
Revue De Geographie Alpine-Journal Of Alpine Research,Rev Geogr Alp,0.086,,
,,,,
