nfull,nabb,if
Annual Review of Marine Science,ANNU REV MAR SCI,13.214
REVIEWS OF GEOPHYSICS,REV GEOPHYS,11.444
Geochemical Perspectives,GEOCHEM PERSPECT,8.8
Reviews in Mineralogy & Geochemistry,REV MINERAL GEOCHEM,6.12
Elements,ELEMENTS,4.585
RADIOCARBON,RADIOCARBON,4.565
EARTH AND PLANETARY SCIENCE LETTERS,EARTH PLANET SC LETT,4.326
GEOCHIMICA ET COSMOCHIMICA ACTA,GEOCHIM COSMOCHIM AC,4.315
JOURNAL OF PETROLOGY,J PETROL,3.768
TECTONICS,TECTONICS,3.75
LITHOS,LITHOS,3.723
SURVEYS IN GEOPHYSICS,SURV GEOPHYS,3.622
CHEMICAL GEOLOGY,CHEM GEOL,3.482
MINERALIUM DEPOSITA,MINER DEPOSITA,3.467
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,IEEE T GEOSCI REMOTE,3.36
CONTRIBUTIONS TO MINERALOGY AND PETROLOGY,CONTRIB MINERAL PETR,3.218
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,GEOCHEM GEOPHY GEOSY,2.993
ORGANIC GEOCHEMISTRY,ORG GEOCHEM,2.99
SEISMOLOGICAL RESEARCH LETTERS,SEISMOL RES LETT,2.989
GEOSTANDARDS AND GEOANALYTICAL RESEARCH,GEOSTAND GEOANAL RES,2.885
Journal of Space Weather and Space Climate,J SPACE WEATHER SPAC,2.846
METEORITICS & PLANETARY SCIENCE,METEORIT PLANET SCI,2.819
TECTONOPHYSICS,TECTONOPHYSICS,2.65
Lithosphere,LITHOSPHERE-US,2.618
PHYSICS OF THE EARTH AND PLANETARY INTERIORS,PHYS EARTH PLANET IN,2.605
ECONOMIC GEOLOGY,ECON GEOL,2.487
JOURNAL OF GEODESY,J GEODESY,2.486
GEOPHYSICAL JOURNAL INTERNATIONAL,GEOPHYS J INT,2.484
APPLIED GEOCHEMISTRY,APPL GEOCHEM,2.468
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,SPACE WEATHER,2.398
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,B SEISMOL SOC AM,2.311
IEEE Geoscience and Remote Sensing Letters,IEEE GEOSCI REMOTE S,2.228
JOURNAL OF GEOCHEMICAL EXPLORATION,J GEOCHEM EXPLOR,2.147
Solid Earth,SOLID EARTH,2.083
GEOPHYSICS,GEOPHYSICS,2.017
JOURNAL OF GEODYNAMICS,J GEODYN,1.926
AMERICAN MINERALOGIST,AM MINERAL,1.918
GEOPHYSICAL PROSPECTING,GEOPHYS PROSPECT,1.835
GEOFLUIDS,GEOFLUIDS,1.75
PURE AND APPLIED GEOPHYSICS,PURE APPL GEOPHYS,1.677
CHEMIE DER ERDE-GEOCHEMISTRY,CHEM ERDE-GEOCHEM,1.622
JOURNAL OF SEISMOLOGY,J SEISMOL,1.55
GEOCHEMISTRY-EXPLORATION ENVIRONMENT ANALYSIS,GEOCHEM-EXPLOR ENV A,1.518
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,J ATMOS SOL-TERR PHY,1.463
AQUATIC GEOCHEMISTRY,AQUAT GEOCHEM,1.458
DYNAMICS OF ATMOSPHERES AND OCEANS,DYNAM ATMOS OCEANS,1.439
Journal of Geosciences,J GEOSCI-CZECH,1.326
NONLINEAR PROCESSES IN GEOPHYSICS,NONLINEAR PROC GEOPH,1.321
MARINE GEOPHYSICAL RESEARCH,MAR GEOPHYS RES,1.286
RADIO SCIENCE,RADIO SCI,1.273
Near Surface Geophysics,NEAR SURF GEOPHYS,1.232
Exploration Geophysics,EXPLOR GEOPHYS,1.197
MINERALOGY AND PETROLOGY,MINER PETROL,1.18
GEOCHEMICAL TRANSACTIONS,GEOCHEM T,1.1
CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION,CHINESE J GEOPHYS-CH,0.984
MARINE GEODESY,MAR GEOD,0.979
Acta Geophysica,ACTA GEOPHYS,0.945
Geofizika,GEOFIZIKA,0.944
GEOTECTONICS,GEOTECTONICS+,0.905
STUDIA GEOPHYSICA ET GEODAETICA,STUD GEOPHYS GEOD,0.818
Applied Geophysics,APPL GEOPHYS,0.804
Bollettino di Geofisica Teorica ed Applicata,B GEOFIS TEOR APPL,0.778
Journal of Geophysics and Engineering,J GEOPHYS ENG,0.736
GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS,GEOPHYS ASTRO FLUID,0.712
ANNALS OF GEOPHYSICS,ANN GEOPHYS-ITALY,0.679
Journal of Volcanology and Seismology,J VOLCANOL SEISMOL+,0.649
GEOCHEMICAL JOURNAL,GEOCHEM J,0.621
JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,J ENVIRON ENG GEOPH,0.619
Periodico di Mineralogia,PERIOD MINERAL,0.6
Acta Geodynamica et Geomaterialia,ACTA GEODYN GEOMATER,0.561
IZVESTIYA-PHYSICS OF THE SOLID EARTH,IZV-PHYS SOLID EART+,0.56
GEOCHEMISTRY INTERNATIONAL,GEOCHEM INT+,0.558
GEOMAGNETISM AND AERONOMY,GEOMAGN AERONOMY+,0.556
Acta Geodaetica et Geophysica,ACTA GEOD GEOPHYS,0.528
Petrophysics,PETROPHYSICS,0.514
Interpretation-A Journal of Subsurface Characterization,INTERPRETATION-J SUB,0.51
Geofisica Internacional,GEOFIS INT,0.344
