nfull,nabb,if
GLOBAL ECOLOGY AND BIOGEOGRAPHY,GLOBAL ECOL BIOGEOGR,5.84
Cryosphere,CRYOSPHERE,4.906
QUATERNARY SCIENCE REVIEWS,QUATERNARY SCI REV,4.521
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,ISPRS J PHOTOGRAMM,4.188
JOURNAL OF BIOGEOGRAPHY,J BIOGEOGR,3.997
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,3.657
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,3.654
GLOBAL AND PLANETARY CHANGE,GLOBAL PLANET CHANGE,3.548
EARTH SURFACE PROCESSES AND LANDFORMS,EARTH SURF PROC LAND,3.505
Quaternary Geochronology,QUAT GEOCHRONOL,3.142
JOURNAL OF GLACIOLOGY,J GLACIOL,3.109
GEOMORPHOLOGY,GEOMORPHOLOGY,2.813
International Journal of Digital Earth,INT J DIGIT EARTH,2.762
PROGRESS IN PHYSICAL GEOGRAPHY,PROG PHYS GEOG,2.728
JOURNAL OF QUATERNARY SCIENCE,J QUATERNARY SCI,2.553
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,PALAEOGEOGR PALAEOCL,2.525
GIScience & Remote Sensing,GISCI REMOTE SENS,2.482
BOREAS,BOREAS,2.386
Aeolian Research,AEOLIAN RES,2.275
QUATERNARY RESEARCH,QUATERNARY RES,2.198
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,IEEE J-STARS,2.145
HOLOCENE,HOLOCENE,2.135
DENDROCHRONOLOGIA,DENDROCHRONOLOGIA,2.107
QUATERNARY INTERNATIONAL,QUATERN INT,2.067
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,INT J GEOGR INF SCI,2.065
Earth Surface Dynamics,EARTH SURF DYNAM,2
PERMAFROST AND PERIGLACIAL PROCESSES,PERMAFROST PERIGLAC,2
Journal of Geographical Sciences,J GEOGR SCI,1.923
PHOTOGRAMMETRIC RECORD,PHOTOGRAMM REC,1.622
GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,GEOGR ANN A,1.609
ANNALS OF GLACIOLOGY,ANN GLACIOL,1.589
ARCTIC ANTARCTIC AND ALPINE RESEARCH,ARCT ANTARCT ALP RES,1.455
Journal of Maps,J MAPS,1.435
ANTARCTIC SCIENCE,ANTARCT SCI,1.336
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,PHOTOGRAMM ENG REM S,1.288
ZEITSCHRIFT FUR GEOMORPHOLOGIE,Z GEOMORPHOL,1.103
Journal of Spatial Science,J SPAT SCI,1.095
GEOINFORMATICA,GEOINFORMATICA,1.061
ARCTIC,ARCTIC,1.022
MOUNTAIN RESEARCH AND DEVELOPMENT,MT RES DEV,0.911
PHYSICAL GEOGRAPHY,PHYS GEOGR,0.875
Erdkunde,ERDKUNDE,0.872
JOURNAL OF COASTAL RESEARCH,J COASTAL RES,0.852
Geomorphologie-Relief Processus Environnement,GEOMORPHOLOGIE,0.673
ISPRS International Journal of Geo-Information,ISPRS INT J GEO-INF,0.651
Geografia Fisica e Dinamica Quaternaria,GEOGR FIS DIN QUAT,0.641
ERDE,ERDE,0.541
Acta Geographica Slovenica-Geografski Zbornik,ACTA GEOGR SLOV,0.267
Revista de Geografia Norte Grande,REV GEOGR NORTE GD,0.229
