Full Journal Title,JCR Abbreviated Title,Journal Impact Factor
GEOLOGY,GEOLOGY,4.548
ORE GEOLOGY REVIEWS,ORE GEOL REV,3.819
JOURNAL OF METAMORPHIC GEOLOGY,J METAMORPH GEOL,3.673
SEDIMENTOLOGY,SEDIMENTOLOGY,3.216
Lithosphere,LITHOSPHERE-US,2.618
JOURNAL OF GEOLOGY,J GEOL,2.58
INTERNATIONAL GEOLOGY REVIEW,INT GEOL REV,2.365
SEDIMENTARY GEOLOGY,SEDIMENT GEOL,2.236
CRETACEOUS RESEARCH,CRETACEOUS RES,2.196
Andean Geology,ANDEAN GEOL,2.176
NEWSLETTERS ON STRATIGRAPHY,NEWSL STRATIGR,2.12
JOURNAL OF SEDIMENTARY RESEARCH,J SEDIMENT RES,2.119
PERMAFROST AND PERIGLACIAL PROCESSES,PERMAFROST PERIGLAC,2
PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION,P GEOLOGIST ASSOC,1.844
JOURNAL OF IBERIAN GEOLOGY,J IBER GEOL,1.827
GEOFLUIDS,GEOFLUIDS,1.75
FACIES,FACIES,1.69
GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,GEOGR ANN A,1.609
PALAIOS,PALAIOS,1.589
ACTA PETROLOGICA SINICA,ACTA PETROL SIN,1.234
GFF,GFF,1.179
NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS,NEW ZEAL J GEOL GEOP,1.164
RIVISTA ITALIANA DI PALEONTOLOGIA E STRATIGRAFIA,RIV ITAL PALEONTOL S,1.13
GEOLOGICA ACTA,GEOL ACTA,1.056
BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND,B GEOL SOC FINLAND,1
ACTA GEOLOGICA POLONICA,ACTA GEOL POL,0.981
ANNALES SOCIETATIS GEOLOGORUM POLONIAE,ANN SOC GEOL POL,0.909
SOUTH AFRICAN JOURNAL OF GEOLOGY,S AFR J GEOL,0.909
GEOLOGICAL QUARTERLY,GEOL Q,0.858
RESOURCE GEOLOGY,RESOUR GEOL,0.857
Stratigraphy,STRATIGRAPHY,0.828
STRATIGRAPHY AND GEOLOGICAL CORRELATION,STRATIGR GEO CORREL+,0.809
GEOLOGICA BELGICA,GEOL BELG,0.762
GEOLOGICAL SURVEY OF DENMARK AND GREENLAND BULLETIN,GEOL SURV DEN GREENL,0.698
Boletin de la Sociedad Geologica Mexicana,B SOC GEOL MEX,0.679
Baltica,BALTICA,0.674
SCOTTISH JOURNAL OF GEOLOGY,SCOT J GEOL,0.654
GEOLOGIA CROATICA,GEOL CROAT,0.625
PROCEEDINGS OF THE YORKSHIRE GEOLOGICAL SOCIETY,P YORKS GEOL SOC,0.619
OFIOLITI,OFIOLITI,0.611
GEOLOGY OF ORE DEPOSITS,GEOL ORE DEPOSIT+,0.559
ATLANTIC GEOLOGY,ATL GEOL,0.5
CARBONATES AND EVAPORITES,CARBONATE EVAPORITE,0.44
CARNETS DE GEOLOGIE,CARNETS GEOL,0.436
HIMALAYAN GEOLOGY,HIMAL GEOL,0.35
LITHOLOGY AND MINERAL RESOURCES,LITHOL MINER RESOUR+,0.328
ESTUDIOS GEOLOGICOS-MADRID,ESTUD GEOL-MADRID,0.325
